#1
#Tamanrasset
# 22,783         5,517          1377            1
#
# hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
double tab1(8760,9)
 1	865	10.2	38	0	0	5	1.6	263
 2	865	10.0	37	0	0	5	1.1	297
 3	865	9.8	37	0	0	5	1.2	294
 4	865	9.7	40	0	0	5	1.6	310
 5	865	9.7	41	0	0	5	1.0	308
 6	865	9.6	40	0	0	5	1.2	297
 7	865	9.6	41	0	0	5	1.0	321
 8	865	9.8	40	0	7	5	1.7	282
 9	865	12.3	36	79	102	5	1.6	304
 10	865	15.0	29	264	105	1	3.6	343
 11	865	17.5	21	408	118	0	3.4	5
 12	865	19.7	16	513	139	0	3.6	226
 13	865	21.3	15	529	157	0	4.3	280
 14	865	22.5	14	549	130	0	4.7	13
 15	865	23.1	14	490	105	0	4.3	55
 16	865	23.1	13	395	68	0	5.2	176
 17	865	22.2	14	158	112	5	4.3	351
 18	864	20.4	17	0	42	5	4.5	110
 19	864	19.5	21	0	0	5	3.4	52
 20	864	18.5	25	0	0	5	2.9	281
 21	864	17.5	27	0	0	5	2.6	294
 22	864	16.6	29	0	0	5	1.6	210
 23	864	15.6	28	0	0	5	1.1	310
 24	864	14.6	29	0	0	5	1.0	261
 25	864	13.5	32	0	0	5	1.0	292
 26	864	12.4	36	0	0	5	2.0	265
 27	864	11.2	37	0	0	5	3.9	280
 28	863	10.6	34	0	0	5	3.4	335
 29	863	9.9	35	0	0	5	2.9	52
 30	863	9.5	34	0	0	5	2.4	350
 31	863	9.0	35	0	0	6	2.8	52
 32	863	9.2	37	0	11	6	1.6	344
 33	863	10.9	32	64	94	6	2.2	309
 34	863	12.5	27	149	156	5	2.4	271
 35	863	14.3	24	241	218	5	2.9	282
 36	863	15.5	21	208	298	6	2.6	301
 37	862	16.7	17	299	298	5	3.9	311
 38	862	17.7	16	438	219	3	4.3	241
 39	862	18.0	16	316	209	4	3.4	60
 40	862	18.0	16	327	116	1	4.3	292
 41	862	17.3	15	205	62	0	3.6	111
 42	862	16.0	17	37	34	0	3.6	321
 43	862	14.7	20	0	0	1	2.0	287
 44	862	13.9	19	0	0	1	1.3	303
 45	862	13.1	19	0	0	1	0.9	288
 46	862	12.2	19	0	0	2	0.6	290
 47	862	11.4	21	0	0	2	0.5	267
 48	862	10.6	20	0	0	3	0.3	323
 49	862	10.1	21	0	0	3	0.2	299
 50	862	9.7	21	0	0	3	0.2	305
 51	862	9.3	23	0	0	4	0.6	302
 52	862	9.0	25	0	0	4	0.4	306
 53	862	8.8	27	0	0	4	0.3	309
 54	862	8.7	26	0	0	5	0.2	306
 55	862	8.5	26	0	0	5	0.3	308
 56	862	8.7	27	0	5	5	0.5	300
 57	862	10.9	23	65	104	6	0.7	306
 58	862	13.4	19	264	98	1	0.9	282
 59	862	15.7	14	337	178	3	1.9	283
 60	862	16.7	13	133	318	7	2.2	295
 61	862	17.9	11	237	317	6	2.9	315
 62	862	18.5	11	175	325	7	2.6	284
 63	862	19.2	10	387	189	3	1.9	325
 64	862	19.2	11	210	185	5	2.4	294
 65	862	18.4	12	90	120	6	4.0	322
 66	862	17.0	14	8	40	6	5.2	114
 67	862	15.6	17	0	0	5	4.7	345
 68	863	14.8	19	0	0	5	3.1	337
 69	863	14.0	20	0	0	5	2.8	59
 70	863	13.2	22	0	0	5	2.9	43
 71	863	12.4	22	0	0	5	2.6	355
 72	863	11.5	23	0	0	5	2.6	25
 73	863	10.7	24	0	0	5	2.4	53
 74	863	9.9	29	0	0	5	2.4	60
 75	863	9.0	29	0	0	5	3.6	32
 76	863	8.6	31	0	0	5	4.0	333
 77	863	8.1	30	0	0	5	3.9	347
 78	864	7.8	32	0	0	5	2.8	335
 79	864	7.5	31	0	0	5	1.7	348
 80	864	7.7	31	0	9	5	1.6	281
 81	864	10.1	26	94	98	5	1.9	318
 82	864	12.5	23	299	81	0	1.6	306
 83	864	14.7	16	452	96	0	2.2	319
 84	864	16.7	14	539	120	0	2.2	306
 85	864	18.1	12	558	142	0	3.6	307
 86	864	19.1	11	570	121	0	2.4	303
 87	864	19.6	12	525	90	0	1.9	302
 88	864	19.6	11	419	61	0	1.9	314
 89	865	18.7	12	243	47	0	2.2	312
 90	865	17.2	14	48	38	0	2.6	272
 91	865	15.6	20	0	0	1	2.4	310
 92	865	14.5	21	0	0	1	2.4	290
 93	865	13.4	22	0	0	1	1.3	304
 94	865	12.4	23	0	0	1	1.7	317
 95	865	11.3	23	0	0	2	1.4	322
 96	865	10.3	24	0	0	2	1.4	301
 97	865	9.4	25	0	0	2	2.6	289
 98	865	8.4	27	0	0	3	3.1	39
 99	865	7.5	28	0	0	3	3.1	322
 100	865	7.0	28	0	0	3	2.6	51
 101	866	6.5	32	0	0	3	2.9	285
 102	866	6.2	34	0	0	4	2.4	358
 103	866	5.8	36	0	0	4	2.9	55
 104	866	6.0	35	0	10	4	2.2	1
 105	866	8.8	30	107	119	5	2.2	187
 106	866	11.7	24	385	70	0	2.2	280
 107	866	14.4	17	561	82	0	2.0	310
 108	866	16.7	15	676	93	0	2.2	290
 109	866	18.4	13	726	97	0	2.2	302
 110	866	19.5	11	705	93	0	3.4	309
 111	866	20.0	11	617	85	0	3.1	304
 112	866	19.9	12	466	70	0	3.1	318
 113	866	18.8	13	264	57	0	4.3	326
 114	866	17.0	15	62	31	0	4.7	101
 115	866	15.1	22	0	0	1	4.3	343
 116	865	14.1	25	0	0	1	2.4	342
 117	865	13.1	25	0	0	1	3.1	299
 118	865	12.0	28	0	0	1	2.9	59
 119	865	11.0	31	0	0	2	2.4	350
 120	865	10.0	31	0	0	2	2.8	78
 121	865	9.2	31	0	0	2	3.9	48
 122	865	8.4	34	0	0	2	4.0	330
 123	865	7.5	37	0	0	3	4.7	1
 124	865	7.0	38	0	0	3	4.5	4
 125	865	6.6	39	0	0	3	3.1	343
 126	865	6.3	42	0	0	3	2.9	327
 127	864	5.9	42	0	0	4	3.1	349
 128	864	6.1	46	0	9	4	3.4	3
 129	864	8.6	37	103	99	4	3.4	324
 130	864	11.2	27	346	57	0	2.8	340
 131	864	13.5	21	487	79	0	3.4	304
 132	864	15.4	17	555	112	0	4.3	216
 133	864	16.9	14	588	126	0	5.4	69
 134	864	17.8	13	579	118	0	6.3	345
 135	864	18.3	12	516	97	0	6.4	1
 136	864	18.2	14	415	65	0	5.7	343
 137	864	17.3	14	244	48	0	4.3	334
 138	864	15.7	15	50	38	0	2.4	210
 139	864	14.1	18	0	0	1	2.0	311
 140	864	13.2	23	0	0	1	1.2	305
 141	864	12.3	23	0	0	1	1.1	303
 142	864	11.5	23	0	0	2	0.8	299
 143	863	10.6	22	0	0	2	0.8	288
 144	863	9.7	23	0	0	2	0.6	300
 145	863	9.1	27	0	0	3	0.6	301
 146	863	8.4	27	0	0	3	0.4	304
 147	863	7.8	28	0	0	3	0.6	309
 148	863	7.4	29	0	0	3	0.8	333
 149	863	7.1	27	0	0	4	0.6	273
 150	863	6.9	24	0	0	4	0.6	301
 151	863	6.6	25	0	0	4	0.4	308
 152	863	6.8	23	0	8	5	0.6	302
 153	863	9.1	21	82	100	5	0.6	270
 154	863	11.5	17	252	112	2	0.8	292
 155	863	13.8	13	399	130	0	1.0	272
 156	863	15.7	11	430	188	3	1.3	318
 157	863	17.1	10	457	208	3	1.1	282
 158	863	18.1	10	461	192	3	1.9	280
 159	863	18.6	10	433	150	1	2.2	311
 160	863	18.6	10	389	81	0	1.4	290
 161	863	17.8	10	206	72	0	1.9	305
 162	863	16.3	11	40	49	0	1.9	302
 163	863	14.8	14	0	0	1	2.0	281
 164	863	13.8	16	0	0	1	2.2	312
 165	863	12.9	18	0	0	1	1.6	313
 166	863	12.0	20	0	0	2	1.6	287
 167	863	11.1	22	0	0	2	1.4	307
 168	863	10.2	23	0	0	2	1.4	320
 169	863	9.4	24	0	0	2	1.1	330
 170	863	8.5	25	0	0	3	1.2	280
 171	863	7.7	25	0	0	3	1.9	324
 172	863	7.2	25	0	0	3	1.2	309
 173	863	6.8	26	0	0	4	0.7	281
 174	863	6.4	29	0	0	4	0.4	294
 175	863	6.1	33	0	0	4	0.3	303
 176	863	6.3	34	0	8	5	0.4	302
 177	863	8.6	30	87	99	5	0.7	304
 178	863	10.9	22	283	89	0	1.0	268
 179	863	13.1	17	387	141	2	2.2	286
 180	863	14.9	14	474	162	1	2.9	283
 181	863	16.3	13	489	186	2	4.3	265
 182	863	17.3	11	519	162	1	5.2	28
 183	863	17.8	12	465	130	0	4.5	341
 184	863	17.8	12	380	88	0	2.9	14
 185	863	16.9	14	203	70	0	4.3	287
 186	863	15.4	17	48	38	0	4.3	54
 187	863	13.8	20	0	0	1	3.6	35
 188	863	12.9	21	0	0	1	2.8	77
 189	863	11.9	24	0	0	1	2.4	293
 190	863	11.0	27	0	0	2	3.4	221
 191	862	10.0	28	0	0	2	3.6	341
 192	862	9.1	30	0	0	2	4.3	340
 193	862	8.3	28	0	0	2	3.1	333
 194	862	7.5	32	0	0	3	3.9	346
 195	862	6.8	33	0	0	3	4.5	358
 196	862	6.3	33	0	0	3	4.3	350
 197	862	5.9	37	0	0	4	2.8	325
 198	862	5.6	39	0	0	4	2.4	324
 199	862	5.3	41	0	0	4	2.9	53
 200	862	5.5	43	0	8	5	3.1	346
 201	862	7.7	38	85	99	5	2.4	345
 202	862	10.0	32	280	89	0	3.6	195
 203	862	12.1	25	358	148	2	4.3	345
 204	862	13.9	22	469	163	2	4.7	331
 205	862	15.3	20	473	196	3	4.0	16
 206	862	16.1	17	410	216	3	3.6	131
 207	862	16.5	16	381	176	3	4.0	263
 208	862	16.2	17	241	164	4	3.6	279
 209	862	15.3	19	129	115	5	3.6	285
 210	862	13.9	21	27	47	5	4.9	290
 211	862	12.4	23	0	0	5	4.9	333
 212	862	11.7	28	0	0	5	4.0	333
 213	862	10.9	32	0	0	5	3.4	2
 214	862	10.1	34	0	0	5	2.9	346
 215	862	9.3	36	0	0	5	2.2	1
 216	862	8.5	37	0	0	5	2.4	219
 217	862	7.9	38	0	0	5	2.2	123
 218	862	7.3	38	0	0	5	3.1	261
 219	862	6.7	43	0	0	5	2.9	354
 220	862	6.4	41	0	0	5	2.4	177
 221	862	6.0	39	0	0	5	1.9	326
 222	862	5.8	41	0	0	5	2.4	274
 223	862	5.6	40	0	0	5	2.0	57
 224	862	5.8	40	0	8	5	1.9	267
 225	862	8.2	33	86	99	5	2.2	291
 226	862	10.5	24	250	107	2	4.0	281
 227	862	12.7	19	359	158	3	5.7	330
 228	862	14.5	16	408	202	3	5.2	357
 229	862	16.0	15	442	219	3	6.4	340
 230	862	17.0	13	464	190	3	7.4	354
 231	862	17.5	12	455	154	1	8.3	7
 232	863	17.5	13	304	135	2	8.1	356
 233	863	16.5	14	141	104	4	7.4	358
 234	863	15.0	15	27	48	4	10.4	310
 235	863	13.5	16	0	0	4	8.1	348
 236	863	12.7	21	0	0	4	7.0	353
 237	863	11.8	21	0	0	4	4.9	0
 238	863	11.0	22	0	0	4	2.9	353
 239	863	10.1	26	0	0	4	2.8	55
 240	864	9.3	26	0	0	4	3.4	33
 241	864	8.5	30	0	0	4	2.9	12
 242	864	7.7	30	0	0	4	2.8	8
 243	864	6.9	32	0	0	4	4.0	64
 244	864	6.5	32	0	0	4	3.4	10
 245	864	6.1	31	0	0	4	2.8	41
 246	864	5.8	30	0	0	4	3.6	341
 247	864	5.5	30	0	0	5	3.4	354
 248	864	5.7	28	0	9	5	3.1	335
 249	865	8.5	23	104	110	5	4.9	342
 250	865	11.4	18	381	54	0	5.4	331
 251	865	14.0	15	554	63	0	5.2	347
 252	865	16.3	13	666	72	0	4.7	356
 253	865	18.0	11	715	77	0	5.0	8
 254	865	19.2	11	703	77	0	3.4	348
 255	865	19.8	11	621	69	0	6.4	317
 256	865	19.8	11	479	59	0	6.7	2
 257	865	18.8	12	279	53	0	7.0	333
 258	865	17.1	13	77	32	0	7.8	324
 259	865	15.3	15	0	0	1	6.7	358
 260	865	13.9	21	0	0	1	5.4	342
 261	864	12.5	22	0	0	1	4.5	325
 262	864	11.1	21	0	0	1	4.5	357
 263	864	9.7	22	0	0	2	4.0	10
 264	864	8.3	25	0	0	2	4.7	338
 265	864	7.0	26	0	0	2	5.7	357
 266	864	5.6	30	0	0	3	5.2	3
 267	864	4.2	37	0	0	3	4.7	310
 268	864	3.4	41	0	0	3	3.6	334
 269	864	2.7	41	0	0	3	2.6	39
 270	864	2.2	41	0	0	4	2.4	42
 271	864	1.7	42	0	0	4	3.1	26
 272	864	1.8	37	0	9	4	1.9	351
 273	864	4.5	29	104	110	5	1.7	287
 274	864	7.2	22	380	53	0	2.2	307
 275	863	9.8	15	553	62	0	2.4	280
 276	863	11.9	13	665	72	0	1.9	330
 277	863	13.6	11	714	77	0	2.9	290
 278	863	14.7	10	701	76	0	3.4	280
 279	863	15.2	10	621	68	0	3.1	311
 280	863	15.1	11	480	58	0	2.6	265
 281	863	14.2	12	282	51	0	3.4	317
 282	864	12.4	14	77	33	0	4.0	318
 283	864	10.6	17	0	0	1	4.3	207
 284	864	9.6	22	0	0	1	2.0	6
 285	864	8.6	22	0	0	1	1.9	316
 286	864	7.6	25	0	0	1	1.2	304
 287	864	6.6	27	0	0	2	0.9	308
 288	864	5.6	28	0	0	2	0.6	332
 289	864	4.9	29	0	0	2	0.7	319
 290	864	4.2	30	0	0	3	0.8	310
 291	864	3.5	32	0	0	3	1.6	329
 292	864	3.1	31	0	0	3	2.9	288
 293	864	2.8	33	0	0	3	1.7	116
 294	864	2.5	31	0	0	4	2.2	284
 295	864	2.2	33	0	0	4	2.8	71
 296	864	2.5	29	0	9	4	2.6	343
 297	864	5.3	26	106	115	5	2.6	49
 298	864	8.4	18	386	61	0	3.4	105
 299	864	11.1	14	564	71	0	3.9	38
 300	864	13.5	11	682	81	0	3.4	63
 301	864	15.3	10	735	87	0	3.4	279
 302	864	16.5	10	718	84	0	3.4	308
 303	864	17.1	10	634	76	0	2.9	294
 304	864	17.1	10	488	65	0	2.8	328
 305	864	16.1	10	286	56	0	2.8	274
 306	864	14.3	11	79	33	0	3.4	320
 307	864	12.3	11	0	0	1	4.7	310
 308	864	11.5	15	0	0	1	3.6	344
 309	864	10.6	14	0	0	1	2.4	32
 310	864	9.8	15	0	0	2	2.0	280
 311	864	8.9	16	0	0	2	3.1	263
 312	864	8.1	17	0	0	2	2.0	338
 313	864	7.3	18	0	0	2	1.9	272
 314	864	6.6	21	0	0	3	1.7	271
 315	863	5.8	22	0	0	3	1.1	286
 316	863	5.4	22	0	0	3	1.0	318
 317	863	5.0	21	0	0	4	0.7	305
 318	863	4.8	22	0	0	4	0.6	283
 319	863	4.5	23	0	0	4	0.5	314
 320	863	4.7	22	0	8	5	0.6	307
 321	863	7.0	21	86	99	5	0.9	287
 322	863	9.5	18	295	84	0	1.2	330
 323	863	11.9	14	429	114	0	1.1	307
 324	863	13.8	12	479	170	2	1.0	284
 325	863	15.5	10	572	152	0	0.8	291
 326	863	16.6	10	591	124	0	0.5	311
 327	863	17.2	10	559	88	0	0.8	299
 328	862	17.2	10	434	68	0	1.2	313
 329	862	16.4	11	250	57	0	1.3	271
 330	862	14.8	11	63	38	0	1.6	285
 331	862	13.1	14	0	0	1	1.3	299
 332	862	12.3	18	0	0	1	1.7	316
 333	862	11.4	19	0	0	2	2.0	293
 334	862	10.6	19	0	0	2	1.6	293
 335	862	9.7	20	0	0	2	1.7	319
 336	861	8.9	20	0	0	3	1.6	311
 337	861	8.2	21	0	0	3	1.6	286
 338	861	7.5	23	0	0	3	2.0	301
 339	861	6.8	26	0	0	4	2.9	277
 340	861	6.4	27	0	0	4	3.9	32
 341	861	6.1	27	0	0	5	3.1	336
 342	861	5.8	30	0	0	5	3.4	335
 343	861	5.6	29	0	0	5	3.6	328
 344	860	5.6	26	0	3	6	4.3	355
 345	860	7.6	23	61	103	6	3.4	355
 346	860	10.0	19	266	104	2	3.4	350
 347	860	11.9	16	249	232	5	2.6	43
 348	860	12.9	15	125	328	7	2.2	304
 349	860	14.0	13	246	335	6	2.2	309
 350	860	14.7	12	183	339	7	2.9	296
 351	860	15.5	11	460	190	3	4.3	293
 352	860	15.4	10	154	233	6	5.7	87
 353	860	14.3	11	12	142	8	5.4	357
 354	860	13.0	13	0	40	8	5.7	339
 355	860	11.7	14	0	0	8	6.7	347
 356	860	11.0	16	0	0	8	6.7	12
 357	861	10.3	17	0	0	7	6.0	7
 358	861	9.6	17	0	0	7	5.7	352
 359	861	8.9	18	0	0	7	5.4	4
 360	861	8.1	19	0	0	7	4.3	11
 361	861	7.5	23	0	0	7	3.4	355
 362	861	6.9	22	0	0	7	3.9	350
 363	861	6.3	24	0	0	6	3.9	339
 364	861	6.0	26	0	0	6	2.2	342
 365	861	5.6	24	0	0	6	1.3	321
 366	861	5.4	23	0	0	6	1.6	307
 367	861	5.2	24	0	0	6	2.0	291
 368	861	5.4	23	0	9	6	2.2	217
 369	861	7.7	19	77	101	5	2.0	284
 370	862	9.9	16	206	132	4	3.6	288
 371	862	12.1	12	293	200	4	3.6	7
 372	862	14.0	11	372	228	4	3.9	163
 373	862	15.5	10	397	250	4	4.3	220
 374	862	16.4	10	349	268	5	2.6	76
 375	862	17.0	10	439	164	2	3.1	282
 376	862	17.2	10	423	97	0	4.5	326
 377	862	16.6	10	246	67	0	3.4	10
 378	862	15.2	10	71	42	0	2.4	297
 379	862	13.6	12	0	0	1	3.1	312
 380	863	12.8	15	0	0	1	2.8	290
 381	863	12.1	15	0	0	1	1.6	264
 382	863	11.3	16	0	0	1	1.1	328
 383	863	10.6	18	0	0	2	1.4	289
 384	863	9.8	20	0	0	2	1.7	284
 385	863	9.2	20	0	0	2	2.0	304
 386	863	8.5	22	0	0	3	2.0	271
 387	863	7.8	23	0	0	3	3.1	223
 388	863	7.5	24	0	0	3	2.8	51
 389	863	7.2	27	0	0	3	1.4	238
 390	864	6.9	30	0	0	4	1.1	306
 391	864	6.7	32	0	0	4	1.0	292
 392	864	6.9	33	0	8	4	1.7	283
 393	864	9.4	29	99	97	5	2.6	293
 394	864	12.1	23	326	69	0	3.6	35
 395	864	14.5	21	462	98	0	2.6	340
 396	864	16.6	16	552	126	0	3.9	313
 397	864	18.2	15	573	151	0	3.9	25
 398	864	19.3	12	554	152	0	4.5	215
 399	864	19.8	12	495	130	0	6.0	66
 400	864	19.8	12	406	88	0	6.0	356
 401	864	18.9	13	235	70	0	5.4	344
 402	864	17.4	15	67	40	0	4.3	348
 403	864	15.6	19	0	0	1	3.6	37
 404	864	14.8	23	0	0	1	2.2	209
 405	864	13.9	25	0	0	1	2.2	300
 406	864	13.0	30	0	0	1	2.9	261
 407	864	12.2	34	0	0	2	3.4	6
 408	864	11.3	35	0	0	2	3.1	354
 409	864	10.5	39	0	0	2	2.8	5
 410	864	9.7	45	0	0	3	2.0	353
 411	865	8.9	45	0	0	3	2.8	278
