Chile_Santiago
-33,383       -70,783        474          -4 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	961	18.3	67	0	0	4	1.3	173
 2	961	17.6	67	0	0	4	1.0	207
 3	961	17.2	72	0	0	4	1.1	204
 4	961	16.8	73	0	0	4	1.3	310
 5	961	16.5	80	0	0	4	0.9	218
 6	961	16.5	82	0	1	4	1.2	207
 7	961	17.9	80	55	49	4	0.9	231
 8	961	19.8	68	131	128	4	1.5	192
 9	961	22.0	63	214	218	5	1.4	214
 10	961	24.3	50	319	294	5	3.2	253
 11	961	26.3	44	323	393	5	3.0	185
 12	961	28.2	37	473	371	4	3.2	226
 13	961	30.0	33	557	387	4	4.0	190
 14	961	31.2	32	508	378	4	4.7	148
 15	961	32.1	30	511	354	4	4.2	190
 16	961	32.5	30	507	242	2	5.5	221
 17	961	32.4	29	354	213	3	4.2	171
 18	961	31.6	30	213	165	3	4.7	200
 19	961	30.2	33	85	106	4	3.2	187
 20	961	28.6	36	0	24	4	2.9	191
 21	961	26.7	45	0	0	4	2.5	204
 22	961	24.9	48	0	0	4	1.6	165
 23	961	23.1	54	0	0	4	1.2	220
 24	961	21.3	61	0	0	4	1.0	171
 25	961	19.7	65	0	0	4	1.1	247
 26	961	18.0	70	0	0	4	2.0	175
 27	961	17.1	72	0	0	3	4.0	190
 28	961	16.2	82	0	0	3	3.5	155
 29	961	15.5	83	0	0	3	3.2	187
 30	961	15.4	84	0	1	3	2.5	170
 31	960	16.6	76	39	59	3	3.0	187
 32	960	18.3	67	149	123	3	1.8	164
 33	960	20.4	60	248	208	4	2.1	219
 34	960	22.3	48	330	288	5	2.3	181
 35	960	24.2	42	459	308	4	3.0	192
 36	960	26.0	36	538	332	4	2.5	211
 37	960	27.3	33	527	387	4	4.0	221
 38	961	28.2	31	471	389	5	4.7	196
 39	961	28.8	31	498	316	4	3.5	195
 40	961	29.0	32	377	317	5	4.4	202
 41	961	28.8	31	357	212	3	3.5	201
 42	961	28.0	34	220	156	3	3.7	231
 43	961	26.7	37	74	110	5	2.0	197
 44	961	25.1	43	0	16	5	1.4	213
 45	961	23.2	57	0	0	4	0.9	243
 46	961	21.4	61	0	0	4	0.6	290
 47	961	19.5	65	0	0	3	0.4	267
 48	962	17.6	65	0	0	3	0.2	323
 49	962	16.5	72	0	0	3	0.2	299
 50	962	15.2	82	0	0	2	0.1	305
 51	962	14.5	84	0	0	2	0.4	302
 52	962	13.8	83	0	0	2	0.3	306
 53	962	13.3	81	0	0	1	0.2	309
 54	962	13.2	80	0	1	1	0.2	306
 55	962	14.7	68	69	43	0	0.2	308
 56	962	16.9	62	253	66	0	0.3	300
 57	962	19.6	55	468	78	0	0.5	306
 58	963	22.3	46	646	104	0	0.6	282
 59	963	24.7	39	772	140	0	1.4	283
 60	963	26.9	34	867	159	0	1.6	205
 61	963	28.7	32	909	172	0	2.1	225
 62	963	30.1	30	916	157	0	1.9	194
 63	962	30.9	28	866	133	0	1.4	235
 64	962	31.3	27	761	105	0	1.8	249
 65	962	31.1	29	609	76	0	3.5	232
 66	961	30.2	32	414	54	0	5.2	204
 67	961	28.6	35	127	112	3	4.7	165
 68	961	26.5	41	0	27	3	2.9	157
 69	961	25.0	56	0	0	3	2.5	194
 70	960	23.4	60	0	0	2	2.7	178
 71	960	21.9	61	0	0	2	2.5	175
 72	960	20.3	70	0	0	2	2.5	160
 73	959	19.4	71	0	0	2	3.0	188
 74	959	18.4	76	0	0	1	3.0	195
 75	959	18.0	78	0	0	1	3.7	167
 76	959	17.5	82	0	0	1	4.2	153
 77	958	17.1	88	0	0	1	5.5	167
 78	958	17.1	88	0	0	0	4.0	110
 79	958	17.9	84	20	59	0	2.5	168
 80	957	20.1	77	248	97	0	2.0	191
 81	957	22.6	66	453	178	0	2.1	228
 82	957	23.7	57	177	348	6	1.6	216
