#1
#Egypt_ElGouna
#27,397        33,673        5             2
#
# hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
double tab1(8760,9)
 1	1012	19.5	49	0	0	0	4.4	353
 2	1012	18.9	51	0	0	0	3.8	27
 3	1012	18.3	51	0	0	0	4.3	24
 4	1012	17.9	52	0	0	0	4.7	85
 5	1012	17.6	51	0	0	0	3.6	38
 6	1012	17.4	53	0	0	0	3.7	27
 7	1012	17.4	52	0	1	0	3.5	51
 8	1012	18.6	47	54	57	0	4.2	12
 9	1012	20.1	43	191	92	0	4.2	349
 10	1012	21.7	38	322	121	0	6.0	73
 11	1012	23.2	31	452	121	0	6.1	5
 12	1012	24.4	29	485	133	0	6.4	46
 13	1012	25.2	28	502	114	0	7.2	10
 14	1012	25.6	26	439	100	0	7.9	328
 15	1012	25.6	27	338	74	0	7.9	10
 16	1012	25.0	30	123	109	0	8.9	41
 17	1012	23.9	33	0	30	0	8.2	351
 18	1012	23.2	38	0	0	0	8.2	20
 19	1012	22.5	39	0	0	0	7.0	7
 20	1012	21.8	41	0	0	0	6.6	11
 21	1012	21.0	42	0	0	0	6.3	24
 22	1012	20.3	42	0	0	0	4.9	345
 23	1012	19.6	40	0	0	0	4.2	40
 24	1012	18.9	43	0	0	0	3.7	351
 25	1012	18.3	45	0	0	0	3.8	22
 26	1012	17.6	46	0	0	0	4.9	355
 27	1012	16.9	48	0	0	0	6.6	10
 28	1012	16.5	49	0	0	0	6.4	335
 29	1013	16.2	52	0	0	0	5.6	7
 30	1013	15.9	51	0	0	0	5.1	350
 31	1013	15.9	52	0	2	0	5.5	7
 32	1013	17.2	47	87	43	0	4.4	344
 33	1013	19.0	41	261	57	0	5.1	354
 34	1013	20.7	37	434	59	0	5.5	1
 35	1013	22.3	34	554	65	0	6.3	327
 36	1013	23.5	32	611	69	0	6.1	31
 37	1013	24.4	30	601	67	0	7.2	41
 38	1013	24.8	29	532	58	0	8.2	16
 39	1013	24.8	31	402	50	0	7.5	15
 40	1013	24.2	34	139	124	4	8.3	337
 41	1013	22.9	38	0	40	4	7.7	21
 42	1013	22.3	46	0	0	3	7.7	6
 43	1013	21.6	44	0	0	3	6.3	17
 44	1013	21.0	47	0	0	3	5.1	33
 45	1013	20.3	53	0	0	3	4.3	18
 46	1013	19.7	58	0	0	2	3.4	200
 47	1013	19.0	58	0	0	2	2.8	267
 48	1013	18.4	63	0	0	2	1.8	323
 49	1013	17.9	66	0	0	2	1.7	299
 50	1013	17.4	69	0	0	2	1.3	305
 51	1013	16.8	68	0	0	1	2.6	302
 52	1013	16.6	70	0	0	1	2.1	306
 53	1013	16.3	72	0	0	1	1.1	309
 54	1013	16.1	74	0	0	1	0.7	306
 55	1013	16.0	80	0	1	0	1.1	308
 56	1013	17.6	73	93	41	0	1.4	300
 57	1013	19.7	64	279	50	0	2.0	306
 58	1013	21.7	52	451	54	0	2.6	282
 59	1013	23.6	42	567	62	0	3.5	238
 60	1013	25.0	37	615	68	0	4.0	25
 61	1013	25.9	35	600	68	0	4.7	45
 62	1013	26.4	34	537	58	0	4.7	329
 63	1013	26.4	33	404	50	0	4.3	55
 64	1013	25.6	33	140	124	4	4.9	24
 65	1013	24.1	36	0	36	4	6.0	52
 66	1013	23.2	43	0	0	3	6.9	24
 67	1013	22.3	47	0	0	3	6.4	345
 68	1013	21.3	48	0	0	3	5.3	337
 69	1013	20.4	52	0	0	3	4.9	14
 70	1013	19.5	55	0	0	3	4.7	358
 71	1013	18.6	58	0	0	2	4.4	355
 72	1013	17.7	61	0	0	2	4.3	340
 73	1013	17.0	61	0	0	2	4.3	8
 74	1013	16.3	62	0	0	2	4.2	15
 75	1013	15.6	61	0	0	1	5.6	347
 76	1013	15.2	62	0	0	1	6.0	333
 77	1013	14.8	65	0	0	1	5.5	347
 78	1013	14.6	64	0	0	1	4.6	335
 79	1013	14.6	60	0	1	0	4.0	348
 80	1013	15.9	57	91	41	0	3.7	11
 81	1013	17.7	51	283	48	0	4.2	3
 82	1013	19.5	48	459	52	0	4.0	351
 83	1013	21.2	40	579	62	0	4.7	49
 84	1013	22.5	36	636	69	0	4.9	36
 85	1013	23.3	35	624	67	0	6.3	37
 86	1013	23.8	35	549	61	0	5.8	33
 87	1013	23.8	34	413	52	0	5.5	32
 88	1013	23.1	35	143	128	4	5.5	89
 89	1013	21.8	37	0	41	4	5.6	87
 90	1013	21.1	46	0	0	3	5.8	2
 91	1013	20.4	52	0	0	3	5.5	40
 92	1013	19.7	53	0	0	3	5.5	335
 93	1013	18.9	56	0	0	3	4.3	349
 94	1012	18.2	58	0	0	2	4.2	47
 95	1012	17.5	59	0	0	2	3.8	7
 96	1012	16.8	65	0	0	2	3.7	346
 97	1012	16.2	58	0	0	2	4.6	334
 98	1012	15.7	59	0	0	2	5.1	354
 99	1012	15.1	61	0	0	1	5.8	322
 100	1012	14.8	61	0	0	1	5.3	6
 101	1012	14.5	62	0	0	1	4.9	15
 102	1012	14.3	69	0	0	1	4.6	358
 103	1012	14.3	64	0	2	0	5.1	10
 104	1012	15.5	58	68	49	0	4.6	1
 105	1012	17.0	53	191	92	0	4.6	52
 106	1012	18.5	45	287	139	1	4.7	10
 107	1012	20.0	41	427	136	0	4.9	355
 108	1011	21.1	38	464	148	0	5.3	20
 109	1011	22.0	34	484	133	0	5.6	32
 110	1011	22.4	34	393	134	0	6.6	39
 111	1011	22.3	33	285	109	0	6.7	349
 112	1012	21.8	35	122	115	4	6.7	3
 113	1012	20.6	35	0	31	3	7.5	11
 114	1012	20.0	38	0	0	3	7.9	11
 115	1012	19.3	38	0	0	3	7.5	343
 116	1012	18.6	40	0	0	3	6.0	342
 117	1012	17.9	43	0	0	2	6.3	344
 118	1012	17.2	43	0	0	2	6.0	14
 119	1012	16.5	43	0	0	2	5.3	350
 120	1012	15.8	45	0	0	2	5.5	348
 121	1012	15.2	46	0	0	2	6.3	3
 122	1012	14.5	45	0	0	1	6.4	330
 123	1012	13.9	45	0	0	1	7.5	1
 124	1012	13.6	45	0	0	1	7.2	4
 125	1012	13.2	47	0	0	1	6.1	343
 126	1012	13.0	42	0	0	1	6.0	327
 127	1012	13.0	44	0	1	0	6.1	349
 128	1012	14.3	40	79	44	0	6.3	3
 129	1012	16.0	40	247	64	0	6.4	324
 130	1012	17.8	32	412	70	0	6.1	340
 131	1013	19.3	29	506	89	0	6.9	34
 132	1013	20.5	25	571	88	0	7.9	36
 133	1013	21.4	25	576	80	0	9.2	24
 134	1013	21.9	28	519	65	0	10.2	345
 135	1013	21.9	27	396	53	0	10.8	1
 136	1013	21.3	27	211	52	0	10.4	343
 137	1013	20.2	30	43	36	0	9.0	334
 138	1013	19.0	33	0	0	0	7.2	30
 139	1013	18.4	35	0	0	0	6.9	41
 140	1012	17.8	37	0	0	0	5.6	35
 141	1012	17.2	39	0	0	0	5.5	168
 142	1012	16.6	41	0	0	0	4.2	29
 143	1012	16.0	40	0	0	0	3.8	243
 144	1012	15.4	40	0	0	0	3.2	255
 145	1012	14.9	42	0	0	0	3.2	301
 146	1012	14.4	45	0	0	0	2.7	304
 147	1012	14.0	47	0	0	0	3.3	309
 148	1012	13.7	45	0	0	0	3.5	333
 149	1012	13.5	48	0	0	0	2.9	273
 150	1012	13.3	50	0	0	0	2.6	256
 151	1012	13.3	50	0	1	0	2.1	308
 152	1012	14.6	46	72	47	0	2.6	302
 153	1012	16.3	43	218	80	0	2.6	270
 154	1012	18.0	37	375	90	0	2.9	292
 155	1012	19.6	36	460	115	0	3.3	272
 156	1012	20.8	34	523	116	0	3.8	318
 157	1012	21.7	34	542	98	0	3.7	147
 158	1012	22.2	31	461	96	0	4.7	280
 159	1012	22.2	31	357	73	0	5.1	41
 160	1012	21.6	32	188	66	0	4.4	20
 161	1012	20.5	35	38	37	0	4.7	260
 162	1012	19.4	43	0	0	0	4.7	77
 163	1012	18.8	49	0	0	0	4.6	11
 164	1012	18.1	49	0	0	0	4.6	42
 165	1012	17.5	49	0	0	0	4.0	358
 166	1012	16.9	50	0	0	0	3.7	332
 167	1012	16.3	52	0	0	0	3.5	352
 168	1012	15.6	54	0	0	0	3.4	5
 169	1012	15.0	52	0	0	0	3.0	15
 170	1012	14.4	53	0	0	0	3.2	10
 171	1012	13.8	55	0	0	0	4.0	54
 172	1012	13.5	54	0	0	0	3.5	354
 173	1012	13.2	59	0	0	0	2.1	11
 174	1012	13.0	61	0	0	0	1.4	249
 175	1012	13.0	62	0	1	0	0.7	303
 176	1012	14.2	59	68	49	0	1.1	302
 177	1012	15.9	50	228	74	0	1.8	304
 178	1012	17.6	43	400	81	0	2.6	268
 179	1012	19.2	38	506	97	0	3.7	151
 180	1012	20.4	36	506	132	0	4.6	328
 181	1012	21.2	35	472	145	0	5.8	355
 182	1012	21.5	36	380	146	0	6.7	343
 183	1012	21.5	34	317	97	0	6.6	341
 184	1012	20.9	35	182	66	0	5.5	14
 185	1012	19.8	38	39	37	0	6.4	332
 186	1012	18.7	44	0	0	0	6.4	9
 187	1012	18.1	44	0	0	0	5.8	350
 188	1012	17.4	45	0	0	0	5.1	347
 189	1012	16.7	48	0	0	0	4.9	23
 190	1012	16.1	52	0	0	0	5.3	356
 191	1012	15.4	57	0	0	0	5.3	341
 192	1012	14.8	59	0	0	0	5.8	340
 193	1012	14.2	67	0	0	0	4.9	333
 194	1012	13.6	68	0	0	0	5.5	346
 195	1012	13.0	69	0	0	0	6.6	358
 196	1012	12.7	67	0	0	0	6.4	350
 197	1012	12.4	66	0	0	0	4.9	325
 198	1012	12.2	65	0	0	0	4.6	324
 199	1012	12.2	67	0	1	0	5.3	8
 200	1012	13.5	63	82	44	0	5.3	346
 201	1012	15.2	59	244	66	0	4.9	345
 202	1012	17.0	46	406	74	0	6.1	330
 203	1012	18.6	42	529	79	0	6.7	345
 204	1012	19.9	37	580	87	0	7.5	331
 205	1013	20.8	33	583	80	0	7.2	16
 206	1013	21.2	31	498	79	0	7.2	41
 207	1013	21.2	30	386	61	0	7.9	353
 208	1013	20.6	35	196	66	0	7.5	9
 209	1013	19.5	37	42	39	0	7.5	330
 210	1013	18.3	40	0	0	0	8.5	335
 211	1013	17.7	47	0	0	0	8.5	333
 212	1013	17.1	48	0	0	0	7.7	333
 213	1013	16.5	53	0	0	0	7.0	2
 214	1013	15.9	57	0	0	0	6.4	346
 215	1013	15.3	59	0	0	0	5.6	1
 216	1013	14.6	60	0	0	0	5.6	354
 217	1013	14.1	61	0	0	0	5.5	33
 218	1013	13.6	63	0	0	0	6.3	351
 219	1013	13.0	68	0	0	0	6.6	354
 220	1013	12.7	72	0	0	0	6.1	42
 221	1013	12.4	73	0	0	0	5.1	11
