m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	1	1	1	8.5	0	6.1	84.9	0	2.7	218	324	3.8	0.0	8.0	-60.32	2.57	0	0	0	0.0	0.0	0	0	346
1	1	1	2	9.0	0	5.9	80.8	0	2.2	252	324	0.2	0.0	8.0	-56.80	2.57	0	0	0	0.0	0.0	0	0	348
1	1	1	3	8.7	0	5.6	80.8	0	1.8	249	322	0.2	0.0	8.0	-50.25	2.57	0	0	0	0.0	0.0	0	0	345
1	1	1	4	8.7	0	3.9	72.1	0	2.2	265	315	0.1	0.0	8.0	-42.04	2.57	0	0	0	0.0	0.0	0	0	346
1	1	1	5	8.5	0	3.7	71.4	0	2.0	263	314	0.0	0.0	8.0	-33.10	2.57	0	0	0	0.0	0.0	0	0	345
1	1	1	6	8.4	0	3.9	73.2	0	2.5	252	315	0.0	0.0	8.0	-23.98	2.57	0	0	0	0.0	0.0	0	0	345
1	1	1	7	8.3	0	3.6	72.1	0	2.0	276	314	0.0	0.0	8.0	-15.08	2.57	0	0	0	0.0	0.0	0	0	344
1	1	1	8	8.2	0	3.3	70.8	0	2.7	237	312	0.0	0.0	8.0	-6.74	2.57	0	0	0	0.0	0.0	0	0	345
1	1	1	9	8.3	1	3.7	72.5	1	2.4	214	314	0.0	0.7	8.0	3.97	2.57	0	16	10	28.3	3.3	1	0	353
1	1	1	10	8.7	18	3.8	71.3	18	4.2	298	315	0.0	1.1	8.0	6.88	2.57	0	89	32	169.1	18.7	9	0	356
1	1	1	11	9.0	33	2.8	64.8	33	3.4	185	310	0.1	1.2	8.0	11.42	2.57	0	166	44	279.6	34.9	16	0	358
1	1	1	12	9.3	44	6.0	80.0	44	3.2	271	324	0.0	1.4	8.0	13.98	2.57	0	214	50	341.1	45.0	21	0	360
