Braunlage DWD normal
 51,717        10,617        607           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	945	-2.9	94	0	0	7	3.6	240
 2	951	-4.3	95	0	0	7	3.1	260
 3	956	-5.1	95	0	0	7	2.9	250
 4	956	-4.6	96	0	0	7	2.7	270
 5	956	-4.1	97	0	0	7	2.8	260
 6	957	-3.7	97	0	0	7	2.0	260
 7	957	-3.4	100	0	0	7	3.0	240
 8	958	-3.1	96	0	0	7	3.0	260
 9	958	-2.7	94	2	8	7	2.0	270
 10	958	-2.5	96	27	67	7	3.0	270
 11	959	-2.4	100	38	108	7	4.0	250
 12	959	-2.1	96	65	129	6	3.0	280
 13	959	-1.8	96	16	92	8	4.0	280
 14	958	-1.5	94	33	98	7	4.0	250
 15	958	-1.8	94	5	35	7	4.0	250
 16	958	-2.2	90	0	0	7	6.0	240
 17	958	-2.6	91	0	0	7	5.0	250
 18	957	-2.8	91	0	0	7	7.0	250
 19	956	-3.2	93	0	0	7	5.0	240
 20	956	-3.5	95	0	0	7	5.0	260
 21	956	-3.7	96	0	0	7	5.0	260
 22	956	-3.7	97	0	0	7	5.0	260
 23	955	-3.6	97	0	0	7	6.0	270
 24	955	-3.2	100	0	0	7	6.0	280
 25	954	-3.0	97	0	0	7	5.0	280
 26	954	-3.0	98	0	0	7	6.0	290
 27	954	-2.7	98	0	0	8	6.0	290
 28	954	-2.8	97	0	0	8	4.0	300
 29	954	-2.7	97	0	0	8	7.0	300
 30	953	-2.5	97	0	0	8	6.0	300
 31	953	-2.1	100	0	0	8	6.0	300
 32	954	-1.7	96	0	0	8	5.0	300
 33	954	-1.2	96	0	4	8	6.0	300
 34	955	-1.0	96	0	29	8	6.0	310
 35	955	-0.6	96	0	49	8	5.0	310
 36	956	-0.2	100	0	59	8	4.0	310
 37	956	-0.2	100	0	57	8	4.0	320
 38	956	-0.1	96	0	44	8	4.0	330
 39	957	-0.4	96	0	21	8	3.0	340
 40	957	-1.4	92	0	0	8	2.0	10
 41	958	-2.1	92	0	0	8	2.0	360
 42	959	-2.5	86	0	0	7	4.0	50
 43	959	-4.6	91	0	0	7	2.0	10
 44	960	-5.4	92	0	0	7	2.0	70
 45	960	-5.5	89	0	0	7	5.0	50
 46	960	-6.0	92	0	0	7	4.0	70
 47	961	-6.5	92	0	0	7	4.0	90
 48	961	-7.3	91	0	0	7	3.0	80
 49	962	-7.9	92	0	0	6	2.0	90
 50	962	-8.1	93	0	0	6	2.0	80
 51	963	-9.6	94	0	0	6	2.0	50
 52	962	-9.2	93	0	0	6	2.0	70
 53	963	-8.8	95	0	0	6	3.0	90
 54	962	-8.7	94	0	0	6	2.0	80
 55	963	-9.1	93	0	0	6	2.0	60
 56	963	-9.4	93	0	0	5	3.0	70
 57	963	-9.0	93	4	9	5	3.0	60
 58	964	-8.8	93	34	66	5	2.0	80
 59	964	-8.2	93	78	97	5	2.0	60
 60	963	-7.2	83	115	98	4	2.0	100
 61	963	-6.9	80	111	96	4	3.0	110
 62	963	-6.9	82	80	80	5	3.0	120
 63	963	-7.6	80	40	39	4	3.0	80
 64	963	-8.2	80	1	0	4	3.0	60
 65	963	-9.8	87	0	0	4	2.0	60
 66	963	-11.2	91	0	0	4	1.0	30
 67	963	-11.7	89	0	0	4	2.0	30
 68	963	-11.8	84	0	0	4	2.0	20
 69	963	-11.9	78	0	0	4	2.0	20
 70	963	-13.7	88	0	0	4	1.0	10
 71	963	-14.2	83	0	0	4	1.0	30
 72	963	-13.4	91	0	0	4	1.0	10
 73	962	-14.8	90	0	0	4	0.0	99
 74	962	-14.6	86	0	0	4	1.0	340
 75	962	-13.7	90	0	0	4	0.0	340
 76	961	-13.6	89	0	0	3	1.0	330
 77	961	-13.7	88	0	0	3	0.0	360
 78	962	-12.8	92	0	0	3	2.0	10
 79	961	-12.7	91	0	0	3	2.0	360
