Chemnitz DWD normal
 50,8          12,867        418           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	969	-3.6	90	0	0	3	3.1	200
 2	967	-4.8	84	0	0	3	2.4	160
 3	965	-5.8	81	0	0	3	2.4	160
 4	964	-5.7	76	0	0	3	2.2	190
 5	963	-5.7	76	0	0	3	2.5	130
 6	962	-5.0	63	0	0	3	2.0	170
 7	962	-5.2	59	0	0	3	3.0	160
 8	961	-3.5	57	0	0	3	3.0	170
 9	961	-2.7	58	6	36	3	5.0	180
 10	960	-0.9	46	11	75	3	5.0	190
 11	959	-0.3	46	97	78	3	7.0	160
 12	958	1.2	36	106	97	4	6.0	170
 13	958	1.9	34	75	122	6	5.0	200
 14	957	2.0	35	17	128	3	4.0	170
 15	957	1.7	41	0	56	3	3.0	160
 16	956	1.2	43	0	19	4	5.0	160
 17	956	1.9	42	0	0	4	3.0	180
 18	955	1.2	47	0	0	4	6.0	180
 19	955	0.9	48	0	0	4	4.0	180
 20	955	0.4	55	0	0	5	4.0	150
 21	955	0.1	67	0	0	5	4.0	170
 22	954	2.5	62	0	0	5	5.0	200
 23	954	3.4	50	0	0	5	5.0	200
 24	954	4.6	49	0	0	5	5.0	210
 25	955	3.7	58	0	0	6	3.0	240
 26	953	4.2	48	0	0	6	4.0	180
 27	954	4.0	58	0	0	6	6.0	190
 28	954	2.5	59	0	0	6	4.0	150
 29	953	3.9	64	0	0	7	2.0	140
 30	952	5.4	65	0	0	7	6.0	190
 31	953	5.9	62	0	0	7	6.0	200
 32	952	5.0	62	0	0	7	7.0	200
 33	952	4.6	67	0	11	8	5.0	200
 34	952	4.4	67	0	31	8	2.0	170
 35	953	3.9	75	0	28	8	1.0	280
 36	953	5.3	78	0	33	8	3.0	190
 37	953	5.7	82	0	33	8	5.0	250
 38	952	6.0	83	0	72	8	8.0	200
 39	952	6.6	79	3	42	8	9.0	210
 40	952	6.2	79	3	11	8	9.0	200
 41	953	6.1	79	0	0	8	4.0	190
 42	953	5.7	79	0	0	8	3.0	180
 43	953	5.5	77	0	0	8	8.0	190
 44	953	4.8	80	0	0	8	9.0	210
 45	953	4.7	81	0	0	8	9.0	200
 46	953	4.5	81	0	0	8	7.0	190
 47	953	4.8	81	0	0	8	9.0	210
 48	953	4.1	83	0	0	8	8.0	200
 49	953	4.3	82	0	0	8	4.0	190
 50	954	4.4	81	0	0	8	4.0	180
 51	954	4.3	80	0	0	8	5.0	190
 52	954	4.7	78	0	0	8	3.0	170
 53	954	4.8	78	0	0	8	8.0	200
 54	954	4.9	77	0	0	8	8.0	210
