Hamburg DWD normal
 53,633        10            13            1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	1018	-0.6	95	0	0	8	3.1	270
 2	1023	-1.1	94	0	0	8	2.7	270
 3	1027	-1.6	94	0	0	8	2.2	270
 4	1027	-1.8	94	0	0	8	2.0	280
 5	1028	-2.0	95	0	0	8	2.0	280
 6	1028	-2.1	96	0	0	8	2.0	260
 7	1028	-2.1	95	0	0	8	2.0	250
 8	1028	-1.8	96	0	0	8	3.0	250
 9	1029	-0.9	96	0	14	8	3.0	250
 10	1028	0.6	92	3	72	8	4.0	260
 11	1028	1.4	90	0	83	8	6.0	250
 12	1028	1.7	90	0	83	8	5.0	250
 13	1027	2.7	87	0	86	8	6.0	260
 14	1027	3.0	85	0	64	8	7.0	260
 15	1026	3.0	86	0	36	8	8.0	260
 16	1025	3.0	87	0	6	7	7.0	260
 17	1025	3.1	87	0	0	7	8.0	260
 18	1025	3.2	87	0	0	7	7.0	270
 19	1024	3.3	87	0	0	6	8.0	270
 20	1024	3.5	86	0	0	6	8.0	270
 21	1024	3.4	89	0	0	5	8.0	280
 22	1024	3.8	89	0	0	5	7.0	270
 23	1023	3.5	90	0	0	5	7.0	270
 24	1023	4.6	81	0	0	4	8.0	280
 25	1023	4.8	80	0	0	4	8.0	280
 26	1023	5.0	81	0	0	4	9.0	280
 27	1022	5.4	82	0	0	3	9.0	290
 28	1023	5.3	87	0	0	3	9.0	300
 29	1023	5.1	89	0	0	3	8.0	300
 30	1024	5.1	91	0	0	2	8.0	310
 31	1024	4.7	89	0	0	2	6.0	320
 32	1025	4.4	89	0	0	1	4.0	320
 33	1026	3.2	90	3	14	1	2.0	340
 34	1028	3.2	90	47	50	1	2.0	10
 35	1029	3.1	67	111	50	0	2.0	20
 36	1030	2.6	59	161	47	0	4.0	360
 37	1030	2.1	64	169	42	0	3.0	30
 38	1031	1.4	64	131	39	0	4.0	20
 39	1032	0.8	66	64	31	0	3.0	20
 40	1033	-0.8	73	8	11	0	3.0	50
 41	1034	-1.7	76	0	0	0	1.0	30
 42	1034	-2.8	82	0	0	0	2.0	50
 43	1035	-3.8	85	0	0	0	2.0	70
 44	1036	-3.7	85	0	0	0	2.0	70
 45	1036	-4.0	86	0	0	0	2.0	70
