Kassel DWD normal
 51,3          9,45          231           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	990	-2.7	98	0	0	8	2.1	180
 2	987	-3.3	96	0	0	8	2.5	180
 3	985	-3.8	93	0	0	8	3.0	170
 4	984	-3.5	90	0	0	8	3.2	170
 5	983	-3.2	90	0	0	8	3.2	160
 6	981	-3.0	88	0	0	8	4.0	180
 7	981	-2.2	85	0	0	8	3.0	170
 8	980	-1.9	84	0	0	8	3.0	170
 9	980	-1.0	77	1	5	8	4.0	170
 10	979	-0.4	72	0	28	8	3.0	170
 11	978	-0.3	77	0	49	8	4.0	170
 12	977	0.4	74	0	60	8	4.0	160
 13	977	0.9	67	16	96	8	5.0	180
 14	976	1.3	64	0	46	8	4.0	190
 15	976	1.7	61	0	24	8	5.0	190
 16	975	1.4	72	0	1	8	5.0	170
 17	975	1.7	74	0	0	8	5.0	180
 18	975	1.5	80	0	0	8	5.0	180
 19	975	1.8	85	0	0	8	4.0	190
 20	975	1.8	89	0	0	8	4.0	190
 21	975	1.8	87	0	0	8	3.0	190
 22	974	1.4	88	0	0	8	4.0	190
 23	973	1.9	84	0	0	8	7.0	190
 24	974	2.1	86	0	0	8	5.0	190
 25	974	2.4	88	0	0	8	6.0	180
 26	974	2.5	87	0	0	8	4.0	180
 27	974	2.0	90	0	0	8	2.0	190
 28	973	2.0	92	0	0	8	2.0	180
 29	973	1.8	100	0	0	8	2.0	180
 30	973	1.7	99	0	0	8	2.0	180
 31	972	2.6	99	0	0	8	4.0	180
 32	972	2.8	97	0	0	8	4.0	190
 33	972	3.4	95	0	3	8	4.0	180
 34	973	3.6	94	0	28	8	3.0	190
 35	973	3.2	98	0	49	8	3.0	200
 36	972	3.7	96	0	60	8	4.0	190
 37	972	4.0	95	16	96	8	2.0	200
 38	972	4.4	95	12	77	8	2.0	190
 39	972	5.6	95	5	41	8	3.0	180
 40	972	5.5	95	0	2	8	2.0	120
 41	971	6.1	93	0	0	8	4.0	180
 42	972	5.0	95	0	0	8	3.0	180
 43	972	5.1	95	0	0	8	4.0	180
 44	972	5.2	94	0	0	8	3.0	180
 45	972	5.6	93	0	0	8	3.0	160
 46	972	5.7	92	0	0	8	63.0	99
 47	972	5.2	92	0	0	8	1.0	150
 48	972	4.6	93	0	0	8	1.0	200
 49	972	4.9	91	0	0	8	3.0	180
 50	972	5.8	86	0	0	8	4.0	180
 51	972	6.2	85	0	0	8	4.0	180
 52	973	6.0	85	0	0	8	3.0	180
 53	973	5.8	86	0	0	8	4.0	180
 54	973	5.4	88	0	0	8	5.0	180
 55	974	5.4	88	0	0	8	4.0	180
 56	974	5.3	88	0	0	8	5.0	180
 57	975	5.4	89	1	5	8	5.0	180
 58	975	5.6	89	6	47	8	4.0	180
 59	977	5.9	88	13	81	8	4.0	170
 60	978	5.9	88	16	98	8	3.0	170
 61	978	6.9	82	32	120	7	4.0	180
 62	979	7.0	81	12	78	8	4.0	180
 63	979	6.4	82	6	42	8	2.0	190
 64	980	6.1	79	1	2	8	2.0	190
 65	981	4.6	85	0	0	8	2.0	200
 66	981	3.4	91	0	0	8	2.0	190
 67	982	2.4	92	0	0	8	2.0	180
 68	982	2.3	94	0	0	8	2.0	180
 69	982	2.0	96	0	0	8	2.0	180
 70	982	2.5	95	0	0	8	3.0	180
 71	982	2.5	94	0	0	8	3.0	190
 72	982	1.7	95	0	0	8	2.0	150
 73	981	1.3	96	0	0	8	2.0	160
 74	981	0.8	96	0	0	8	2.0	180
 75	980	1.4	94	0	0	8	3.0	200
 76	979	1.9	92	0	0	8	2.0	180
 77	978	2.3	90	0	0	8	2.0	200
 78	977	2.0	90	0	0	8	3.0	190
 79	976	2.4	88	0	0	8	3.0	180
 80	976	2.2	88	0	0	8	3.0	190
 81	975	2.1	87	1	7	8	2.0	190
 82	975	2.6	85	13	59	8	2.0	180
 83	975	3.6	81	13	81	8	4.0	180
 84	974	4.3	79	16	99	8	3.0	180
 85	974	4.8	79	0	60	8	1.0	180
 86	973	6.4	74	0	48	8	5.0	180
 87	973	5.9	78	0	26	8	5.0	170
 88	973	5.2	86	0	1	8	4.0	160
 89	972	4.9	89	0	0	8	3.0	160
 90	973	4.8	95	0	0	8	3.0	180
 91	973	5.3	95	0	0	8	4.0	180
 92	973	5.8	100	0	0	8	4.0	180
 93	974	6.1	93	0	0	8	4.0	190
 94	975	6.2	90	0	0	8	66.0	99
 95	975	6.1	89	0	0	8	4.0	180
 96	975	5.9	89	0	0	8	4.0	180
 97	975	5.8	88	0	0	8	4.0	190
 98	976	5.6	88	0	0	8	4.0	190
 99	976	5.8	87	0	0	8	3.0	170
 100	976	5.4	88	0	0	8	3.0	180
