Mannheim DWD normal
 49,517        8,55          106           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	994	6.5	84	0	0	8	4.5	230
 2	988	5.2	85	0	0	8	4.3	210
 3	984	4.4	87	0	0	8	4.1	190
 4	984	4.4	86	0	0	8	4.4	200
 5	984	4.4	86	0	0	8	4.4	260
 6	985	4.1	88	0	0	8	4.0	300
 7	986	3.9	85	0	0	8	4.0	320
 8	987	3.1	84	0	0	8	4.0	310
 9	988	2.8	82	3	28	8	3.0	280
 10	990	3.5	78	0	39	8	4.0	300
 11	991	3.8	77	0	58	8	2.0	260
 12	991	4.2	76	8	108	8	3.0	240
 13	991	4.1	78	0	64	8	4.0	270
 14	991	4.2	77	17	75	7	5.0	310
 15	991	2.3	87	0	47	8	0.0	290
 16	992	3.3	79	8	28	8	4.0	280
 17	992	3.1	70	0	0	8	4.0	260
 18	993	2.9	67	0	0	8	4.0	260
 19	994	2.1	70	0	0	8	5.0	260
 20	994	1.7	68	0	0	8	3.0	260
 21	994	1.5	65	0	0	8	7.0	250
 22	994	1.3	64	0	0	8	7.0	260
 23	995	1.2	65	0	0	8	5.0	260
 24	995	0.7	71	0	0	8	5.0	240
 25	995	0.6	72	0	0	8	4.0	240
 26	995	1.2	67	0	0	8	5.0	240
 27	995	1.0	71	0	0	8	4.0	230
 28	995	0.8	72	0	0	8	4.0	250
 29	995	0.3	75	0	0	8	3.0	230
 30	995	0.2	76	0	0	8	2.0	240
 31	996	0.3	77	0	0	8	2.0	250
 32	996	1.0	72	0	0	8	4.0	260
 33	997	0.4	76	6	42	8	3.0	250
 34	997	2.0	67	0	42	8	5.0	240
 35	998	2.0	68	0	58	8	6.0	250
 36	998	2.2	68	0	17	8	6.0	250
 37	998	2.1	70	0	28	8	7.0	250
 38	999	2.2	73	0	14	8	5.0	260
 39	999	2.2	78	0	11	8	3.0	270
 40	1000	2.3	82	0	8	8	5.0	300
 41	1001	1.7	88	0	0	8	5.0	290
 42	1002	1.9	85	0	0	8	3.0	320
 43	1003	2.1	82	0	0	8	5.0	320
 44	1005	2.0	79	0	0	8	4.0	320
 45	1006	1.4	84	0	0	8	4.0	330
 46	1007	1.2	78	0	0	8	3.0	320
 47	1008	0.8	81	0	0	8	3.0	310
 48	1009	0.6	80	0	0	8	2.0	350
 49	1010	0.6	80	0	0	8	3.0	340
 50	1011	0.6	73	0	0	8	3.0	350
 51	1012	0.2	77	0	0	8	3.0	20
 52	1013	0.3	75	0	0	8	3.0	350
 53	1013	-0.1	76	0	0	8	2.0	310
 54	1014	-0.1	77	0	0	8	2.0	320
 55	1015	0.0	78	0	0	8	1.0	340
 56	1016	-0.2	80	0	0	8	2.0	320
 57	1016	-0.3	78	3	22	8	1.0	360
 58	1017	0.1	79	3	78	8	2.0	350
 59	1018	0.6	76	0	122	8	1.0	30
 60	1018	1.4	72	6	156	8	2.0	360
 61	1018	2.0	69	3	153	8	3.0	360
 62	1018	2.1	69	0	67	8	2.0	10
 63	1018	1.8	73	8	83	8	3.0	360
 64	1018	0.4	83	3	22	8	1.0	40
 65	1019	-0.3	83	0	0	7	1.0	20
 66	1019	-1.2	86	0	0	7	2.0	360
 67	1019	-1.6	89	0	0	6	1.0	340
 68	1020	-1.2	87	0	0	6	1.0	20
 69	1020	-0.8	85	0	0	6	1.0	340
 70	1020	-1.3	87	0	0	5	2.0	20
 71	1020	-1.5	87	0	0	5	1.0	10
 72	1020	-2.8	89	0	0	4	1.0	350
 73	1020	-3.1	89	0	0	4	2.0	30
 74	1021	-3.6	84	0	0	4	1.0	10
 75	1021	-3.7	82	0	0	3	2.0	20
 76	1021	-4.2	83	0	0	3	2.0	30
 77	1020	-4.8	85	0	0	2	2.0	40
 78	1020	-5.2	84	0	0	2	2.0	30
 79	1021	-5.6	84	0	0	2	1.0	40
 80	1021	-6.1	88	0	0	1	1.0	340
 81	1021	-6.1	87	17	25	1	2.0	50
 82	1021	-4.5	83	94	47	0	3.0	40
