Mühldorf DWD normal
 48,283        12,5          405           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	973	0.8	91	0	0	8	2.4	40
 2	976	1.5	92	0	0	8	2.2	230
 3	978	2.0	90	0	0	8	1.8	250
 4	978	2.0	92	0	0	8	2.2	250
 5	978	2.0	93	0	0	8	1.9	240
 6	978	1.7	95	0	0	8	1.0	250
 7	978	2.4	94	0	0	8	1.0	260
 8	978	1.9	93	0	0	8	0.0	0
 9	979	1.8	94	0	16	8	1.0	200
 10	979	2.6	94	0	46	8	0.0	320
 11	979	3.7	90	0	67	8	3.0	250
 12	978	4.5	89	0	76	8	3.0	250
 13	978	5.1	87	0	73	8	4.0	270
 14	978	4.7	92	0	57	8	3.0	280
 15	977	4.4	93	7	50	8	2.0	280
 16	977	4.3	93	1	4	8	1.0	260
 17	977	3.6	90	0	0	8	0.0	80
 18	977	2.0	93	0	0	8	0.0	130
 19	977	2.1	95	0	0	8	0.0	80
 20	976	2.0	95	0	0	8	1.0	90
 21	976	1.9	95	0	0	8	1.0	130
 22	975	3.2	89	0	0	8	1.0	230
 23	975	3.2	85	0	0	8	1.0	250
 24	974	2.5	90	0	0	8	1.0	100
 25	974	3.2	85	0	0	8	0.0	170
 26	973	3.0	85	0	0	8	0.0	250
 27	972	4.1	80	0	0	8	3.0	230
 28	971	4.5	77	0	0	8	3.0	240
 29	970	3.7	84	0	0	8	0.0	240
 30	970	3.9	85	0	0	8	2.0	250
 31	970	4.4	85	0	0	8	2.0	240
 32	970	4.5	89	0	0	8	2.0	260
 33	970	7.4	84	4	27	8	5.0	270
 34	971	7.5	84	0	46	8	8.0	280
 35	972	5.1	84	0	67	8	6.0	290
 36	973	5.1	83	0	77	8	7.0	280
 37	973	4.1	84	0	73	8	8.0	290
 38	972	3.9	89	0	57	8	5.0	280
 39	973	4.2	81	0	31	8	9.0	280
 40	974	3.8	68	0	2	8	7.0	270
 41	975	2.9	82	0	0	8	4.0	250
 42	976	2.8	77	0	0	8	3.0	260
 43	977	2.2	79	0	0	8	3.0	260
 44	978	2.2	77	0	0	8	3.0	260
 45	979	2.1	76	0	0	8	5.0	260
 46	979	0.8	81	0	0	8	3.0	260
 47	980	0.8	80	0	0	8	4.0	270
 48	980	0.7	81	0	0	8	2.0	260
 49	980	1.3	79	0	0	8	6.0	280
 50	980	1.5	80	0	0	8	5.0	270
 51	980	1.5	80	0	0	8	5.0	270
 52	980	1.3	79	0	0	8	5.0	270
 53	980	1.2	83	0	0	8	6.0	270
 54	981	1.7	82	0	0	8	6.0	270
 55	981	1.3	85	0	0	8	6.0	270
 56	982	1.7	80	0	0	8	6.0	270
 57	982	2.1	78	4	28	8	6.0	270
 58	983	2.4	76	0	46	8	6.0	260
 59	983	2.6	78	19	109	8	7.0	260
 60	983	3.1	75	23	124	8	8.0	260
 61	983	3.5	74	21	118	8	8.0	270
 62	983	3.4	73	0	58	8	7.0	270
 63	983	3.3	73	0	31	8	10.0	270
 64	983	3.5	71	0	2	8	8.0	270
 65	983	3.6	71	0	0	8	7.0	270
 66	983	3.4	72	0	0	8	7.0	270
 67	984	3.4	73	0	0	8	6.0	270
 68	984	3.6	71	0	0	8	6.0	270
 69	984	3.2	77	0	0	8	5.0	260
 70	985	3.4	77	0	0	8	4.0	260
 71	984	3.4	75	0	0	8	5.0	260
 72	984	3.2	77	0	0	8	6.0	260
 73	983	3.3	74	0	0	8	3.0	260
 74	983	3.5	73	0	0	8	4.0	260
 75	983	3.4	76	0	0	8	4.0	260
 76	983	3.7	76	0	0	7	4.0	270
 77	983	3.8	73	0	0	7	5.0	260
 78	982	4.1	72	0	0	7	4.0	260
 79	982	3.9	71	0	0	7	4.0	280
 80	982	4.4	67	0	0	7	6.0	270
 81	982	4.2	68	7	35	7	7.0	260
 82	982	4.6	69	24	95	7	4.0	260
 83	982	4.7	70	38	135	7	4.0	260
 84	982	6.0	66	46	152	7	5.0	260
 85	981	6.4	65	65	158	7	7.0	270
