#1
#Potsdam DWD normal
# 52,383        13,067        81            1 
#
# hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
double tab1(8760,9)
 1	1005	-2.6	93	0	0	8	5.7	230
 2	1011	-3.9	89	0	0	8	5.7	240
 3	1016	-4.6	90	0	0	8	5.7	260
 4	1016	-3.9	95	0	0	8	5.7	270
 5	1017	-3.3	97	0	0	8	5.5	280
 6	1017	-2.9	98	0	0	8	5.0	270
 7	1017	-2.0	99	0	0	8	5.0	280
 8	1018	-1.5	99	0	0	8	5.0	280
 9	1018	-1.2	99	0	11	8	5.0	260
 10	1019	-0.6	98	0	44	8	5.0	260
 11	1019	0.1	93	0	69	8	7.0	260
 12	1019	0.5	89	0	92	8	7.0	260
 13	1018	0.4	92	0	42	8	7.0	260
 14	1017	0.9	93	0	33	8	8.0	260
 15	1016	1.2	93	0	25	8	9.0	260
 16	1016	1.5	91	0	6	8	9.0	260
 17	1015	1.7	87	0	0	8	11.0	260
 18	1014	1.8	85	0	0	7	12.0	260
 19	1014	1.6	86	0	0	7	10.0	260
 20	1013	1.8	86	0	0	7	11.0	260
 21	1013	1.8	87	0	0	7	11.0	260
 22	1012	1.7	87	0	0	7	12.0	260
 23	1011	1.9	87	0	0	6	13.0	270
 24	1010	1.7	92	0	0	6	11.0	260
 25	1009	2.0	90	0	0	6	12.0	270
 26	1009	2.6	87	0	0	6	13.0	270
 27	1008	2.6	88	0	0	6	12.0	270
 28	1008	2.3	92	0	0	5	15.0	280
 29	1008	2.3	93	0	0	5	13.0	280
 30	1009	2.0	97	0	0	5	10.0	280
 31	1010	1.6	99	0	0	5	10.0	290
 32	1011	1.8	99	0	0	5	8.0	280
 33	1012	1.5	99	6	22	4	8.0	290
 34	1013	1.8	88	61	50	4	7.0	310
 35	1015	2.0	70	86	78	4	5.0	340
 36	1016	1.4	67	164	67	0	6.0	350
 37	1017	1.0	66	119	83	3	6.0	350
 38	1018	0.5	63	131	78	2	5.0	350
 39	1019	-0.3	66	64	58	4	5.0	10
 40	1020	-1.7	68	8	17	3	5.0	10
 41	1021	-1.9	69	0	0	3	3.0	350
 42	1022	-2.6	74	0	0	3	2.0	10
 43	1023	-3.8	80	0	0	3	2.0	330
 44	1024	-4.4	85	0	0	3	2.0	340
 45	1025	-4.6	86	0	0	2	2.0	340
 46	1025	-4.6	86	0	0	2	3.0	360
 47	1025	-5.0	87	0	0	2	3.0	350
 48	1026	-5.6	89	0	0	2	2.0	340
 49	1026	-5.8	93	0	0	2	2.0	360
 50	1027	-6.4	93	0	0	2	2.0	10
 51	1027	-6.5	95	0	0	1	2.0	20
 52	1028	-7.2	96	0	0	1	2.0	20
 53	1028	-7.5	96	0	0	1	1.0	30
 54	1028	-7.7	95	0	0	1	2.0	30
 55	1028	-7.5	96	0	0	1	2.0	40
 56	1029	-7.7	94	0	0	1	2.0	60
 57	1029	-7.3	93	8	17	0	3.0	70
 58	1030	-6.4	95	72	39	0	2.0	80
 59	1030	-5.2	94	136	50	0	2.0	100
 60	1029	-4.1	81	164	61	0	4.0	120
 61	1029	-3.0	71	78	114	6	3.0	100
 62	1029	-3.6	70	131	56	0	3.0	90
 63	1029	-3.9	71	50	61	5	3.0	90
 64	1030	-4.8	72	6	28	5	2.0	90
 65	1030	-5.9	77	0	0	4	2.0	110
 66	1030	-7.4	83	0	0	4	2.0	100
 67	1030	-7.9	82	0	0	4	3.0	110
 68	1030	-8.5	82	0	0	4	3.0	120
 69	1030	-9.0	84	0	0	3	3.0	110
 70	1030	-9.6	85	0	0	3	3.0	120
 71	1029	-10.0	83	0	0	3	3.0	120
 72	1029	-10.6	80	0	0	3	3.0	130
 73	1029	-11.0	84	0	0	2	3.0	120
 74	1029	-11.3	83	0	0	2	3.0	120
 75	1028	-11.6	82	0	0	2	4.0	120
 76	1028	-12.0	82	0	0	2	4.0	110
 77	1028	-12.2	84	0	0	1	4.0	110
 78	1027	-12.5	84	0	0	1	4.0	110
 79	1027	-12.6	85	0	0	1	3.0	120
 80	1027	-12.9	87	0	0	1	4.0	130
 81	1027	-13.4	87	14	14	0	2.0	130
 82	1027	-12.3	84	83	33	0	1.0	140
 83	1027	-10.6	78	156	42	0	1.0	190
 84	1027	-7.9	72	194	47	0	1.0	80
 85	1027	-3.7	52	194	47	0	0.0	99
 86	1026	-4.6	59	158	42	0	0.0	270
 87	1026	-5.3	62	89	33	0	0.0	99
 88	1026	-6.2	67	17	17	0	0.0	0
 89	1026	-6.7	68	0	0	0	0.0	99
 90	1026	-6.8	71	0	0	0	2.0	200
 91	1026	-6.9	74	0	0	0	3.0	210
 92	1026	-7.2	76	0	0	0	3.0	200
 93	1026	-8.0	76	0	0	0	4.0	200
 94	1026	-9.2	81	0	0	0	4.0	230
 95	1026	-9.8	83	0	0	0	3.0	230
 96	1026	-9.9	85	0	0	0	4.0	230
 97	1028	-10.8	87	0	0	0	3.0	230
 98	1025	-10.0	81	0	0	0	3.0	230
 99	1025	-10.5	81	0	0	0	1.0	240
 100	1025	-10.7	82	0	0	0	4.0	250
 101	1025	-10.8	83	0	0	0	3.0	260
 102	1025	-11.6	86	0	0	0	2.0	290
 103	1025	-11.3	87	0	0	0	1.0	260
 104	1025	-12.0	83	0	0	0	3.0	270
 105	1025	-11.9	84	11	17	0	3.0	250
 106	1025	-10.9	82	69	39	0	3.0	230
 107	1025	-9.3	76	156	44	0	2.0	220
 108	1025	-5.1	62	203	47	0	1.0	230
 109	1025	-1.3	51	197	56	0	1.0	250
 110	1024	-3.0	58	161	47	0	2.0	230
 111	1024	-2.8	58	92	36	0	1.0	210
 112	1024	-3.5	63	17	19	1	2.0	230
 113	1024	-4.9	73	0	0	1	3.0	250
 114	1024	-6.1	76	0	0	2	5.0	240
 115	1023	-6.3	75	0	0	2	5.0	240
 116	1023	-7.1	78	0	0	2	5.0	260
 117	1023	-7.2	80	0	0	3	5.0	260
 118	1023	-7.1	78	0	0	3	6.0	260
 119	1023	-7.2	80	0	0	3	5.0	260
 120	1023	-6.5	76	0	0	4	5.0	250
 121	1023	-6.8	80	0	0	4	5.0	260
 122	1022	-5.1	74	0	0	5	5.0	250
 123	1022	-4.0	78	0	0	5	4.0	240
 124	1021	-3.4	83	0	0	5	4.0	240
 125	1021	-2.7	89	0	0	6	5.0	230
 126	1021	-1.8	96	0	0	6	5.0	240
 127	1020	-1.6	96	0	0	6	3.0	240
 128	1020	-0.8	98	0	0	7	5.0	240
 129	1020	-0.4	96	0	3	7	4.0	240
 130	1019	0.0	96	0	19	8	5.0	240
 131	1018	1.1	88	0	42	8	6.0	250
 132	1017	1.6	88	0	22	8	6.0	240
 133	1017	1.6	95	0	22	8	6.0	260
 134	1016	1.2	99	0	17	8	6.0	260
 135	1016	1.2	99	0	8	8	6.0	270
 136	1016	1.3	99	0	3	8	6.0	280
 137	1016	1.2	99	0	0	8	6.0	280
 138	1016	1.5	99	0	0	8	5.0	300
 139	1016	1.5	99	0	0	8	4.0	270
 140	1016	1.6	99	0	0	8	5.0	280
 141	1016	1.8	99	0	0	8	6.0	280
 142	1016	2.1	99	0	0	8	6.0	280
 143	1016	2.1	99	0	0	8	6.0	280
 144	1017	2.1	99	0	0	8	5.0	280
 145	1017	2.3	99	0	0	8	5.0	300
 146	1017	2.3	99	0	0	8	4.0	300
 147	1017	2.3	99	0	0	8	4.0	300
 148	1017	2.1	99	0	0	8	4.0	280
 149	1018	2.1	99	0	0	8	4.0	300
 150	1018	2.1	99	0	0	8	3.0	300
 151	1019	1.8	99	0	0	8	3.0	320
 152	1019	1.6	99	0	0	8	2.0	330
 153	1019	1.3	99	0	6	8	2.0	320
 154	1020	1.2	99	0	19	8	2.0	340
 155	1020	1.3	99	0	33	8	1.0	350
 156	1020	1.2	99	0	33	8	2.0	350
 157	1020	1.1	99	0	36	8	2.0	10
 158	1021	1.2	99	0	31	8	1.0	20
 159	1021	1.3	99	0	25	8	1.0	10
 160	1021	1.1	99	0	8	8	2.0	350
 161	1021	0.9	99	0	0	8	1.0	260
 162	1021	0.7	99	0	0	8	1.0	300
 163	1021	0.8	99	0	0	8	1.0	310
