Germany_Potsdam_2005_DWD
 52,47         13,4          50            1

 hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
 1	1007.2	5.9	99.0	0.0	0.0	8.0	5.3	240.0
 2	1007.0	6.0	98.0	0.0	0.0	8.0	5.2	240.0
 3	1007.0	6.2	99.0	0.0	0.0	8.0	5.3	240.0
 4	1007.2	6.5	100.0	0.0	0.0	8.0	5.0	260.0
 5	1007.4	6.9	98.0	0.0	0.0	8.0	4.9	270.0
 6	1007.9	6.9	98.0	0.0	0.0	8.0	4.7	290.0
 7	1008.7	5.8	98.0	0.0	0.0	8.0	4.2	330.0
 8	1009.3	5.0	98.0	0.0	0.0	7.0	3.4	330.0
 9	1009.6	4.8	99.0	2.8	16.7	5.0	2.8	300.0
 10	1010.4	4.6	100.0	11.1	50.0	7.0	3.0	300.0
 11	1010.8	3.9	99.0	0.0	47.2	7.0	4.1	320.0
 12	1010.7	4.5	100.0	0.0	77.8	8.0	1.7	290.0
 13	1010.3	4.5	100.0	0.0	72.2	8.0	2.5	280.0
 14	1009.7	5.0	97.0	0.0	63.9	8.0	1.8	260.0
 15	1009.2	5.0	97.0	0.0	36.1	8.0	2.6	230.0
 16	1008.6	4.6	100.0	0.0	8.3	7.0	2.4	230.0
 17	1008.2	4.5	100.0	0.0	0.0	7.0	3.9	220.0
 18	1007.5	4.0	100.0	0.0	0.0	7.0	4.3	230.0
 19	1006.7	4.3	97.0	0.0	0.0	7.0	4.9	210.0
 20	1005.6	4.4	96.0	0.0	0.0	7.0	4.9	200.0
 21	1004.7	4.5	90.0	0.0	0.0	8.0	5.0	210.0
 22	1003.5	4.7	85.0	0.0	0.0	7.0	5.7	200.0
 23	1002.1	4.5	87.0	0.0	0.0	7.0	5.4	210.0
 24	1000.5	4.8	87.0	0.0	0.0	8.0	5.9	200.0
 25	998.8	4.8	87.0	0.0	0.0	7.0	6.6	200.0
 26	997.1	5.4	88.0	0.0	0.0	8.0	6.7	210.0
 27	995.5	5.8	91.0	0.0	0.0	8.0	7.4	210.0
 28	994.1	6.5	91.0	0.0	0.0	7.0	7.8	220.0
 29	994.4	7.2	92.0	0.0	0.0	8.0	9.1	230.0
 30	994.6	7.2	82.0	0.0	0.0	3.0	9.7	260.0
 31	995.7	5.5	84.0	0.0	0.0	2.0	9.6	270.0
 32	996.2	4.2	87.0	0.0	0.0	3.0	7.9	280.0
 33	997.4	3.4	89.0	0.0	8.3	3.0	11.0	270.0
 34	998.4	4.4	76.0	2.8	33.3	6.0	8.9	270.0
 35	999.3	4.7	73.0	30.6	66.7	5.0	9.1	270.0
 36	999.9	5.0	66.0	0.0	52.8	7.0	10.9	270.0
 37	1000.1	5.3	66.0	11.1	80.6	6.0	9.5	270.0
 38	1000.3	5.4	66.0	13.9	69.4	7.0	10.1	270.0
 39	1000.8	5.1	68.0	0.0	36.1	6.0	9.6	260.0
 40	1001.1	5.0	64.0	0.0	11.1	6.0	9.2	260.0
 41	1001.8	4.5	68.0	0.0	0.0	6.0	10.3	260.0
 42	1002.2	4.1	71.0	0.0	0.0	8.0	10.4	270.0
 43	1002.5	4.0	69.0	0.0	0.0	5.0	9.6	270.0
 44	1002.9	3.8	69.0	0.0	0.0	6.0	9.9	260.0
 45	1003.3	4.3	69.0	0.0	0.0	6.0	10.1	260.0
 46	1003.5	4.2	67.0	0.0	0.0	6.0	10.0	260.0
 47	1003.7	4.3	71.0	0.0	0.0	7.0	10.0	260.0
 48	1003.7	4.0	74.0	0.0	0.0	8.0	10.8	260.0
 49	1003.9	3.4	82.0	0.0	0.0	7.0	11.1	260.0
 50	1003.7	3.9	80.0	0.0	0.0	8.0	9.3	260.0
 51	1005.0	0.4	99.0	0.0	0.0	8.0	10.2	290.0
 52	1005.0	0.3	97.0	0.0	0.0	8.0	5.8	280.0
 53	1004.6	1.4	99.0	0.0	0.0	8.0	5.9	270.0
 54	1005.4	2.0	99.0	0.0	0.0	8.0	8.9	270.0
 55	1006.1	2.1	96.0	0.0	0.0	8.0	9.0	270.0
 56	1006.2	1.7	100.0	0.0	0.0	6.0	9.9	280.0
 57	1007.0	2.2	98.0	2.8	11.1	7.0	8.3	270.0
 58	1007.5	2.8	94.0	0.0	38.9	7.0	8.0	270.0
 59	1007.9	3.4	90.0	0.0	55.6	7.0	8.9	270.0
 60	1007.8	3.5	93.0	11.1	72.2	6.0	9.0	270.0
 61	1008.3	4.4	85.0	8.3	86.1	7.0	9.0	280.0
 62	1008.5	4.2	91.0	0.0	25.0	8.0	9.1	280.0
 63	1008.7	4.3	98.0	0.0	22.2	7.0	8.7	280.0
 64	1008.8	4.9	93.0	0.0	8.3	7.0	8.5	280.0
 65	1009.4	5.0	95.0	0.0	0.0	6.0	8.3	270.0
 66	1009.7	5.4	91.0	0.0	0.0	7.0	8.5	280.0
 67	1009.9	5.6	89.0	0.0	0.0	7.0	8.0	280.0
 68	1009.8	5.7	90.0	0.0	0.0	7.0	7.9	270.0
 69	1009.6	5.6	93.0	0.0	0.0	7.0	8.5	270.0
 70	1009.1	5.4	99.0	0.0	0.0	8.0	8.6	260.0
 71	1008.3	5.7	99.0	0.0	0.0	8.0	9.2	260.0
 72	1007.7	5.8	98.0	0.0	0.0	8.0	9.4	260.0
 73	1007.2	5.9	99.0	0.0	0.0	8.0	9.6	260.0
 74	1006.7	5.8	98.0	0.0	0.0	8.0	9.1	270.0
 75	1006.6	5.9	99.0	0.0	0.0	8.0	9.5	270.0
 76	1005.9	6.1	99.0	0.0	0.0	8.0	9.8	270.0
 77	1005.5	6.4	98.0	0.0	0.0	8.0	10.2	270.0
 78	1005.4	6.8	91.0	0.0	0.0	8.0	10.1	270.0
 79	1005.2	7.5	83.0	0.0	0.0	8.0	11.3	270.0
 80	1005.6	7.7	81.0	0.0	0.0	8.0	11.9	270.0
 81	1006.0	7.5	82.0	0.0	0.0	8.0	10.2	270.0
 82	1006.4	7.5	82.0	2.8	8.3	8.0	9.8	270.0
 83	1006.4	7.6	83.0	0.0	30.6	8.0	11.1	270.0
 84	1006.3	7.6	82.0	0.0	27.8	8.0	9.3	270.0
 85	1006.3	7.9	75.0	0.0	27.8	8.0	9.7	270.0
 86	1006.3	8.2	73.0	0.0	16.7	8.0	11.1	280.0
 87	1006.2	8.0	77.0	2.8	2.8	8.0	9.7	270.0
 88	1006.1	7.8	76.0	0.0	0.0	8.0	9.2	270.0
 89	1006.3	7.7	74.0	0.0	0.0	8.0	10.7	270.0
 90	1006.6	7.2	75.0	0.0	0.0	8.0	10.2	270.0
