#Germany_Potsdam_2008_DWD
# 52,47         13,4          50            1
#
# hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
double tab1(8784,9)
 1	1013.2	-0.1	99.0	0.0	0.0	-1.0	4.4	280.0
 2	1013.2	0.0	99.0	0.0	0.0	-1.0	4.5	280.0
 3	1013.0	0.0	99.0	0.0	0.0	-1.0	4.2	280.0
 4	1012.8	0.1	99.0	0.0	0.0	8.0	3.8	270.0
 5	1012.7	0.1	99.0	0.0	0.0	8.0	3.9	280.0
 6	1012.7	0.0	99.0	0.0	0.0	-1.0	3.9	290.0
 7	1012.8	0.1	99.0	0.0	0.0	-1.0	3.2	300.0
 8	1012.7	0.1	99.0	0.0	0.0	8.0	3.2	300.0
 9	1012.8	0.0	99.0	2.8	5.6	8.0	2.9	310.0
 10	1012.9	0.0	99.0	0.0	33.3	8.0	3.2	290.0
 11	1013.0	0.4	99.0	2.8	97.2	7.0	3.4	280.0
 12	1012.7	0.3	98.0	0.0	47.2	8.0	3.6	290.0
 13	1012.5	0.2	99.0	0.0	47.2	8.0	3.5	290.0
 14	1012.2	0.0	98.0	0.0	30.6	8.0	3.9	280.0
 15	1012.3	-0.1	99.0	0.0	13.9	8.0	3.6	270.0
 16	1012.6	-0.1	99.0	0.0	0.0	8.0	3.3	270.0
 17	1012.7	-0.1	99.0	0.0	0.0	8.0	2.7	280.0
 18	1013.0	-0.1	99.0	0.0	0.0	8.0	2.0	280.0
 19	1013.1	-0.1	99.0	0.0	0.0	8.0	0.9	290.0
 20	1013.4	-0.1	99.0	0.0	0.0	8.0	0.1	280.0
 21	1013.6	0.0	99.0	0.0	0.0	8.0	0.5	130.0
 22	1013.6	0.0	99.0	0.0	0.0	-1.0	1.0	120.0
 23	1014.1	-0.2	100.0	0.0	0.0	8.0	2.4	120.0
 24	1014.6	-0.2	100.0	0.0	0.0	8.0	2.8	120.0
 25	1014.7	-0.3	100.0	0.0	0.0	8.0	2.9	120.0
 26	1015.1	-0.6	99.0	0.0	0.0	8.0	3.1	120.0
 27	1015.3	-0.7	99.0	0.0	0.0	7.0	2.4	120.0
 28	1015.2	-1.5	99.0	0.0	0.0	6.0	2.6	100.0
 29	1015.3	-1.2	99.0	0.0	0.0	7.0	2.5	110.0
 30	1015.4	-0.7	98.0	0.0	0.0	8.0	2.6	100.0
 31	1015.4	-0.6	99.0	0.0	0.0	8.0	2.7	100.0
 32	1015.4	-0.6	99.0	0.0	0.0	8.0	2.8	100.0
 33	1015.7	-0.6	99.0	0.0	5.6	8.0	2.8	100.0
 34	1015.8	-0.4	100.0	0.0	16.7	8.0	2.8	110.0
 35	1015.8	-0.2	100.0	0.0	66.7	6.0	3.3	110.0
 36	1015.3	-0.1	96.0	0.0	77.8	8.0	3.2	100.0
 37	1014.7	0.1	92.0	0.0	77.8	8.0	2.9	90.0
 38	1014.3	0.1	93.0	0.0	44.4	8.0	3.0	90.0
 39	1014.2	0.0	96.0	0.0	11.1	8.0	3.3	80.0
 40	1013.8	-0.2	100.0	0.0	0.0	8.0	4.3	90.0
 41	1013.5	-0.5	94.0	0.0	0.0	8.0	5.4	90.0
 42	1013.3	-0.7	92.0	0.0	0.0	8.0	5.2	100.0
 43	1012.9	-1.0	87.0	0.0	0.0	8.0	5.6	90.0
 44	1012.4	-1.4	86.0	0.0	0.0	8.0	6.2	100.0
 45	1012.0	-1.9	84.0	0.0	0.0	8.0	6.0	100.0
 46	1011.4	-2.3	87.0	0.0	0.0	8.0	5.8	90.0
 47	1011.1	-2.9	86.0	0.0	0.0	8.0	5.9	90.0
 48	1011.0	-3.5	87.0	0.0	0.0	8.0	6.8	90.0
 49	1010.4	-3.9	87.0	0.0	0.0	8.0	6.2	100.0
 50	1009.9	-4.0	86.0	0.0	0.0	8.0	6.2	90.0
