#1
#Germany_Potsdam_2010_DWD
# 52,47         13,4          50            1
#
# hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
double tab1(8760,9)
 1	983.9	-2.3	95.0	0.0	0.0	8.0	4.7	60.0
 2	983.4	-2.4	96.0	0.0	0.0	8.0	3.6	50.0
 3	983.3	-2.5	95.0	0.0	0.0	8.0	3.9	50.0
 4	982.8	-2.7	95.0	0.0	0.0	7.0	5.1	50.0
 5	983.1	-2.6	94.0	0.0	0.0	8.0	4.0	50.0
 6	983.1	-2.6	93.0	0.0	0.0	8.0	4.3	50.0
 7	983.6	-2.5	91.0	0.0	0.0	8.0	3.8	50.0
 8	983.5	-2.4	89.0	0.0	0.0	8.0	3.2	40.0
 9	983.6	-2.3	88.0	0.0	8.3	8.0	3.7	60.0
 10	984.1	-2.0	85.0	0.0	25.0	8.0	3.8	50.0
 11	984.4	-1.7	84.0	0.0	38.9	8.0	3.3	50.0
 12	984.6	-1.6	83.0	0.0	41.7	8.0	2.9	50.0
 13	984.6	-1.3	81.0	0.0	52.8	8.0	3.1	60.0
 14	984.9	-1.2	81.0	0.0	44.4	8.0	2.6	40.0
 15	985.6	-1.4	81.0	0.0	33.3	8.0	3.4	50.0
 16	986.2	-1.7	87.0	0.0	5.6	8.0	2.7	30.0
 17	987.0	-2.2	91.0	0.0	0.0	8.0	2.4	40.0
 18	987.3	-2.3	91.0	0.0	0.0	8.0	2.1	40.0
 19	987.8	-2.2	87.0	0.0	0.0	8.0	2.3	20.0
 20	988.6	-2.3	87.0	0.0	0.0	8.0	2.2	20.0
 21	989.0	-2.3	87.0	0.0	0.0	8.0	2.4	30.0
 22	989.7	-2.3	85.0	0.0	0.0	8.0	2.4	20.0
 23	990.3	-2.5	87.0	0.0	0.0	8.0	2.3	20.0
 24	990.7	-2.2	82.0	0.0	0.0	8.0	2.1	360.0
 25	991.2	-2.6	86.0	0.0	0.0	8.0	2.7	10.0
 26	992.0	-2.7	89.0	0.0	0.0	8.0	2.8	10.0
 27	992.5	-2.9	92.0	0.0	0.0	8.0	2.7	10.0
 28	992.9	-2.8	93.0	0.0	0.0	8.0	2.9	10.0
 29	993.6	-2.4	95.0	0.0	0.0	8.0	3.4	20.0
 30	994.5	-2.2	96.0	0.0	0.0	8.0	3.1	10.0
 31	995.4	-2.2	96.0	0.0	0.0	8.0	2.9	350.0
 32	996.4	-2.2	96.0	0.0	0.0	8.0	3.1	350.0
 33	997.2	-2.2	96.0	0.0	5.6	8.0	2.8	330.0
 34	998.1	-2.0	96.0	0.0	36.1	8.0	3.1	320.0
 35	998.9	-1.7	94.0	0.0	83.3	8.0	3.4	320.0
 36	999.5	-1.1	94.0	0.0	100.0	8.0	3.8	310.0
 37	1000.2	-1.2	92.0	0.0	94.4	8.0	4.1	310.0
 38	1001.2	-1.3	92.0	0.0	66.7	8.0	4.5	310.0
 39	1001.9	-1.4	90.0	0.0	41.7	8.0	4.3	320.0
 40	1002.9	-2.2	91.0	0.0	8.3	8.0	4.6	300.0
 41	1003.7	-2.3	92.0	0.0	0.0	8.0	4.7	290.0
 42	1004.0	-2.8	92.0	0.0	0.0	8.0	4.9	280.0
 43	1004.7	-3.7	93.0	0.0	0.0	7.0	4.5	270.0
 44	1005.6	-4.2	93.0	0.0	0.0	8.0	4.9	270.0
 45	1005.8	-4.4	92.0	0.0	0.0	8.0	4.8	270.0
 46	1006.0	-4.5	92.0	0.0	0.0	8.0	4.0	270.0
 47	1006.1	-4.4	93.0	0.0	0.0	8.0	3.9	260.0
 48	1006.3	-4.3	92.0	0.0	0.0	8.0	3.8	250.0
 49	1006.4	-4.2	93.0	0.0	0.0	8.0	4.1	250.0
 50	1006.3	-4.3	93.0	0.0	0.0	8.0	2.7	270.0
 51	1006.3	-4.6	94.0	0.0	0.0	8.0	1.7	230.0
 52	1006.4	-4.6	93.0	0.0	0.0	8.0	1.4	210.0
 53	1006.1	-4.4	94.0	0.0	0.0	8.0	0.6	140.0
 54	1006.3	-4.2	94.0	0.0	0.0	8.0	2.1	80.0
 55	1006.0	-4.1	94.0	0.0	0.0	8.0	1.9	80.0
 56	1005.9	-4.1	94.0	0.0	0.0	8.0	2.0	90.0
 57	1006.4	-4.1	94.0	2.8	8.3	8.0	2.5	100.0
 58	1006.8	-3.9	92.0	0.0	25.0	8.0	3.2	90.0
 59	1007.0	-4.0	90.0	0.0	50.0	8.0	4.2	80.0
 60	1006.8	-3.5	87.0	5.6	97.2	7.0	3.6	80.0
 61	1006.5	-4.5	86.0	38.9	86.1	5.0	3.3	90.0
 62	1006.3	-3.6	83.0	83.3	97.2	5.0	3.2	100.0
 63	1006.6	-4.0	86.0	5.6	69.4	6.0	2.7	90.0
 64	1007.0	-4.9	91.0	0.0	19.4	7.0	2.5	110.0
 65	1007.3	-4.8	92.0	0.0	0.0	7.0	2.7	80.0
 66	1007.4	-5.2	93.0	0.0	0.0	8.0	2.3	80.0
 67	1007.7	-5.1	93.0	0.0	0.0	8.0	1.4	80.0
 68	1008.0	-5.0	93.0	0.0	0.0	8.0	1.2	40.0
 69	1008.1	-5.5	93.0	0.0	0.0	8.0	2.2	360.0
 70	1008.3	-6.1	94.0	0.0	0.0	8.0	2.0	360.0
 71	1008.7	-6.4	95.0	0.0	0.0	8.0	1.5	340.0
 72	1008.4	-6.3	95.0	0.0	0.0	8.0	1.3	320.0
 73	1008.3	-6.7	95.0	0.0	0.0	8.0	1.5	350.0
 74	1007.9	-7.0	96.0	0.0	0.0	8.0	1.4	40.0
 75	1007.8	-7.1	95.0	0.0	0.0	8.0	1.0	180.0
 76	1007.5	-7.2	95.0	0.0	0.0	8.0	1.3	200.0
 77	1006.9	-7.6	95.0	0.0	0.0	8.0	1.3	190.0
 78	1006.9	-7.5	95.0	0.0	0.0	8.0	0.9	190.0
 79	1006.6	-7.8	96.0	0.0	0.0	8.0	1.8	240.0
 80	1006.4	-7.9	95.0	0.0	0.0	8.0	1.9	220.0
 81	1006.1	-7.5	95.0	0.0	5.6	8.0	1.2	230.0
 82	1005.8	-7.1	95.0	0.0	22.2	8.0	1.6	250.0
 83	1005.3	-6.8	93.0	0.0	36.1	8.0	3.0	240.0
 84	1004.4	-6.1	88.0	0.0	83.3	8.0	2.8	250.0
 85	1003.7	-6.0	90.0	0.0	44.4	8.0	3.2	250.0
 86	1002.9	-5.7	88.0	0.0	50.0	8.0	3.5	230.0
 87	1002.5	-5.5	88.0	0.0	25.0	8.0	3.3	230.0
 88	1002.3	-5.7	86.0	0.0	5.6	8.0	3.9	250.0
 89	1002.0	-5.8	88.0	0.0	0.0	8.0	4.6	230.0
 90	1001.4	-5.8	88.0	0.0	0.0	8.0	3.8	230.0
 91	1000.7	-6.5	89.0	0.0	0.0	7.0	3.8	210.0
 92	1000.8	-6.6	91.0	0.0	0.0	7.0	3.7	220.0
 93	1000.5	-6.2	91.0	0.0	0.0	7.0	4.3	200.0
 94	1000.4	-6.0	89.0	0.0	0.0	7.0	4.0	210.0
 95	999.9	-6.0	88.0	0.0	0.0	8.0	3.7	210.0
 96	999.6	-6.1	89.0	0.0	0.0	8.0	3.1	210.0
 97	999.1	-6.4	89.0	0.0	0.0	7.0	3.3	210.0
 98	998.9	-6.3	88.0	0.0	0.0	8.0	2.2	210.0
 99	998.6	-6.3	90.0	0.0	0.0	8.0	2.7	200.0
 100	998.3	-6.5	89.0	0.0	0.0	8.0	2.8	190.0
 101	998.1	-6.5	90.0	0.0	0.0	8.0	2.4	180.0
 102	997.9	-6.5	89.0	0.0	0.0	8.0	2.6	170.0
 103	997.6	-6.5	90.0	0.0	0.0	8.0	2.2	160.0
 104	997.8	-6.6	90.0	0.0	0.0	8.0	2.4	170.0
 105	997.8	-6.5	90.0	0.0	13.9	8.0	1.7	160.0
 106	997.6	-6.2	87.0	0.0	55.6	8.0	2.6	150.0
 107	997.4	-6.0	86.0	0.0	63.9	7.0	2.6	150.0
 108	997.0	-6.3	84.0	0.0	83.3	7.0	2.2	160.0
 109	996.5	-5.7	81.0	13.9	133.3	7.0	2.7	160.0
 110	996.2	-5.4	80.0	38.9	127.8	6.0	2.4	150.0
 111	996.0	-5.9	79.0	52.8	86.1	6.0	3.1	150.0
 112	995.9	-6.6	83.0	8.3	30.6	6.0	2.8	140.0
 113	995.9	-7.5	88.0	0.0	0.0	7.0	2.4	130.0
 114	995.7	-8.4	90.0	0.0	0.0	5.0	2.5	140.0
 115	995.3	-8.4	93.0	0.0	0.0	4.0	4.0	130.0
 116	995.4	-9.3	94.0	0.0	0.0	2.0	4.5	120.0
 117	995.1	-9.7	94.0	0.0	0.0	2.0	4.0	120.0
 118	994.6	-10.0	94.0	0.0	0.0	2.0	3.7	130.0
 119	994.4	-10.1	94.0	0.0	0.0	2.0	4.0	120.0
 120	993.7	-10.5	94.0	0.0	0.0	3.0	4.1	120.0
 121	993.1	-10.5	94.0	0.0	0.0	5.0	4.6	100.0
 122	992.6	-10.0	93.0	0.0	0.0	7.0	4.5	110.0
 123	992.7	-8.9	93.0	0.0	0.0	7.0	3.6	80.0
 124	992.4	-8.5	93.0	0.0	0.0	7.0	2.5	80.0
 125	992.2	-8.1	93.0	0.0	0.0	8.0	3.5	80.0
 126	991.9	-8.5	92.0	0.0	0.0	8.0	1.8	100.0
 127	991.8	-8.5	92.0	0.0	0.0	7.0	1.7	90.0
 128	991.7	-8.3	92.0	0.0	0.0	8.0	2.4	90.0
 129	992.1	-8.0	92.0	2.8	8.3	8.0	1.8	90.0
 130	992.2	-7.9	92.0	0.0	27.8	8.0	1.8	100.0
 131	992.3	-7.7	90.0	0.0	52.8	8.0	1.3	120.0
 132	991.9	-7.1	91.0	0.0	66.7	8.0	0.6	120.0
 133	991.6	-6.7	90.0	0.0	50.0	8.0	0.4	340.0
 134	991.5	-6.5	90.0	0.0	44.4	8.0	0.8	260.0
 135	991.5	-6.4	91.0	0.0	25.0	8.0	1.2	300.0
 136	991.6	-6.7	92.0	0.0	8.3	8.0	1.6	310.0
 137	992.0	-6.9	92.0	0.0	0.0	8.0	1.4	280.0
 138	992.3	-7.1	92.0	0.0	0.0	8.0	1.7	280.0
 139	992.3	-7.2	93.0	0.0	0.0	8.0	1.5	280.0
 140	992.4	-7.2	93.0	0.0	0.0	8.0	1.8	280.0
 141	992.8	-7.1	93.0	0.0	0.0	8.0	2.0	250.0
 142	993.1	-7.1	94.0	0.0	0.0	8.0	2.2	250.0
 143	993.0	-7.2	94.0	0.0	0.0	8.0	2.8	260.0
 144	993.2	-7.5	93.0	0.0	0.0	8.0	3.3	250.0
 145	993.4	-7.7	93.0	0.0	0.0	8.0	2.8	250.0
 146	993.6	-7.8	93.0	0.0	0.0	8.0	2.5	250.0
 147	994.0	-7.8	91.0	0.0	0.0	8.0	2.8	250.0
 148	994.1	-7.9	92.0	0.0	0.0	8.0	2.2	240.0
 149	994.3	-7.9	92.0	0.0	0.0	8.0	2.4	240.0
 150	994.6	-8.2	92.0	0.0	0.0	8.0	3.2	250.0
 151	995.1	-8.2	92.0	0.0	0.0	8.0	2.6	250.0
 152	995.4	-8.0	92.0	0.0	0.0	8.0	3.0	240.0
 153	995.7	-7.7	91.0	0.0	11.1	8.0	3.4	260.0
 154	996.7	-7.3	91.0	0.0	27.8	8.0	2.5	260.0
 155	997.0	-6.8	90.0	0.0	38.9	8.0	2.6	240.0
 156	997.4	-6.1	90.0	0.0	72.2	8.0	3.1	240.0
 157	997.4	-5.4	90.0	0.0	72.2	8.0	2.7	250.0
 158	997.9	-5.2	88.0	0.0	44.4	8.0	3.3	240.0
 159	998.5	-5.2	91.0	0.0	22.2	8.0	3.6	240.0
 160	998.8	-5.0	92.0	0.0	8.3	8.0	3.8	240.0
 161	999.4	-4.9	90.0	0.0	0.0	8.0	3.7	250.0
 162	1000.1	-4.8	89.0	0.0	0.0	8.0	3.7	250.0
