#1
#Germany_Potsdam_2013
# 52,47         13,4          50            1
#
# hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
double tab1(8760,9)
 1	1006.5	5.3	80.0	0.0	0.0	6.0	5.6	200.0
 2	1005.5	5.7	79.0	0.0	0.0	6.0	5.7	200.0
 3	1005.1	6.6	74.0	0.0	0.0	7.0	5.6	200.0
 4	1004.6	6.1	75.0	0.0	0.0	8.0	4.0	200.0
 5	1003.9	6.3	75.0	0.0	0.0	8.0	6.1	210.0
 6	1003.5	6.0	77.0	0.0	0.0	8.0	5.6	210.0
 7	1003.6	6.4	74.0	0.0	0.0	8.0	6.9	210.0
 8	1003.1	6.4	73.0	0.0	0.0	7.0	6.2	210.0
 9	1003.4	6.4	73.0	0.0	5.6	7.0	5.3	200.0
 10	1003.4	6.8	73.0	0.0	30.6	8.0	6.2	210.0
 11	1003.4	6.7	79.0	0.0	52.8	8.0	7.7	220.0
 12	1003.4	6.5	82.0	0.0	75.0	8.0	7.4	220.0
 13	1003.1	7.0	79.0	0.0	94.4	8.0	7.2	220.0
 14	1003.1	7.2	77.0	0.0	83.3	8.0	6.1	230.0
 15	1003.4	7.3	79.0	0.0	36.1	8.0	6.8	230.0
 16	1003.6	6.6	86.0	0.0	8.3	8.0	5.2	220.0
 17	1003.9	6.1	93.0	0.0	0.0	8.0	6.2	220.0
 18	1004.3	6.0	95.0	0.0	0.0	8.0	5.4	210.0
 19	1004.6	5.9	96.0	0.0	0.0	8.0	5.4	220.0
 20	1005.2	6.2	95.0	0.0	0.0	8.0	6.1	220.0
 21	1006.0	5.9	97.0	0.0	0.0	8.0	5.9	240.0
 22	1006.9	5.8	95.0	0.0	0.0	8.0	5.5	260.0
 23	1008.4	5.7	89.0	0.0	0.0	8.0	6.4	280.0
 24	1009.2	4.4	95.0	0.0	0.0	7.0	4.8	270.0
 25	1009.8	4.2	93.0	0.0	0.0	5.0	6.2	270.0
 26	1010.8	3.3	92.0	0.0	0.0	1.0	5.1	260.0
 27	1011.7	3.4	92.0	0.0	0.0	6.0	5.5	250.0
 28	1012.1	3.3	91.0	0.0	0.0	7.0	5.3	230.0
 29	1012.4	3.8	85.0	0.0	0.0	7.0	6.1	230.0
 30	1012.6	3.5	85.0	0.0	0.0	7.0	6.3	230.0
 31	1013.1	4.0	82.0	0.0	0.0	8.0	5.8	230.0
 32	1014.1	3.7	88.0	0.0	0.0	8.0	6.4	230.0
 33	1015.0	4.0	89.0	0.0	11.1	7.0	7.2	230.0
 34	1016.0	4.3	89.0	2.8	55.6	7.0	6.6	230.0
 35	1016.7	4.7	89.0	0.0	55.6	7.0	6.2	230.0
 36	1017.4	4.6	92.0	0.0	55.6	8.0	5.9	250.0
 37	1017.7	4.6	95.0	0.0	61.1	7.0	6.8	250.0
 38	1018.5	5.0	94.0	0.0	38.9	7.0	5.4	250.0
 39	1019.3	4.8	96.0	2.8	27.8	6.0	4.6	260.0
 40	1020.4	4.9	93.0	0.0	11.1	6.0	5.8	260.0
 41	1021.6	4.7	93.0	0.0	0.0	7.0	6.0	260.0
 42	1022.4	4.6	91.0	0.0	0.0	6.0	5.2	260.0
 43	1022.8	4.9	91.0	0.0	0.0	7.0	6.1	250.0
 44	1023.6	5.0	89.0	0.0	0.0	7.0	6.1	250.0
 45	1024.3	5.4	84.0	0.0	0.0	7.0	7.2	250.0
 46	1024.5	5.5	82.0	0.0	0.0	7.0	6.0	240.0
