Germany_Potsdam_2015_DWD
52,47         13,4          50            1

 hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
 1	1032.4	3.3	100.0	0.0	0.0	8.0	5.6	260.0
 2	1032.3	3.9	100.0	0.0	0.0	8.0	5.5	260.0
 3	1032.6	3.2	100.0	0.0	0.0	8.0	5.5	260.0
 4	1032.6	3.5	100.0	0.0	0.0	8.0	6.1	270.0
 5	1032.4	2.6	99.0	0.0	0.0	7.0	6.6	280.0
 6	1032.6	2.2	99.0	0.0	0.0	6.0	5.7	270.0
 7	1033.1	2.1	99.0	0.0	0.0	8.0	5.2	260.0
 8	1033.7	2.7	96.0	0.0	0.0	8.0	5.4	270.0
 9	1034.0	2.3	95.0	2.8	13.9	7.0	6.0	270.0
 10	1033.1	2.4	95.0	30.6	63.9	5.0	5.0	250.0
 11	1033.4	2.4	95.0	105.6	72.2	2.0	5.2	240.0
 12	1032.9	3.5	89.0	138.9	80.6	3.0	5.0	240.0
 13	1032.0	4.5	80.0	136.1	77.8	3.0	6.0	250.0
 14	1031.2	4.4	81.0	105.6	66.7	2.0	6.1	250.0
 15	1031.0	4.3	81.0	63.9	50.0	4.0	5.3	240.0
 16	1031.1	3.2	89.0	5.6	13.9	3.0	5.0	240.0
 17	1030.6	1.5	94.0	0.0	0.0	4.0	5.0	230.0
 18	1030.0	1.7	96.0	0.0	0.0	5.0	5.2	230.0
 19	1029.3	1.1	96.0	0.0	0.0	3.0	5.3	210.0
 20	1028.7	1.1	96.0	0.0	0.0	8.0	5.3	210.0
 21	1028.5	1.3	94.0	0.0	0.0	8.0	5.1	220.0
 22	1027.4	1.6	92.0	0.0	0.0	8.0	5.7	210.0
 23	1026.6	1.7	92.0	0.0	0.0	8.0	5.8	210.0
 24	1025.2	2.2	90.0	0.0	0.0	7.0	6.1	210.0
 25	1023.6	2.1	89.0	0.0	0.0	6.0	6.3	210.0
 26	1022.2	2.5	88.0	0.0	0.0	7.0	6.3	210.0
 27	1021.3	2.9	84.0	0.0	0.0	8.0	6.6	220.0
 28	1019.9	3.4	81.0	0.0	0.0	8.0	7.1	220.0
 29	1018.1	4.1	77.0	0.0	0.0	8.0	7.2	220.0
 30	1017.1	4.4	74.0	0.0	0.0	8.0	8.4	220.0
 31	1016.7	4.3	77.0	0.0	0.0	8.0	8.2	220.0
 32	1017.1	2.9	94.0	0.0	0.0	8.0	7.5	230.0
 33	1016.4	3.1	94.0	0.0	2.8	8.0	7.5	230.0
 34	1016.2	3.5	95.0	0.0	8.3	8.0	7.4	230.0
 35	1016.6	4.1	94.0	0.0	16.7	8.0	7.4	230.0
 36	1016.6	4.6	93.0	0.0	22.2	8.0	7.8	240.0
