Potsdam_2017
 52,47         13,4          50            1

 hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
 1	1023.3	2.6	89.0	0.0	0.0	8.0	4.3	220.0
 2	1022.7	2.5	87.0	0.0	0.0	8.0	4.4	220.0
 3	1022.2	2.4	88.0	0.0	0.0	8.0	4.2	220.0
 4	1021.5	2.6	84.0	0.0	0.0	8.0	4.6	230.0
 5	1020.6	2.7	86.0	0.0	0.0	8.0	4.3	230.0
 6	1020.0	2.3	87.0	0.0	0.0	7.0	3.7	220.0
 7	1019.7	1.4	89.0	0.0	0.0	7.0	4.0	210.0
 8	1019.0	0.7	88.0	0.0	0.0	6.0	4.4	220.0
 9	1018.8	0.1	91.0	8.3	22.2	6.0	4.5	210.0
 10	1018.7	0.7	87.0	2.8	50.0	7.0	4.3	210.0
 11	1017.8	2.4	83.0	72.2	105.6	6.0	4.3	210.0
 12	1017.1	3.6	74.0	5.6	108.3	7.0	4.4	230.0
 13	1016.7	3.7	75.0	0.0	77.8	7.0	4.3	230.0
 14	1016.1	3.4	76.0	0.0	33.3	7.0	4.7	230.0
 15	1016.3	2.9	80.0	0.0	13.9	7.0	3.9	230.0
 16	1016.0	2.7	80.0	0.0	5.6	7.0	3.4	220.0
 17	1015.7	2.3	78.0	0.0	0.0	7.0	3.8	210.0
 18	1015.7	1.7	80.0	0.0	0.0	7.0	4.2	210.0
 19	1015.3	1.1	81.0	0.0	0.0	7.0	4.0	210.0
 20	1015.0	0.7	80.0	0.0	0.0	7.0	4.2	210.0
 21	1014.8	-0.5	83.0	0.0	0.0	4.0	3.8	220.0
 22	1014.9	-0.4	81.0	0.0	0.0	5.0	4.1	240.0
 23	1014.6	-0.4	83.0	0.0	0.0	7.0	4.0	250.0
 24	1014.6	0.1	80.0	0.0	0.0	8.0	4.4	260.0
 25	1014.6	0.0	80.0	0.0	0.0	8.0	4.5	260.0
 26	1014.4	-0.5	91.0	0.0	0.0	8.0	5.7	260.0
 27	1014.3	-0.3	93.0	0.0	0.0	8.0	5.6	260.0
 28	1014.3	-0.1	95.0	0.0	0.0	8.0	5.7	260.0
