#1
#Potsdam_2018
# 52,47         13,4          50            1
#
# hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
double tab1(8760,9)
 1	998.3	11.3	74.0	0.0	0.0	8.0	6.8	210.0
 2	997.7	10.9	74.0	0.0	0.0	8.0	6.8	210.0
 3	998.4	11.1	72.0	0.0	0.0	8.0	7.2	210.0
 4	998.8	10.4	72.0	0.0	0.0	8.0	8.1	240.0
 5	999.3	9.5	78.0	0.0	0.0	8.0	6.7	240.0
 6	999.4	9.2	80.0	0.0	0.0	8.0	5.6	220.0
 7	999.6	9.1	79.0	0.0	0.0	7.0	5.8	230.0
 8	1000.9	8.7	70.0	0.0	0.0	8.0	7.6	250.0
 9	1001.3	7.8	74.0	2.8	22.2	6.0	6.6	230.0
 10	1002.0	7.7	73.0	30.6	58.3	6.0	6.4	230.0
 11	1002.3	8.0	69.0	66.7	80.6	5.0	7.6	240.0
 12	1002.6	8.4	65.0	133.3	72.2	4.0	7.7	240.0
 13	1002.5	9.1	61.0	83.3	97.2	5.0	6.8	240.0
 14	1002.3	8.6	57.0	5.6	61.1	7.0	6.9	240.0
 15	1002.5	7.9	64.0	13.9	44.4	6.0	7.1	240.0
 16	1002.5	7.3	68.0	2.8	19.4	6.0	5.3	240.0
 17	1002.3	7.5	66.0	0.0	0.0	7.0	4.1	210.0
 18	1002.2	6.6	73.0	0.0	0.0	4.0	4.8	210.0
 19	1001.9	5.2	78.0	0.0	0.0	4.0	4.8	230.0
 20	1002.1	4.7	80.0	0.0	0.0	3.0	4.6	210.0
 21	1002.0	4.2	81.0	0.0	0.0	4.0	4.5	200.0
 22	1001.7	4.3	82.0	0.0	0.0	7.0	5.2	200.0
 23	1001.7	4.3	82.0	0.0	0.0	8.0	4.7	170.0
 24	1001.4	4.7	78.0	0.0	0.0	8.0	5.1	180.0
 25	1001.3	4.4	80.0	0.0	0.0	8.0	4.2	170.0
 26	1001.4	3.8	90.0	0.0	0.0	8.0	3.5	160.0
 27	1000.9	3.3	99.0	0.0	0.0	8.0	2.6	140.0
 28	1000.4	3.4	100.0	0.0	0.0	8.0	2.8	110.0
 29	1000.3	3.6	100.0	0.0	0.0	8.0	2.8	120.0
 30	1000.6	3.8	100.0	0.0	0.0	8.0	1.9	130.0
 31	1001.6	3.9	100.0	0.0	0.0	8.0	1.4	320.0
