#1
#Germany_Potsdam_2019_DWD_3987_DWD
#13.06	52.38	81.0	1
#
#DT	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
double tab1(8760,9)
2019-01-01 00:00:00	1013.7	7.8	92.0	0.0	0.0	8.0	6.3	260
2019-01-01 01:00:00	1012.8	7.9	90.0	0.0	0.0	8.0	7.1	260
2019-01-01 02:00:00	1012.4	7.7	90.0	0.0	0.0	8.0	6.5	260
2019-01-01 03:00:00	1011.0	7.4	90.0	0.0	0.0	8.0	6.8	260
2019-01-01 04:00:00	1009.7	7.3	88.0	0.0	0.0	8.0	7.8	260
2019-01-01 05:00:00	1008.5	7.1	89.0	0.0	0.0	8.0	8.2	260
2019-01-01 06:00:00	1007.5	7.1	85.0	0.0	0.0	8.0	8.3	260
2019-01-01 07:00:00	1006.7	6.8	87.0	0.0	0.0	8.0	8.6	260
2019-01-01 08:00:00	1005.8	6.6	92.0	2.78	2.78	8.0	8.4	250
2019-01-01 09:00:00	1005.4	6.6	95.0	16.67	13.89	8.0	8.9	260
2019-01-01 10:00:00	1004.7	6.6	96.0	25.0	22.22	8.0	9.1	260
2019-01-01 11:00:00	1003.9	7.4	92.0	77.78	75.0	7.0	9.1	270
2019-01-01 12:00:00	1003.3	7.7	70.0	205.56	77.78	2.0	10.2	280
2019-01-01 13:00:00	1002.7	7.5	66.0	141.67	91.67	2.0	10.4	290
2019-01-01 14:00:00	1001.6	7.4	71.0	77.78	63.89	7.0	10.2	270
2019-01-01 15:00:00	1001.7	5.7	82.0	11.11	8.33	7.0	10.8	280
2019-01-01 16:00:00	1001.7	5.3	80.0	0.0	0.0	7.0	11.3	280
2019-01-01 17:00:00	1001.4	3.7	88.0	0.0	0.0	5.0	10.8	280
2019-01-01 18:00:00	1001.4	3.9	79.0	0.0	0.0	3.0	10.2	280
2019-01-01 19:00:00	1001.5	4.1	74.0	0.0	0.0	7.0	10.6	280
2019-01-01 20:00:00	1001.8	4.4	69.0	0.0	0.0	7.0	10.2	280
2019-01-01 21:00:00	1001.9	4.2	66.0	0.0	0.0	7.0	10.7	290
2019-01-01 22:00:00	1002.3	3.7	67.0	0.0	0.0	8.0	10.5	290
2019-01-01 23:00:00	1003.0	3.5	69.0	0.0	0.0	8.0	10.9	290
2019-01-02 00:00:00	1003.3	2.9	76.0	0.0	0.0	6.0	10.0	290
2019-01-02 01:00:00	1003.6	2.5	76.0	0.0	0.0	2.0	9.8	290
2019-01-02 02:00:00	1004.0	2.6	75.0	0.0	0.0	2.0	9.3	290
2019-01-02 03:00:00	1004.5	2.7	74.0	0.0	0.0	3.0	9.8	290
2019-01-02 04:00:00	1005.8	1.1	87.0	0.0	0.0	8.0	9.5	300
2019-01-02 05:00:00	1005.9	2.5	69.0	0.0	0.0	6.0	8.5	300
2019-01-02 06:00:00	1006.8	1.3	82.0	0.0	0.0	6.0	8.7	300
2019-01-02 07:00:00	1007.6	1.9	74.0	0.0	0.0	7.0	8.2	300
2019-01-02 08:00:00	1008.9	2.2	69.0	5.56	5.56	7.0	7.2	300
2019-01-02 09:00:00	1010.0	2.5	65.0	33.33	33.33	8.0	5.9	330
2019-01-02 10:00:00	1011.2	2.8	62.0	77.78	72.22	6.0	7.0	340
2019-01-02 11:00:00	1012.0	2.6	64.0	50.0	50.0	7.0	5.4	350
2019-01-02 12:00:00	1013.0	2.8	47.0	166.67	77.78	4.0	7.3	340
2019-01-02 13:00:00	1013.5	3.4	49.0	141.67	83.33	5.0	7.2	350
2019-01-02 14:00:00	1014.2	2.6	50.0	77.78	50.0	5.0	7.3	330
2019-01-02 15:00:00	1014.9	1.9	61.0	8.33	8.33	6.0	5.7	330
2019-01-02 16:00:00	1015.7	1.9	52.0	0.0	0.0	7.0	5.8	340
2019-01-02 17:00:00	1016.7	1.6	44.0	0.0	0.0	5.0	7.7	350
2019-01-02 18:00:00	1017.6	0.6	51.0	0.0	0.0	1.0	5.6	350
2019-01-02 19:00:00	1018.0	-0.4	59.0	0.0	0.0	1.0	4.2	320
2019-01-02 20:00:00	1018.6	-1.2	64.0	0.0	0.0	0.0	4.1	300
2019-01-02 21:00:00	1018.7	-2.1	70.0	0.0	0.0	1.0	3.8	300
2019-01-02 22:00:00	1018.7	-2.1	72.0	0.0	0.0	0.0	4.2	290
2019-01-02 23:00:00	1018.9	-2.2	74.0	0.0	0.0	0.0	4.3	290
2019-01-03 00:00:00	1019.2	-2.3	78.0	0.0	0.0	0.0	4.4	290
2019-01-03 01:00:00	1019.5	-2.0	81.0	0.0	0.0	0.0	5.1	290
2019-01-03 02:00:00	1019.8	-2.4	85.0	0.0	0.0	0.0	5.0	300
2019-01-03 03:00:00	1019.7	-2.1	85.0	0.0	0.0	3.0	5.0	300
2019-01-03 04:00:00	1019.5	-2.2	88.0	0.0	0.0	4.0	5.3	300
2019-01-03 05:00:00	1019.0	-1.7	85.0	0.0	0.0	7.0	5.9	290
2019-01-03 06:00:00	1019.2	-1.6	84.0	0.0	0.0	7.0	6.2	290
2019-01-03 07:00:00	1019.3	-2.0	85.0	0.0	0.0	6.0	6.0	290
2019-01-03 08:00:00	1019.9	-1.8	83.0	13.89	13.89	6.0	6.4	290
2019-01-03 09:00:00	1020.0	-0.7	77.0	63.89	55.56	6.0	6.1	290
2019-01-03 10:00:00	1020.3	0.2	74.0	77.78	75.0	7.0	5.0	300
2019-01-03 11:00:00	1020.1	1.0	70.0	66.67	63.89	7.0	5.0	310
2019-01-03 12:00:00	1020.0	1.0	76.0	52.78	52.78	8.0	5.0	330
2019-01-03 13:00:00	1020.0	0.9	78.0	50.0	47.22	7.0	4.1	330
2019-01-03 14:00:00	1020.4	0.8	80.0	30.56	30.56	7.0	3.5	300
2019-01-03 15:00:00	1020.6	0.6	79.0	16.67	13.89	6.0	3.6	300
