m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	1	1	1	-2.6	0	-3.6	93.0	0	5.7	230	251	0.4	0.0	8.0	-60.44	2.56	0	0	0	0.0	0.0	0	14	299
1	1	1	2	-3.9	0	-5.5	89.0	0	5.7	240	275	0.0	0.0	8.0	-56.99	2.56	0	0	0	0.0	0.0	0	14	293
1	1	1	3	-4.6	0	-6.0	90.0	0	5.7	260	281	0.0	0.0	8.0	-50.47	2.56	0	0	0	0.0	0.0	0	14	290
1	1	1	4	-3.9	0	-4.6	95.0	0	5.7	270	281	0.0	0.0	8.0	-42.26	2.56	0	0	0	0.0	0.0	0	13	293
1	1	1	5	-3.3	0	-3.7	97.0	0	5.5	280	283	0.0	0.0	8.0	-33.31	2.56	0	0	0	0.0	0.0	0	13	296
1	1	1	6	-2.9	0	-3.2	98.0	0	5.0	270	286	0.0	0.0	8.0	-24.17	2.56	0	0	0	0.0	0.0	0	13	297
1	1	1	7	-2.0	0	-2.1	99.0	0	5.0	280	290	0.0	0.0	8.0	-15.25	2.56	0	0	0	0.0	0.0	0	13	301
1	1	1	8	-1.5	0	-1.6	99.0	0	5.0	280	274	0.0	0.0	8.0	-6.88	2.56	0	0	0	0.0	0.0	0	13	303
1	1	1	9	-1.2	11	-1.3	99.0	11	5.0	260	275	0.0	2.4	8.0	3.89	2.56	0	15	9	27.1	4.6	5	13	308
1	1	1	10	-0.6	44	-0.9	98.0	44	5.0	260	278	0.0	4.2	8.0	6.83	2.56	0	89	32	167.8	27.0	20	13	312
1	1	1	11	0.1	69	-0.9	93.0	69	7.0	260	282	0.0	3.5	8.0	11.42	2.56	0	167	44	279.5	50.7	32	13	316
1	1	1	12	0.5	92	-1.1	89.0	92	7.0	260	284	0.0	4.5	8.0	14.04	2.56	0	216	50	342.4	65.7	42	12	316
1	1	1	13	0.4	42	-0.7	92.0	42	7.0	260	283	0.0	0.7	8.0	14.44	2.56	0	224	51	352.0	68.2	21	12	316
1	1	1	14	0.9	33	-0.1	93.0	33	8.0	260	304	0.0	0.6	8.0	12.60	2.56	0	189	47	307.8	57.7	16	11	316
1	1	1	15	1.2	25	0.2	93.0	25	9.0	260	306	0.0	0.7	8.0	8.67	2.56	0	120	37	212.8	36.4	12	11	316
1	1	1	16	1.5	6	0.2	91.0	6	9.0	260	307	0.0	0.0	8.0	6.03	2.56	0	38	19	69.4	11.7	3	10	316
1	1	1	17	1.7	0	-0.2	87.0	0	11.0	260	290	0.1	0.0	8.0	-4.09	2.56	0	0	0	0.0	0.0	0	9	316
1	1	1	18	1.8	0	-0.5	85.0	0	12.0	260	290	0.0	0.0	7.0	-12.18	2.56	0	0	0	0.0	0.0	0	7	316
1	1	1	19	1.6	0	-0.5	86.0	0	10.0	260	289	0.0	0.0	7.0	-20.95	2.56	0	0	0	0.0	0.0	0	6	316
1	1	1	20	1.8	0	-0.3	86.0	0	11.0	260	309	0.0	0.0	7.0	-30.05	2.56	0	0	0	0.0	0.0	0	5	316
1	1	1	21	1.8	0	-0.1	87.0	0	11.0	260	309	0.0	0.0	7.0	-39.12	2.56	0	0	0	0.0	0.0	0	4	316
1	1	1	22	1.7	0	-0.2	87.0	0	12.0	260	308	0.0	0.0	7.0	-47.68	2.56	0	0	0	0.0	0.0	0	3	316
1	1	1	23	1.9	0	0.0	87.0	0	13.0	270	309	0.0	0.0	6.0	-54.94	2.56	0	0	0	0.0	0.0	0	2	316
1	1	1	24	1.7	0	0.5	92.0	0	11.0	260	308	0.0	0.0	6.0	-59.66	2.56	0	0	0	0.0	0.0	0	0	316
1	2	2	1	2.0	0	0.5	90.0	0	12.0	270	310	0.3	0.0	6.0	-60.37	2.38	0	0	0	0.0	0.0	0	0	324
1	2	2	2	2.6	0	0.7	87.0	0	13.0	270	313	1.3	0.0	6.0	-56.95	2.38	0	0	0	0.0	0.0	0	0	327
1	2	2	3	2.6	0	0.8	88.0	0	12.0	270	313	0.5	0.0	6.0	-50.46	2.38	0	0	0	0.0	0.0	0	0	327
1	2	2	4	2.3	0	1.1	92.0	0	15.0	280	311	0.1	0.0	5.0	-42.27	2.38	0	0	0	0.0	0.0	0	0	326
1	2	2	5	2.3	0	1.3	93.0	0	13.0	280	311	0.2	0.0	5.0	-33.32	2.38	0	0	0	0.0	0.0	0	0	325
1	2	2	6	2.0	0	1.6	97.0	0	10.0	280	291	0.0	0.0	5.0	-24.18	2.38	0	0	0	0.0	0.0	0	0	323
1	2	2	7	1.6	0	1.5	99.0	0	10.0	290	289	0.1	0.0	5.0	-15.25	2.38	0	0	0	0.0	0.0	0	0	321
