#1
#Potsdam DWD kalt
# 52,383        13,067        81            1 
#
# hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
double tab1(8760,9)
 1	1007	-10.2	88	0	0	8	4.0	110
 2	1007	-10.2	85	0	0	8	5.0	110
 3	1006	-10.6	83	0	0	8	5.0	110
 4	1006	-11.4	86	0	0	8	4.0	100
 5	1005	-12.0	83	0	0	8	4.0	110
 6	1004	-12.5	84	0	0	8	5.0	110
 7	1004	-12.8	87	0	0	8	4.0	130
 8	1003	-13.1	86	0	0	8	4.0	120
 9	1002	-11.8	86	0	14	8	4.0	130
 10	1002	-10.5	86	0	33	8	4.0	130
 11	1001	-9.6	82	0	50	8	3.0	140
 12	999	-8.4	80	0	72	8	3.0	140
 13	998	-7.7	79	0	42	8	3.0	130
 14	997	-6.9	83	0	44	8	3.0	130
 15	995	-6.1	83	0	25	8	4.0	120
 16	994	-5.8	87	0	8	8	3.0	140
 17	993	-5.2	90	0	0	8	4.0	140
 18	991	-4.6	92	0	0	8	5.0	120
 19	989	-3.6	93	0	0	8	5.0	130
 20	987	-2.6	96	0	0	8	5.0	140
 21	985	-1.5	99	0	0	8	5.0	130
 22	984	-0.4	100	0	0	8	4.0	140
 23	982	0.5	100	0	0	8	4.0	150
 24	981	0.9	99	0	0	8	4.0	160
 25	980	1.5	99	0	0	8	5.0	180
 26	978	2.1	99	0	0	8	6.0	190
 27	978	2.7	99	0	0	8	7.0	200
 28	977	3.8	99	0	0	8	8.0	210
 29	976	4.5	99	0	0	8	8.0	220
 30	976	4.7	99	0	0	8	7.0	230
 31	976	5.2	99	0	0	8	7.0	240
 32	977	5.6	99	0	0	8	7.0	240
 33	977	6.2	99	0	8	8	8.0	240
 34	978	6.6	100	0	28	8	7.0	230
 35	978	6.8	99	0	36	8	5.0	230
 36	977	7.0	99	0	61	8	5.0	230
 37	977	7.0	99	0	33	8	4.0	230
 38	976	6.6	100	0	22	8	3.0	230
 39	975	6.4	99	0	14	8	2.0	190
 40	973	6.3	99	0	3	8	3.0	180
 41	972	5.9	99	0	0	8	2.0	140
 42	972	5.9	99	0	0	8	4.0	190
 43	971	5.7	99	0	0	8	3.0	200
 44	970	5.3	99	0	0	8	1.0	130
 45	970	5.0	99	0	0	8	3.0	80
 46	970	5.0	99	0	0	8	3.0	100
 47	970	5.0	99	0	0	8	3.0	90
 48	970	5.0	99	0	0	8	4.0	80
 49	971	4.2	99	0	0	8	4.0	70
 50	971	3.2	99	0	0	8	6.0	80
 51	972	1.6	99	0	0	8	2.0	20
 52	973	1.1	99	0	0	8	2.0	30
 53	973	0.7	99	0	0	8	3.0	50
 54	975	0.5	98	0	0	8	2.0	30
 55	977	0.3	98	0	0	8	3.0	340
 56	979	-0.1	99	0	0	8	3.0	300
 57	980	-0.4	100	0	6	8	4.0	300
 58	982	-0.3	99	0	25	8	2.0	300
 59	983	-0.3	99	0	31	8	2.0	300
 60	983	-0.2	99	0	72	8	2.0	310
 61	984	-0.1	99	0	61	8	2.0	300
 62	984	-0.1	100	0	39	8	2.0	340
 63	985	0.0	95	0	42	8	1.0	10
 64	985	-0.1	100	0	14	8	0.0	50
 65	985	-0.2	100	0	0	8	1.0	60
 66	986	-0.2	100	0	0	8	1.0	40
 67	986	-0.2	100	0	0	8	1.0	80
 68	986	-0.3	99	0	0	8	1.0	90
 69	986	-0.5	98	0	0	8	1.0	90
 70	986	-0.5	99	0	0	8	2.0	80
 71	986	-0.5	99	0	0	8	2.0	70
 72	987	-0.6	99	0	0	8	1.0	60
 73	987	-0.6	99	0	0	8	2.0	40
 74	987	-0.9	92	0	0	8	3.0	40
 75	988	-1.2	92	0	0	8	1.0	30
 76	989	-1.5	93	0	0	8	2.0	40
 77	989	-1.5	94	0	0	8	1.0	10
 78	990	-1.6	94	0	0	8	2.0	350
 79	991	-1.7	96	0	0	8	2.0	20
 80	992	-1.7	95	0	0	8	2.0	30
 81	993	-1.9	92	0	14	8	2.0	40
 82	994	-1.9	90	3	58	8	1.0	30
 83	994	-1.7	87	0	92	8	2.0	30
 84	995	-1.5	80	8	133	8	2.0	30
 85	995	-0.9	75	72	122	6	2.0	20
 86	995	-1.6	79	75	61	4	3.0	40
 87	996	-1.9	82	61	42	2	2.0	10
 88	997	-2.6	87	0	14	3	2.0	10
 89	997	-3.4	91	0	0	3	2.0	10
 90	998	-3.9	92	0	0	3	3.0	360
 91	998	-3.3	89	0	0	3	4.0	10
 92	998	-4.2	93	0	0	4	3.0	350
 93	999	-5.0	93	0	0	4	2.0	350
 94	999	-4.0	93	0	0	4	3.0	340
 95	1000	-4.6	87	0	0	5	3.0	360
 96	1000	-5.2	89	0	0	5	2.0	350
 97	1000	-6.4	85	0	0	5	3.0	350
 98	1001	-7.6	90	0	0	5	1.0	340
 99	1001	-7.9	93	0	0	6	2.0	330
 100	1001	-8.0	92	0	0	6	2.0	300
 101	1001	-8.6	92	0	0	6	1.0	310
 102	1001	-8.6	93	0	0	7	2.0	350
 103	1001	-9.1	89	0	0	7	1.0	350
 104	1001	-9.4	92	0	0	7	1.0	230
 105	1001	-9.7	91	3	17	7	2.0	250
 106	1001	-7.8	93	0	53	8	1.0	270
 107	1000	-6.8	90	0	92	8	1.0	250
 108	1000	-5.8	91	3	103	8	2.0	240
 109	999	-4.8	81	6	144	8	2.0	260
 110	999	-4.5	78	36	97	7	3.0	230
 111	998	-4.4	78	6	78	7	2.0	230
 112	998	-4.6	84	6	28	7	1.0	210
 113	998	-4.9	88	0	0	7	3.0	180
 114	997	-5.0	89	0	0	7	3.0	190
 115	997	-4.9	93	0	0	7	3.0	170
 116	997	-4.7	91	0	0	7	3.0	180
 117	997	-4.4	91	0	0	7	3.0	190
 118	996	-4.1	90	0	0	7	3.0	180
 119	996	-3.9	91	0	0	7	3.0	170
 120	996	-3.7	92	0	0	7	3.0	170
 121	995	-3.6	91	0	0	7	3.0	160
 122	995	-3.8	94	0	0	7	3.0	170
 123	996	-3.6	95	0	0	8	4.0	180
 124	996	-3.5	96	0	0	8	3.0	180
 125	996	-3.3	100	0	0	8	3.0	190
 126	996	-3.2	100	0	0	8	2.0	230
 127	996	-3.4	100	0	0	8	2.0	190
 128	997	-3.1	99	0	0	8	0.0	80
 129	998	-3.1	98	0	3	8	0.0	160
 130	998	-3.2	100	0	19	8	1.0	100
 131	999	-3.2	96	0	28	8	1.0	110
 132	999	-2.9	93	0	58	8	3.0	80
 133	1000	-3.0	91	0	72	8	3.0	80
 134	1000	-3.4	91	0	47	8	4.0	80
 135	1001	-3.7	91	0	47	8	3.0	70
 136	1002	-4.4	90	0	8	8	4.0	70
 137	1003	-4.8	90	0	0	8	4.0	70
 138	1004	-5.2	90	0	0	8	3.0	70
 139	1005	-5.5	89	0	0	8	4.0	70
 140	1006	-6.2	88	0	0	8	4.0	80
 141	1007	-7.2	86	0	0	8	5.0	80
 142	1007	-8.0	90	0	0	8	4.0	80
 143	1007	-8.4	89	0	0	7	3.0	70
 144	1008	-8.6	89	0	0	7	4.0	80
 145	1008	-8.7	89	0	0	7	3.0	60
 146	1009	-8.8	90	0	0	7	1.0	90
 147	1009	-8.7	89	0	0	7	1.0	80
 148	1009	-9.1	87	0	0	7	2.0	70
 149	1009	-9.5	87	0	0	7	3.0	50
 150	1009	-9.9	86	0	0	7	2.0	60
 151	1009	-10.5	88	0	0	7	2.0	30
 152	1009	-10.6	86	0	0	7	1.0	70
 153	1010	-11.2	87	0	14	7	1.0	80
 154	1011	-10.8	86	0	58	7	0.0	320
 155	1010	-10.5	82	31	83	7	0.0	210
 156	1009	-9.8	80	131	86	3	1.0	310
 157	1009	-8.4	74	122	89	4	1.0	320
 158	1009	-9.0	76	119	67	2	0.0	340
 159	1008	-9.6	79	67	47	2	2.0	340
 160	1008	-11.0	84	14	19	3	1.0	330
 161	1009	-12.7	85	0	0	3	1.0	300
 162	1009	-13.7	86	0	0	3	1.0	300
 163	1009	-14.3	85	0	0	4	1.0	290
 164	1009	-14.3	87	0	0	4	0.0	360
 165	1008	-14.5	87	0	0	4	0.0	50
 166	1008	-14.5	88	0	0	4	1.0	120
 167	1008	-14.0	88	0	0	5	1.0	170
 168	1008	-13.0	89	0	0	5	0.0	190
 169	1008	-12.6	86	0	0	5	1.0	320
 170	1008	-12.5	85	0	0	6	1.0	310
 171	1008	-13.2	86	0	0	6	0.0	340
 172	1008	-13.1	86	0	0	6	1.0	340
 173	1008	-12.7	91	0	0	6	1.0	10
 174	1008	-12.1	90	0	0	7	1.0	30
 175	1008	-12.3	89	0	0	7	0.0	80
 176	1009	-12.3	89	0	0	7	0.0	99
 177	1009	-11.9	90	0	14	7	1.0	330
 178	1009	-11.3	91	0	58	8	0.0	60
 179	1010	-11.2	90	0	108	8	0.0	99
 180	1009	-10.4	90	36	142	7	0.0	99
 181	1009	-9.6	90	117	103	4	0.0	99
 182	1009	-9.4	88	111	78	3	1.0	100
 183	1009	-9.9	88	64	50	4	1.0	120
 184	1009	-10.5	89	8	22	4	1.0	100
 185	1010	-11.6	88	0	0	4	1.0	100
 186	1010	-11.8	90	0	0	4	1.0	100
 187	1010	-12.0	87	0	0	4	1.0	40
 188	1011	-12.5	87	0	0	4	1.0	60
 189	1011	-13.0	88	0	0	5	2.0	100
 190	1010	-13.1	86	0	0	5	3.0	90
 191	1010	-13.4	87	0	0	5	4.0	100
 192	1011	-14.2	83	0	0	5	3.0	100
 193	1011	-14.6	85	0	0	5	3.0	100
 194	1010	-14.9	83	0	0	6	3.0	90
 195	1011	-14.8	88	0	0	6	4.0	60
 196	1010	-14.6	86	0	0	6	3.0	70
 197	1010	-14.9	83	0	0	6	3.0	100
 198	1010	-15.5	83	0	0	6	3.0	110
 199	1010	-14.4	85	0	0	6	2.0	70
 200	1010	-13.5	87	0	0	7	2.0	90
 201	1011	-12.8	86	0	11	7	1.0	90
 202	1011	-11.7	86	0	44	7	1.0	70
 203	1011	-10.3	82	39	131	7	1.0	70
 204	1010	-9.0	81	64	106	6	1.0	10
 205	1010	-7.7	79	11	164	8	0.0	99
 206	1010	-7.3	77	0	111	8	0.0	260
 207	1009	-7.1	77	3	78	8	1.0	330
 208	1009	-7.5	84	0	17	8	1.0	340
 209	1009	-8.0	85	0	0	8	2.0	340
 210	1009	-8.7	86	0	0	8	1.0	350
 211	1009	-8.8	89	0	0	8	0.0	350
 212	1009	-8.8	90	0	0	8	1.0	250
 213	1009	-9.6	90	0	0	8	2.0	290
 214	1009	-10.6	90	0	0	8	2.0	300
 215	1009	-9.5	94	0	0	8	1.0	350
 216	1009	-8.8	94	0	0	8	1.0	330
 217	1009	-8.5	92	0	0	8	0.0	99
 218	1009	-8.4	95	0	0	8	1.0	340
 219	1009	-8.4	95	0	0	8	1.0	330
 220	1009	-8.1	94	0	0	8	1.0	300
 221	1009	-8.0	96	0	0	8	1.0	310
 222	1009	-7.7	93	0	0	8	2.0	310
 223	1010	-7.5	95	0	0	8	3.0	300
 224	1010	-7.1	100	0	0	8	2.0	330
 225	1011	-7.0	95	0	8	8	1.0	330
 226	1011	-6.4	95	0	28	8	1.0	310
 227	1012	-5.3	96	0	50	8	1.0	290
 228	1012	-4.9	98	0	50	8	2.0	300
 229	1012	-5.1	96	0	33	8	4.0	290
 230	1012	-5.2	97	0	19	8	2.0	300
 231	1012	-4.9	97	0	22	8	2.0	290
 232	1013	-4.6	98	0	8	8	2.0	310
 233	1014	-4.4	100	0	0	8	2.0	320
 234	1014	-4.2	100	0	0	8	1.0	340
 235	1015	-4.1	100	0	0	8	1.0	320
 236	1016	-4.0	99	0	0	8	1.0	340
 237	1016	-5.3	96	0	0	8	2.0	360
 238	1017	-5.6	95	0	0	8	1.0	10
 239	1017	-6.2	96	0	0	8	2.0	10
 240	1018	-6.8	95	0	0	8	1.0	360
 241	1018	-7.3	93	0	0	8	2.0	360
 242	1019	-8.1	92	0	0	8	1.0	350
 243	1019	-8.9	91	0	0	8	1.0	350
 244	1020	-9.4	92	0	0	8	2.0	10
 245	1020	-9.9	92	0	0	8	1.0	10
 246	1020	-10.7	89	0	0	8	1.0	340
 247	1021	-10.9	92	0	0	8	1.0	340
 248	1021	-11.1	89	0	0	8	1.0	300
 249	1022	-10.6	90	0	19	8	1.0	290
 250	1022	-9.4	92	0	64	8	1.0	280
 251	1023	-8.4	93	0	108	8	0.0	250
 252	1023	-7.2	93	11	161	8	0.0	240
 253	1022	-5.5	93	81	161	6	1.0	280
 254	1022	-5.4	92	8	139	8	1.0	260
 255	1022	-5.6	91	0	75	8	1.0	240
 256	1022	-6.7	93	6	28	8	1.0	240
 257	1022	-7.8	93	0	0	8	2.0	230
 258	1022	-8.2	94	0	0	8	2.0	230
 259	1022	-8.5	92	0	0	8	3.0	230
 260	1021	-8.2	93	0	0	8	4.0	230
 261	1021	-7.2	93	0	0	8	4.0	230
 262	1021	-6.5	94	0	0	8	4.0	230
 263	1021	-6.3	93	0	0	8	4.0	230
 264	1020	-5.6	92	0	0	8	4.0	230
 265	1019	-5.1	93	0	0	8	5.0	230
 266	1019	-4.9	93	0	0	8	4.0	230
 267	1018	-4.5	95	0	0	8	4.0	240
 268	1018	-4.3	96	0	0	8	5.0	230
 269	1017	-3.9	96	0	0	8	4.0	240
 270	1017	-3.5	96	0	0	8	5.0	250
 271	1016	-3.2	100	0	0	8	4.0	240
 272	1016	-2.7	96	0	0	8	4.0	250
 273	1017	-1.5	97	0	11	8	7.0	260
 274	1017	-1.4	95	0	36	8	6.0	250
 275	1017	-1.1	100	0	44	8	6.0	260
 276	1017	-0.7	96	0	42	8	5.0	260
 277	1017	-0.3	96	0	44	8	5.0	260
 278	1017	-0.2	100	0	36	8	5.0	260
 279	1016	0.0	100	0	25	8	6.0	270
 280	1016	0.1	95	0	8	8	6.0	260
 281	1016	0.0	94	0	0	8	6.0	260
 282	1016	0.2	94	0	0	8	6.0	270
 283	1016	0.4	93	0	0	8	5.0	260
 284	1015	0.0	92	0	0	8	5.0	250
 285	1015	0.1	92	0	0	8	6.0	250
 286	1015	0.3	88	0	0	8	6.0	240
 287	1014	0.4	87	0	0	8	6.0	240
 288	1013	0.3	86	0	0	8	7.0	230
 289	1012	0.2	85	0	0	8	7.0	230
 290	1011	0.2	83	0	0	8	6.0	230
 291	1010	0.0	81	0	0	8	8.0	230
 292	1009	-1.0	100	0	0	8	8.0	230
 293	1008	-1.1	98	0	0	8	8.0	230
 294	1007	-1.1	98	0	0	8	8.0	230
 295	1006	-1.1	98	0	0	8	9.0	230
 296	1006	-0.7	99	0	0	8	7.0	240
 297	1006	0.1	99	0	6	8	8.0	250
 298	1005	0.4	98	0	17	8	7.0	250
 299	1006	0.7	100	0	25	8	7.0	250
 300	1005	0.9	100	0	31	8	7.0	250
 301	1005	1.3	96	0	28	8	6.0	250
 302	1005	1.3	96	0	22	8	5.0	240
 303	1005	1.6	100	0	17	8	6.0	250
 304	1005	1.6	99	0	6	8	6.0	250
 305	1005	1.6	99	0	0	8	7.0	250
 306	1005	1.6	99	0	0	8	5.0	240
 307	1005	1.5	100	0	0	8	5.0	240
 308	1005	2.0	99	0	0	8	5.0	260
 309	1006	2.5	100	0	0	8	6.0	260
 310	1006	2.6	99	0	0	8	5.0	260
 311	1007	2.8	99	0	0	8	5.0	260
 312	1007	2.9	99	0	0	8	5.0	250
 313	1007	3.0	99	0	0	8	5.0	250
 314	1007	3.2	99	0	0	8	6.0	250
 315	1008	3.8	99	0	0	8	7.0	260
 316	1008	4.0	99	0	0	8	8.0	260
 317	1008	4.3	99	0	0	8	7.0	260
 318	1008	4.5	100	0	0	8	6.0	260
 319	1009	5.0	99	0	0	8	7.0	260
 320	1009	5.2	99	0	0	8	7.0	260
 321	1009	5.5	100	0	6	8	8.0	250
 322	1010	5.3	99	0	14	8	7.0	250
 323	1010	5.5	100	0	22	8	8.0	240
 324	1009	5.6	99	0	28	8	8.0	240
 325	1009	5.7	99	0	31	8	8.0	250
 326	1009	6.1	97	0	19	8	9.0	250
 327	1009	6.0	97	0	8	8	8.0	250
 328	1009	6.2	97	0	6	8	7.0	260
 329	1010	6.2	97	0	0	8	8.0	250
 330	1010	6.1	99	0	0	8	8.0	250
 331	1010	6.2	97	0	0	8	8.0	250
 332	1010	6.2	97	0	0	8	7.0	250
 333	1010	6.3	95	0	0	8	8.0	250
 334	1010	6.6	93	0	0	8	8.0	250
 335	1011	6.6	92	0	0	8	8.0	250
 336	1010	6.6	92	0	0	8	8.0	260
 337	1011	6.6	91	0	0	8	7.0	250
 338	1011	6.4	91	0	0	8	8.0	250
 339	1011	6.3	88	0	0	8	8.0	240
 340	1011	6.0	86	0	0	8	8.0	250
 341	1010	5.8	84	0	0	8	8.0	250
 342	1010	5.8	82	0	0	8	8.0	250
 343	1011	5.9	81	0	0	8	9.0	250
 344	1011	5.6	82	0	0	8	7.0	240
 345	1011	5.6	81	0	6	8	8.0	240
 346	1011	5.9	79	0	17	8	8.0	250
 347	1011	5.9	78	0	33	8	6.0	240
 348	1012	5.7	80	0	36	8	5.0	230
 349	1011	5.4	80	0	36	8	6.0	230
 350	1010	5.1	79	0	28	8	7.0	240
 351	1010	5.2	71	0	25	8	8.0	250
 352	1010	4.8	71	0	11	8	7.0	240
 353	1009	4.5	72	0	0	8	7.0	230
 354	1009	4.3	73	0	0	8	7.0	230
 355	1009	3.5	82	0	0	8	4.0	220
 356	1008	3.4	80	0	0	8	5.0	220
 357	1007	3.5	78	0	0	8	6.0	210
 358	1007	3.5	78	0	0	8	7.0	220
 359	1007	3.5	78	0	0	8	6.0	220
 360	1007	3.5	79	0	0	8	7.0	220
 361	1006	3.5	82	0	0	8	6.0	230
 362	1006	3.0	90	0	0	8	7.0	230
 363	1006	3.1	89	0	0	8	7.0	230
 364	1006	3.4	87	0	0	8	6.0	230
 365	1006	3.5	87	0	0	8	7.0	240
 366	1006	4.0	86	0	0	8	7.0	250
 367	1006	4.1	87	0	0	8	7.0	240
 368	1006	4.2	86	0	0	8	8.0	240
 369	1007	4.6	84	0	14	8	8.0	240
 370	1007	4.8	83	11	75	8	8.0	250
 371	1008	5.4	80	0	69	8	7.0	250
 372	1008	5.8	79	0	64	8	9.0	250
 373	1008	6.3	78	0	89	8	9.0	260
 374	1009	6.2	79	0	48	8	7.0	260
 375	1009	6.1	78	0	36	8	9.0	260
 376	1010	5.9	80	0	17	8	7.0	250
 377	1011	5.5	80	0	0	7	8.0	260
 378	1012	5.2	81	0	0	7	6.0	250
 379	1013	5.1	84	0	0	6	8.0	250
 380	1013	4.4	87	0	0	6	7.0	250
 381	1014	4.3	87	0	0	5	7.0	250
 382	1014	4.7	85	0	0	5	7.0	250
 383	1014	4.9	85	0	0	5	6.0	240
 384	1014	5.1	84	0	0	4	6.0	240
 385	1014	5.1	84	0	0	4	5.0	240
 386	1014	4.9	84	0	0	3	5.0	240
 387	1014	4.7	84	0	0	3	6.0	240
 388	1014	4.6	82	0	0	3	4.0	220
 389	1014	3.1	85	0	0	2	4.0	210
 390	1013	1.1	94	0	0	2	4.0	210
 391	1013	0.5	100	0	0	1	5.0	200
 392	1013	-0.1	98	0	0	1	4.0	200
 393	1013	0.2	97	14	22	0	5.0	210
 394	1013	0.8	95	86	44	0	4.0	200
 395	1013	2.4	87	167	53	0	5.0	220
 396	1013	4.6	75	211	56	0	1.0	190
 397	1012	6.1	68	208	58	0	4.0	190
 398	1011	5.2	72	175	53	0	4.0	180
 399	1010	4.8	74	106	42	0	4.0	180
