m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	1	1	1	2.2	0	1.8	97.0	0	6.0	210	292	0.3	0.0	8.0	-60.44	2.56	0	0	0	0.0	0.0	0	0	321
1	1	1	2	2.4	0	2.1	98.0	0	6.0	210	293	0.0	0.0	8.0	-56.99	2.56	0	0	0	0.0	0.0	0	0	322
1	1	1	3	2.4	0	2.3	99.0	0	5.0	220	293	0.0	0.0	8.0	-50.47	2.56	0	0	0	0.0	0.0	0	0	321
1	1	1	4	2.0	0	1.6	97.0	0	4.0	200	249	0.0	0.0	8.0	-42.26	2.56	0	0	0	0.0	0.0	0	0	318
1	1	1	5	1.7	0	1.7	100.0	0	4.0	210	290	0.0	0.0	8.0	-33.31	2.56	0	0	0	0.0	0.0	0	0	316
1	1	1	6	1.8	0	1.8	100.0	0	4.0	190	290	0.0	0.0	8.0	-24.17	2.56	0	0	0	0.0	0.0	0	0	317
1	1	1	7	1.8	0	1.5	98.0	0	4.0	190	275	0.0	0.0	8.0	-15.25	2.56	0	0	0	0.0	0.0	0	0	317
1	1	1	8	2.0	0	1.9	99.0	0	6.0	200	291	0.0	0.0	8.0	-6.88	2.56	0	0	0	0.0	0.0	0	0	320
1	1	1	9	1.9	11	1.6	98.0	11	4.0	200	291	0.0	0.6	8.0	3.89	2.56	0	15	9	27.1	7.8	5	0	323
1	1	1	10	2.2	36	1.6	96.0	36	4.0	190	292	0.0	1.0	8.0	6.83	2.56	0	89	32	167.8	45.6	17	0	325
1	1	1	11	2.7	75	1.7	93.0	75	3.0	210	295	0.0	2.0	8.0	11.42	2.56	0	167	44	279.5	85.7	34	0	329
1	1	1	12	3.4	97	1.9	90.0	94	4.0	210	298	0.0	2.4	8.0	14.04	2.56	12	216	50	342.4	111.1	44	0	333
1	1	1	13	4.0	114	2.0	87.0	111	3.0	200	286	0.0	3.8	8.0	14.44	2.56	12	224	51	352.0	115.2	51	0	336
1	1	1	14	4.5	106	2.4	86.0	103	3.0	200	278	0.0	4.7	8.0	12.60	2.56	14	189	47	307.8	97.4	47	0	339
1	1	1	15	4.0	80	2.2	88.0	72	3.0	170	267	0.0	6.5	8.0	8.67	2.56	53	120	37	212.8	61.5	35	0	335
1	1	1	16	2.9	25	2.2	95.0	19	2.0	180	254	0.0	5.1	8.0	6.03	2.56	57	38	19	69.4	19.7	12	0	328
1	1	1	17	1.7	0	1.7	100.0	0	3.0	200	244	0.0	0.0	8.0	-4.09	2.56	0	0	0	0.0	0.0	0	0	314
1	1	1	18	1.5	0	1.5	100.0	0	4.0	190	247	0.0	0.0	8.0	-12.18	2.56	0	0	0	0.0	0.0	0	0	315
1	1	1	19	0.8	0	0.7	99.0	0	3.0	190	238	0.0	0.0	8.0	-20.95	2.56	0	0	0	0.0	0.0	0	0	310
1	1	1	20	0.1	0	0.0	99.0	0	4.0	190	236	0.0	0.0	8.0	-30.05	2.56	0	0	0	0.0	0.0	0	0	309
1	1	1	21	-0.3	0	-0.3	100.0	0	4.0	190	234	0.0	0.0	8.0	-39.12	2.56	0	0	0	0.0	0.0	0	0	307
