#1
#Potsdam DWD warm
# 52,383        13,067        81            1 
#
# hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
double tab1(8760,9)
 1	988	2.2	97	0	0	8	6.0	210
 2	988	2.4	98	0	0	8	6.0	210
 3	989	2.4	99	0	0	8	5.0	220
 4	989	2.0	97	0	0	8	4.0	200
 5	989	1.7	100	0	0	8	4.0	210
 6	989	1.8	100	0	0	8	4.0	190
 7	990	1.8	98	0	0	8	4.0	190
 8	990	2.0	99	0	0	8	6.0	200
 9	991	1.9	98	0	11	8	4.0	200
 10	992	2.2	96	0	36	8	4.0	190
 11	993	2.7	93	0	75	8	3.0	210
 12	993	3.4	90	3	94	8	4.0	210
 13	993	4.0	87	3	111	8	3.0	200
 14	994	4.5	86	3	103	8	3.0	200
 15	994	4.0	88	8	72	8	3.0	170
 16	995	2.9	95	6	19	8	2.0	180
 17	996	1.7	100	0	0	8	3.0	200
 18	996	1.5	100	0	0	8	4.0	190
 19	997	0.8	99	0	0	8	3.0	190
 20	998	0.1	99	0	0	8	4.0	190
 21	998	-0.3	100	0	0	8	4.0	190
 22	999	-0.4	100	0	0	8	4.0	210
 23	999	0.4	98	0	0	8	3.0	230
 24	1000	-0.4	100	0	0	8	2.0	250
 25	1000	-0.4	100	0	0	8	1.0	280
 26	1001	-0.1	99	0	0	8	1.0	330
 27	1002	-0.2	100	0	0	8	2.0	320
 28	1002	-0.3	100	0	0	8	2.0	320
 29	1003	-0.2	100	0	0	8	2.0	350
 30	1003	-0.2	100	0	0	8	2.0	350
 31	1004	-0.2	100	0	0	8	2.0	340
 32	1005	0.0	98	0	0	8	1.0	350
 33	1005	0.0	98	0	8	8	1.0	320
 34	1006	0.5	100	0	64	8	1.0	340
 35	1007	1.2	99	0	72	8	0.0	330
 36	1007	1.5	100	11	119	8	1.0	320
 37	1007	2.2	97	3	131	8	2.0	310
 38	1007	2.3	96	0	75	8	1.0	310
 39	1008	2.0	99	0	36	8	1.0	340
 40	1009	1.8	99	0	8	8	0.0	340
 41	1009	1.5	100	0	0	8	1.0	340
 42	1010	1.4	99	0	0	8	1.0	360
 43	1010	1.2	99	0	0	8	2.0	330
 44	1011	1.4	99	0	0	8	2.0	340
 45	1011	1.4	99	0	0	8	2.0	350
 46	1011	1.5	100	0	0	8	1.0	360
 47	1012	1.5	100	0	0	8	1.0	350
 48	1012	1.4	99	0	0	8	2.0	360
 49	1012	1.2	99	0	0	8	0.0	360
 50	1013	1.0	99	0	0	8	2.0	330
 51	1013	0.7	100	0	0	8	2.0	330
 52	1013	0.0	98	0	0	8	2.0	340
 53	1013	0.3	97	0	0	8	2.0	340
 54	1013	-0.7	98	0	0	8	2.0	310
 55	1014	-0.9	98	0	0	8	2.0	310
 56	1015	-0.2	100	0	0	8	2.0	10
 57	1015	-0.1	99	0	8	8	2.0	320
 58	1015	0.2	98	3	22	8	3.0	300
 59	1016	0.5	100	0	33	8	2.0	300
 60	1016	0.6	100	0	50	8	1.0	320
 61	1016	0.6	100	0	64	8	2.0	300
 62	1016	0.7	100	0	53	8	3.0	310
 63	1016	0.6	100	0	25	8	3.0	300
 64	1017	0.6	100	0	6	8	2.0	310
 65	1017	0.5	100	0	0	8	2.0	310
 66	1018	0.6	100	0	0	8	3.0	320
 67	1018	0.5	100	0	0	8	3.0	310
 68	1018	0.4	98	0	0	8	2.0	320
 69	1018	0.2	98	0	0	8	2.0	320
 70	1019	0.0	98	0	0	8	2.0	340
 71	1019	-0.2	100	0	0	8	3.0	340
 72	1019	-0.4	100	0	0	8	2.0	320
 73	1019	-0.6	98	0	0	8	2.0	330
 74	1019	-0.7	97	0	0	8	2.0	330
 75	1019	-0.9	97	0	0	8	2.0	320
 76	1019	-1.2	100	0	0	8	2.0	320
 77	1019	-1.2	100	0	0	8	2.0	330
 78	1020	-1.2	100	0	0	8	2.0	330
 79	1019	-1.2	100	0	0	8	2.0	330
 80	1020	-1.1	100	0	0	8	2.0	340
 81	1020	-1.0	98	0	0	8	2.0	340
 82	1020	-0.7	98	0	17	8	1.0	10
 83	1021	-0.2	100	0	36	8	2.0	10
 84	1020	0.3	97	3	69	8	2.0	360
 85	1020	0.7	92	0	69	8	3.0	10
 86	1019	0.8	88	0	58	8	3.0	30
 87	1020	0.7	85	0	47	8	3.0	30
 88	1020	0.2	78	0	14	8	2.0	30
 89	1020	0.1	80	0	0	8	2.0	10
 90	1019	0.0	86	0	0	8	2.0	10
 91	1019	-0.1	89	0	0	8	2.0	10
 92	1019	-0.1	94	0	0	8	2.0	20
 93	1019	-0.2	100	0	0	8	2.0	50
 94	1019	-0.2	100	0	0	8	2.0	50
 95	1019	0.0	98	0	0	8	2.0	70
 96	1019	0.3	97	0	0	8	3.0	80
 97	1018	0.5	100	0	0	8	4.0	80
 98	1018	0.5	100	0	0	8	4.0	80
 99	1018	0.4	98	0	0	8	4.0	80
 100	1018	0.4	98	0	0	8	5.0	80
 101	1017	0.6	100	0	0	8	5.0	90
 102	1017	0.6	100	0	0	8	6.0	80
 103	1017	0.6	100	0	0	8	6.0	90
 104	1017	0.7	100	0	0	8	6.0	90
 105	1017	0.6	100	0	0	8	7.0	80
 106	1017	0.6	100	0	9	8	6.0	90
 107	1016	0.9	92	0	31	8	7.0	90
 108	1016	0.9	93	0	36	8	7.0	80
 109	1015	0.6	94	0	22	8	7.0	90
 110	1015	0.4	94	0	17	8	7.0	90
 111	1014	0.4	92	0	17	8	7.0	90
 112	1014	0.1	93	0	0	8	7.0	90
 113	1014	-0.2	94	0	0	8	7.0	90
 114	1014	-0.4	94	0	0	8	7.0	90
 115	1014	-0.4	90	0	0	8	7.0	100
 116	1014	-0.7	92	0	0	8	6.0	100
 117	1014	-0.7	92	0	0	8	7.0	100
 118	1014	-0.7	93	0	0	8	7.0	90
 119	1014	-0.7	91	0	0	8	7.0	100
 120	1014	-0.7	91	0	0	8	6.0	100
 121	1014	-0.9	91	0	0	8	6.0	100
 122	1014	-0.9	92	0	0	8	6.0	100
 123	1014	-1.1	92	0	0	8	7.0	90
 124	1014	-1.1	93	0	0	8	9.0	90
 125	1014	-1.2	93	0	0	8	7.0	100
 126	1014	-1.3	94	0	0	8	5.0	100
 127	1014	-1.5	94	0	0	8	8.0	90
 128	1015	-1.7	96	0	0	8	6.0	90
 129	1015	-2.0	97	0	0	8	7.0	100
 130	1016	-2.3	100	0	14	8	7.0	90
 131	1016	-2.1	94	0	20	8	6.0	90
 132	1016	-1.9	92	0	22	8	6.0	90
 133	1016	-2.3	92	0	28	8	7.0	90
 134	1016	-2.1	91	0	22	8	5.0	90
 135	1016	-2.0	93	0	17	8	6.0	90
 136	1016	-1.8	91	0	3	8	6.0	90
 137	1016	-1.3	90	0	0	8	5.0	110
 138	1016	-1.1	88	0	0	8	5.0	90
 139	1017	-0.9	88	0	0	8	4.0	90
 140	1017	-0.8	89	0	0	8	5.0	90
 141	1017	-0.7	88	0	0	8	5.0	90
 142	1017	-0.6	90	0	0	8	4.0	90
 143	1018	-0.7	89	0	0	8	6.0	100
 144	1018	-0.8	89	0	0	8	5.0	90
 145	1018	-1.4	94	0	0	8	5.0	100
 146	1018	-1.5	95	0	0	8	4.0	90
 147	1018	-1.6	94	0	0	8	5.0	90
 148	1018	-1.8	96	0	0	8	5.0	90
 149	1018	-2.0	98	0	0	8	6.0	90
 150	1018	-2.1	100	0	0	8	6.0	90
 151	1019	-1.9	97	0	0	8	5.0	90
 152	1019	-1.8	99	0	0	8	5.0	100
 153	1019	-1.8	99	0	3	8	5.0	90
 154	1020	-1.6	97	0	19	8	6.0	90
 155	1020	-1.4	100	0	42	8	6.0	100
 156	1020	-1.2	95	0	47	8	6.0	90
 157	1020	-1.3	94	0	33	8	6.0	100
 158	1020	-1.6	93	0	33	8	6.0	90
 159	1020	-1.9	93	3	19	8	6.0	100
 160	1021	-2.3	96	0	3	8	6.0	100
 161	1021	-2.1	100	0	0	8	4.0	100
 162	1021	-1.9	97	0	0	8	4.0	100
 163	1021	-1.7	89	0	0	8	5.0	110
 164	1021	-1.8	86	0	0	8	6.0	100
 165	1021	-2.8	89	0	0	8	4.0	90
 166	1021	-3.4	91	0	0	8	5.0	100
 167	1021	-4.1	92	0	0	8	6.0	90
 168	1021	-4.6	94	0	0	8	5.0	100
 169	1021	-5.1	93	0	0	8	6.0	100
 170	1021	-5.6	92	0	0	8	5.0	100
 171	1021	-5.4	92	0	0	8	6.0	100
 172	1021	-5.6	90	0	0	8	6.0	110
 173	1021	-5.5	92	0	0	8	5.0	100
 174	1021	-5.5	92	0	0	8	4.0	100
 175	1021	-5.8	94	0	0	8	5.0	100
 176	1022	-5.9	100	0	0	8	5.0	100
 177	1022	-5.9	96	0	8	8	5.0	100
 178	1022	-5.8	98	0	33	8	5.0	100
 179	1023	-5.2	98	3	72	8	4.0	110
 180	1022	-5.1	100	0	100	8	5.0	100
 181	1022	-4.8	96	3	97	8	4.0	100
 182	1022	-4.3	93	28	111	7	4.0	100
 183	1022	-4.6	93	42	58	7	4.0	100
 184	1022	-4.9	93	8	22	7	5.0	110
 185	1022	-5.3	93	0	0	7	4.0	110
 186	1022	-5.8	93	0	0	6	5.0	100
 187	1022	-6.1	90	0	0	6	6.0	100
 188	1022	-6.5	92	0	0	6	5.0	110
 189	1023	-6.9	94	0	0	6	5.0	100
 190	1022	-7.2	95	0	0	5	6.0	100
 191	1023	-7.5	94	0	0	5	5.0	100
 192	1022	-7.7	93	0	0	5	6.0	100
 193	1022	-7.9	94	0	0	5	6.0	110
 194	1022	-8.1	92	0	0	4	6.0	110
 195	1022	-8.5	93	0	0	4	5.0	100
 196	1022	-8.9	92	0	0	4	5.0	100
 197	1021	-9.1	94	0	0	4	4.0	110
 198	1021	-9.3	92	0	0	3	5.0	100
 199	1022	-9.6	93	0	0	3	4.0	100
 200	1022	-9.9	92	0	0	3	5.0	100
 201	1022	-10.0	92	6	22	2	3.0	100
 202	1022	-9.3	89	61	50	2	5.0	100
 203	1021	-8.2	86	122	67	2	4.0	90
 204	1021	-6.1	79	158	75	2	3.0	100
 205	1020	-4.3	71	164	75	1	3.0	110
 206	1020	-3.9	71	139	56	0	3.0	100
 207	1019	-3.9	75	67	47	0	4.0	100
 208	1019	-4.4	77	8	22	0	4.0	110
 209	1019	-5.4	83	0	0	1	3.0	110
 210	1019	-6.1	85	0	0	1	3.0	110
 211	1019	-6.4	86	0	0	1	4.0	110
 212	1019	-6.5	87	0	0	1	4.0	120
 213	1018	-7.0	88	0	0	1	5.0	120
 214	1018	-7.4	90	0	0	2	5.0	120
 215	1018	-8.0	95	0	0	2	4.0	120
 216	1018	-7.9	95	0	0	2	5.0	130
 217	1018	-8.3	95	0	0	2	4.0	160
 218	1018	-8.1	91	0	0	3	4.0	160
 219	1017	-7.7	92	0	0	3	4.0	170
 220	1017	-6.4	86	0	0	3	5.0	180
 221	1017	-7.2	90	0	0	3	2.0	180
 222	1017	-7.7	90	0	0	3	5.0	170
 223	1017	-8.2	90	0	0	4	3.0	170
 224	1018	-8.1	92	0	0	4	4.0	170
 225	1018	-7.9	93	8	22	4	3.0	170
 226	1018	-6.4	90	67	53	4	4.0	180
 227	1018	-5.1	89	108	103	4	4.0	220
 228	1018	-3.0	81	106	103	5	2.0	210
 229	1018	-1.2	74	128	119	5	1.0	220
 230	1018	-1.4	74	72	103	6	2.0	210
 231	1017	-2.0	79	44	75	5	3.0	210
 232	1017	-2.4	81	11	31	5	2.0	190
 233	1017	-3.4	87	0	0	5	3.0	190
 234	1017	-4.5	91	0	0	5	3.0	210
 235	1017	-4.5	95	0	0	4	4.0	200
 236	1017	-4.8	96	0	0	4	4.0	190
 237	1017	-4.5	96	0	0	4	3.0	190
 238	1017	-5.3	100	0	0	3	3.0	200
 239	1016	-5.1	98	0	0	3	3.0	190
 240	1016	-4.7	97	0	0	3	3.0	190
 241	1016	-4.8	97	0	0	3	4.0	190
 242	1015	-4.9	97	0	0	2	4.0	190
 243	1015	-4.9	96	0	0	2	4.0	190
 244	1015	-4.7	93	0	0	2	5.0	180
 245	1014	-5.2	94	0	0	2	4.0	180
 246	1014	-5.4	93	0	0	1	4.0	190
 247	1014	-5.4	92	0	0	1	4.0	190
 248	1014	-5.1	92	0	0	1	6.0	190
 249	1014	-5.0	89	10	26	1	4.0	190
 250	1014	-4.2	89	69	44	0	4.0	200
 251	1014	-2.2	82	156	56	0	4.0	210
 252	1013	1.1	66	189	67	0	3.0	200
 253	1013	2.8	61	169	69	0	3.0	220
 254	1012	3.3	61	117	89	4	4.0	200
 255	1012	2.8	65	67	58	4	5.0	200
 256	1012	1.5	70	6	22	4	5.0	210
 257	1012	0.6	76	0	0	4	5.0	210
 258	1012	0.3	77	0	0	4	5.0	210
 259	1012	0.8	77	0	0	5	6.0	210
 260	1012	0.8	79	0	0	5	5.0	210
 261	1013	1.4	79	0	0	5	3.0	220
 262	1014	1.5	80	0	0	5	3.0	230
 263	1014	1.1	94	0	0	6	5.0	240
 264	1015	0.9	98	0	0	6	4.0	240
 265	1016	0.7	100	0	0	6	4.0	250
 266	1016	0.9	98	0	0	6	4.0	260
 267	1017	1.2	99	0	0	6	4.0	270
 268	1018	1.1	100	0	0	7	3.0	260
 269	1018	1.4	99	0	0	7	4.0	260
 270	1019	1.3	98	0	0	7	3.0	270
 271	1020	1.3	98	0	0	7	2.0	280
 272	1020	1.4	99	0	0	7	2.0	270
 273	1021	1.4	99	0	11	8	2.0	260
 274	1022	1.6	100	0	42	8	2.0	250
 275	1022	2.1	98	0	100	8	2.0	260
 276	1022	2.2	99	36	117	7	1.0	230
 277	1022	4.1	91	125	108	4	1.0	290
 278	1022	4.4	86	72	111	6	1.0	320
 279	1023	4.0	86	42	78	6	0.0	99
 280	1023	3.1	92	3	19	6	0.0	0
 281	1024	2.8	94	0	0	6	0.0	99
 282	1024	2.4	98	0	0	6	0.0	0
 283	1024	2.4	99	0	0	6	1.0	160
 284	1025	2.3	92	0	0	6	2.0	160
 285	1024	1.9	91	0	0	6	2.0	160
 286	1024	1.4	93	0	0	7	3.0	160
 287	1025	1.2	93	0	0	7	3.0	170
 288	1025	1.1	91	0	0	7	1.0	140
 289	1025	1.1	89	0	0	7	2.0	150
 290	1025	0.9	90	0	0	7	2.0	160
 291	1025	0.6	94	0	0	7	2.0	120
 292	1024	-0.4	100	0	0	7	3.0	100
 293	1024	0.5	100	0	0	7	3.0	120
 294	1024	0.6	100	0	0	7	4.0	140
 295	1024	0.3	97	0	0	8	3.0	130
 296	1024	0.0	98	0	0	8	3.0	140
 297	1024	-0.2	100	0	8	8	3.0	130
 298	1024	-0.3	100	3	22	8	3.0	130
 299	1024	0.0	98	0	56	8	4.0	120
 300	1024	0.4	96	0	89	8	4.0	120
 301	1023	0.7	94	0	92	8	4.0	110
 302	1023	1.0	92	0	83	8	5.0	110
 303	1022	0.8	92	0	61	8	4.0	120
 304	1022	0.4	93	3	17	7	4.0	130
 305	1022	0.2	94	0	0	7	5.0	120
 306	1022	0.0	94	0	0	7	5.0	120
 307	1022	-0.2	94	0	0	7	4.0	130
 308	1022	-0.4	94	0	0	6	4.0	130
 309	1021	-0.7	95	0	0	6	6.0	130
 310	1021	-1.2	100	0	0	6	5.0	120
 311	1021	-1.7	98	0	0	6	4.0	130
 312	1021	-2.1	100	0	0	5	3.0	130
 313	1021	-2.3	100	0	0	5	4.0	130
 314	1021	-2.2	100	0	0	5	4.0	120
 315	1021	-2.2	100	0	0	5	4.0	130
 316	1020	-2.4	100	0	0	4	4.0	120
 317	1020	-3.0	98	0	0	4	5.0	120
 318	1020	-3.3	100	0	0	4	4.0	120
 319	1020	-3.6	98	0	0	3	3.0	130
 320	1021	-3.9	98	0	0	3	3.0	130
 321	1021	-4.2	100	3	25	3	3.0	120
 322	1021	-3.8	97	42	64	3	3.0	120
 323	1021	-2.5	91	128	75	2	4.0	130
 324	1021	-0.8	81	169	75	1	3.0	130
 325	1020	0.4	73	172	75	1	3.0	120
 326	1020	0.7	71	142	67	1	3.0	130
 327	1020	0.2	77	78	53	3	4.0	120
 328	1019	-0.5	82	14	28	3	3.0	120
 329	1019	-1.5	87	0	0	3	4.0	130
 330	1019	-2.4	90	0	0	3	3.0	130
 331	1019	-3.0	94	0	0	3	4.0	120
 332	1019	-3.1	96	0	0	3	4.0	120
 333	1019	-3.6	96	0	0	3	5.0	110
 334	1019	-4.1	100	0	0	3	4.0	110
 335	1019	-4.5	97	0	0	3	4.0	110
 336	1019	-4.9	98	0	0	3	5.0	110
 337	1018	-5.6	96	0	0	3	5.0	110
 338	1018	-6.1	96	0	0	2	5.0	110
 339	1018	-6.6	94	0	0	2	5.0	110
 340	1018	-7.0	95	0	0	2	5.0	110
 341	1018	-7.2	95	0	0	2	5.0	120
 342	1017	-7.6	95	0	0	2	4.0	110
 343	1017	-7.6	95	0	0	2	5.0	120
 344	1017	-7.8	93	0	0	2	4.0	120
 345	1017	-7.4	92	14	28	2	5.0	120
 346	1017	-6.5	90	81	56	2	3.0	130
 347	1017	-5.0	85	144	75	2	5.0	130
 348	1017	-3.4	79	175	89	3	4.0	130
 349	1016	-2.1	72	181	81	2	4.0	130
 350	1016	-1.5	71	139	75	3	3.0	140
 351	1016	-2.0	75	78	58	4	3.0	140
 352	1015	-2.8	80	17	28	4	3.0	120
 353	1015	-3.8	83	0	0	3	4.0	120
 354	1015	-3.8	81	0	0	3	5.0	130
 355	1015	-5.1	89	0	0	3	3.0	120
 356	1015	-5.6	91	0	0	3	4.0	120
 357	1014	-6.2	96	0	0	3	5.0	120
 358	1014	-6.5	95	0	0	3	5.0	130
 359	1014	-7.1	95	0	0	3	5.0	130
 360	1014	-7.0	94	0	0	3	4.0	150
 361	1014	-7.6	96	0	0	3	4.0	150
 362	1013	-8.3	95	0	0	3	5.0	130
 363	1013	-8.6	95	0	0	3	5.0	130
 364	1013	-8.8	95	0	0	3	5.0	140
 365	1012	-8.8	95	0	0	3	4.0	150
 366	1012	-8.4	95	0	0	3	5.0	150
 367	1012	-9.0	92	0	0	3	5.0	140
 368	1012	-8.1	90	0	0	2	4.0	160
 369	1012	-8.3	91	14	28	2	3.0	150
 370	1012	-7.2	90	81	53	2	4.0	160
 371	1011	-5.9	88	142	72	2	3.0	160
 372	1011	-3.6	82	139	81	3	2.0	150
 373	1010	-2.4	76	139	78	3	2.0	140
 374	1009	-1.4	70	153	69	2	3.0	140
 375	1009	-2.1	71	86	53	3	2.0	140
 376	1009	-2.6	74	17	28	3	3.0	140
