Rostock DWD normal
 54,183        12,083        4             1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	1013	1.0	92	0	0	8	6.6	280
 2	1020	0.9	92	0	0	8	7.6	290
 3	1024	0.8	92	0	0	8	8.1	290
 4	1025	0.9	92	0	0	8	7.6	320
 5	1025	0.8	89	0	0	8	7.5	320
 6	1026	0.6	89	0	0	8	8.0	310
 7	1025	0.4	90	0	0	8	8.0	290
 8	1026	0.5	90	0	0	8	6.0	270
 9	1026	-0.2	88	0	11	8	3.0	230
 10	1025	0.4	88	0	42	8	6.0	240
 11	1024	1.5	87	0	56	8	6.0	250
 12	1024	2.5	86	0	53	8	7.0	250
 13	1023	3.1	84	0	44	8	10.0	260
 14	1022	3.1	84	0	42	8	9.0	260
 15	1021	3.4	86	0	25	8	11.0	260
 16	1020	3.7	86	0	3	7	11.0	260
 17	1020	3.3	88	0	0	7	11.0	260
 18	1019	3.4	89	0	0	6	11.0	260
 19	1019	3.8	88	0	0	6	13.0	270
 20	1018	4.3	86	0	0	6	13.0	270
 21	1017	4.4	86	0	0	5	18.0	280
 22	1016	4.6	86	0	0	5	18.0	280
 23	1016	4.6	86	0	0	5	19.0	280
 24	1015	4.6	86	0	0	4	20.0	290
 25	1016	4.6	87	0	0	4	18.0	300
 26	1016	4.1	91	0	0	4	17.0	300
 27	1017	4.2	91	0	0	3	15.0	310
 28	1018	3.7	92	0	0	3	12.0	310
 29	1019	3.4	92	0	0	2	10.0	320
 30	1021	3.4	81	0	0	2	12.0	330
 31	1021	2.8	71	0	0	2	13.0	330
 32	1023	1.6	69	0	0	1	13.0	350
 33	1025	1.0	71	8	11	1	11.0	360
 34	1027	0.1	76	19	50	0	10.0	10
 35	1028	-0.2	75	103	67	0	10.0	20
 36	1029	-0.5	74	67	81	5	10.0	30
 37	1030	-0.6	73	11	83	8	8.0	20
 38	1031	-0.7	71	8	83	8	8.0	30
 39	1032	-0.6	75	0	42	8	8.0	20
 40	1033	-0.8	73	0	11	8	8.0	30
 41	1034	-1.3	72	0	0	7	5.0	50
 42	1035	-1.9	69	0	0	7	4.0	60
 43	1036	-2.1	68	0	0	6	3.0	60
 44	1036	-2.0	68	0	0	6	3.0	100
 45	1037	-2.0	67	0	0	6	2.0	100
 46	1037	-2.4	66	0	0	5	3.0	60
 47	1038	-2.6	70	0	0	5	2.0	50
 48	1038	-1.9	67	0	0	4	2.0	60
 49	1039	-1.9	67	0	0	4	1.0	80
 50	1039	-2.3	72	0	0	4	1.0	90
 51	1039	-2.7	74	0	0	3	1.0	100
 52	1040	-3.3	74	0	0	3	1.0	100
 53	1040	-3.7	76	0	0	2	1.0	110
 54	1040	-3.8	75	0	0	2	1.0	110
 55	1040	-4.0	78	0	0	2	1.0	100
 56	1040	-3.8	75	0	0	1	1.0	120
 57	1040	-3.9	80	8	11	1	2.0	150
 58	1040	-3.6	81	58	33	0	2.0	140
 59	1041	-1.8	75	114	47	0	2.0	130
 60	1040	-1.5	72	14	92	8	2.0	150
 61	1040	-0.7	71	8	136	8	0.0	150
 62	1040	-0.9	69	0	83	8	2.0	150
 63	1040	-0.8	73	11	69	8	1.0	160
 64	1040	-1.3	72	8	11	7	2.0	160
 65	1040	-2.0	77	0	0	7	2.0	150
 66	1040	-2.6	79	0	0	7	1.0	120
 67	1040	-3.0	82	0	0	6	2.0	160
 68	1040	-3.3	78	0	0	6	2.0	160
 69	1040	-3.8	77	0	0	5	1.0	170
 70	1040	-4.3	81	0	0	5	2.0	180
 71	1040	-4.8	79	0	0	5	2.0	190
 72	1040	-5.3	79	0	0	4	1.0	190
 73	1039	-5.8	82	0	0	4	2.0	190
 74	1039	-6.2	84	0	0	3	1.0	170
 75	1039	-6.6	84	0	0	3	1.0	180
 76	1038	-6.9	87	0	0	3	1.0	180
 77	1038	-7.2	87	0	0	2	1.0	190
 78	1038	-7.3	84	0	0	2	2.0	180
 79	1037	-7.9	83	0	0	2	2.0	200
 80	1037	-7.8	78	0	0	1	2.0	180
 81	1037	-8.0	78	14	11	1	2.0	180
 82	1037	-7.5	73	69	33	0	1.0	180
 83	1037	-6.0	69	131	42	0	2.0	210
 84	1037	-5.1	64	175	42	0	2.0	220
 85	1036	-2.9	56	178	42	0	3.0	190
 86	1037	-1.9	52	136	39	0	1.0	180
 87	1036	-1.6	52	69	33	0	2.0	200
 88	1036	-2.9	57	14	11	0	1.0	210
 89	1036	-3.6	64	0	0	0	2.0	210
 90	1036	-4.1	67	0	0	0	2.0	210
 91	1036	-4.1	64	0	0	0	3.0	210
 92	1036	-4.5	65	0	0	0	3.0	210
 93	1036	-4.6	62	0	0	0	3.0	220
 94	1036	-4.9	63	0	0	0	3.0	220
 95	1036	-5.2	64	0	0	0	3.0	220
 96	1035	-5.5	66	0	0	0	4.0	220
 97	1036	-5.5	66	0	0	0	3.0	210
 98	1035	-5.7	67	0	0	0	3.0	220
 99	1035	-5.4	65	0	0	0	3.0	210
 100	1035	-6.0	67	0	0	0	4.0	220
 101	1035	-5.2	61	0	0	0	3.0	220
 102	1034	-4.8	55	0	0	0	2.0	220
 103	1034	-5.6	66	0	0	0	2.0	200
 104	1034	-5.0	60	0	0	0	2.0	230
 105	1035	-4.7	59	6	14	0	3.0	220
