Stötten DWD normal
 48,667        9,867         734           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	933	0.0	100	0	0	8	5.6	260
 2	937	1.2	100	0	0	8	5.2	270
 3	939	2.1	100	0	0	8	4.9	270
 4	939	2.0	100	0	0	8	4.8	280
 5	939	2.0	100	0	0	8	4.6	270
 6	939	2.1	100	0	0	8	4.0	240
 7	939	1.8	100	0	0	8	4.0	250
 8	940	2.4	100	0	0	8	5.0	240
 9	940	2.3	100	0	10	8	5.0	260
 10	940	2.1	100	10	66	8	3.0	240
 11	940	2.5	100	18	102	8	4.0	280
 12	940	2.9	99	22	119	8	5.0	290
 13	940	2.9	94	65	155	7	2.0	260
 14	939	3.6	86	83	123	6	3.0	260
 15	939	3.6	79	17	71	8	7.0	260
 16	938	2.9	85	1	8	8	4.0	230
 17	938	2.2	92	0	0	8	5.0	210
 18	938	1.8	92	0	0	8	5.0	210
 19	937	2.5	93	0	0	8	8.0	240
 20	937	3.0	87	0	0	8	7.0	260
 21	937	2.3	97	0	0	8	6.0	230
 22	936	3.0	94	0	0	8	7.0	230
 23	936	2.7	93	0	0	8	6.0	220
 24	935	3.5	87	0	0	8	7.0	240
 25	934	3.7	89	0	0	8	7.0	230
 26	933	3.1	95	0	0	8	7.0	220
 27	933	3.2	95	0	0	8	6.0	220
 28	932	3.9	96	0	0	8	6.0	230
 29	932	6.1	89	0	0	8	12.0	260
 30	931	5.6	94	0	0	8	11.0	270
 31	932	5.7	91	0	0	8	13.0	270
 32	933	2.8	99	0	0	8	11.0	300
 33	934	2.5	100	0	10	8	7.0	280
 34	934	2.8	100	0	40	8	7.0	270
 35	935	2.8	93	0	63	8	10.0	280
 36	935	2.7	91	0	75	8	9.0	280
 37	935	2.2	78	0	74	8	12.0	280
 38	935	1.5	77	0	60	8	9.0	280
 39	936	1.3	72	9	58	8	8.0	280
 40	937	0.9	73	2	11	8	8.0	280
 41	938	0.1	88	0	0	8	10.0	280
 42	938	-0.1	83	0	0	8	9.0	280
 43	940	-0.5	84	0	0	8	7.0	280
 44	940	-0.8	87	0	0	8	7.0	280
 45	941	-0.8	87	0	0	8	5.0	280
 46	941	-0.3	85	0	0	8	8.0	270
 47	941	-0.6	93	0	0	8	9.0	280
 48	942	-0.4	89	0	0	8	8.0	280
 49	942	-0.3	87	0	0	8	7.0	280
 50	942	-0.3	90	0	0	8	9.0	280
 51	942	-1.0	99	0	0	8	11.0	280
 52	942	-1.0	100	0	0	8	11.0	280
 53	943	-1.0	100	0	0	8	8.0	270
 54	943	-0.8	100	0	0	8	8.0	270
 55	943	-0.8	93	0	0	8	10.0	270
 56	944	-0.5	89	0	0	8	9.0	270
 57	944	-0.4	91	2	17	8	9.0	280
 58	945	-0.7	96	0	41	8	6.0	280
 59	946	-0.6	97	0	64	8	7.0	280
 60	946	0.1	90	0	75	8	8.0	260
 61	945	0.5	86	0	74	8	10.0	270
 62	945	0.6	87	0	61	8	9.0	270
 63	945	0.7	85	9	59	8	10.0	260
 64	946	0.8	84	0	6	8	10.0	270
 65	946	0.5	87	0	0	8	7.0	270
 66	946	0.6	88	0	0	8	8.0	270
 67	946	0.8	85	0	0	8	8.0	280
 68	946	0.5	88	0	0	8	9.0	270
 69	946	0.9	86	0	0	8	9.0	270
 70	947	0.9	88	0	0	8	8.0	270
 71	947	1.3	88	0	0	8	9.0	260
 72	946	1.6	87	0	0	8	8.0	270
 73	946	1.4	88	0	0	8	9.0	280
 74	946	1.3	90	0	0	8	7.0	270
 75	945	1.7	89	0	0	8	10.0	270
 76	945	2.1	87	0	0	8	11.0	270
 77	944	2.3	83	0	0	8	11.0	270
 78	944	1.8	85	0	0	8	11.0	270
 79	944	2.6	75	0	0	8	10.0	270
 80	943	2.8	74	0	0	8	11.0	260
 81	944	2.7	77	2	18	8	10.0	280
 82	944	2.9	75	10	67	8	11.0	270
 83	943	3.4	76	73	138	7	12.0	270
 84	943	3.3	75	135	133	5	12.0	270
 85	943	3.8	74	133	132	5	10.0	270
 86	942	4.0	74	102	114	6	11.0	270
 87	943	4.3	73	63	67	5	8.0	270
 88	942	4.0	72	8	14	5	7.0	260
 89	942	3.0	72	0	0	5	6.0	270
 90	942	2.2	74	0	0	5	7.0	260
 91	942	3.1	68	0	0	6	8.0	270
 92	942	2.7	72	0	0	6	7.0	270
 93	942	2.5	69	0	0	6	7.0	280
 94	942	1.9	72	0	0	6	7.0	270
 95	941	1.7	72	0	0	6	8.0	280
 96	941	2.5	63	0	0	6	9.0	280
 97	941	2.7	59	0	0	6	9.0	270
 98	941	1.3	68	0	0	6	7.0	280
 99	941	2.2	63	0	0	6	6.0	260
 100	942	3.2	55	0	0	6	8.0	270
 101	942	0.7	69	0	0	6	6.0	280
 102	942	-0.3	74	0	0	6	6.0	260
 103	942	1.6	61	0	0	6	8.0	270
 104	942	0.9	68	0	0	6	9.0	280
 105	943	0.7	70	2	18	6	6.0	280
 106	943	0.8	69	52	90	6	6.0	270
 107	943	2.1	75	55	139	7	8.0	280
 108	943	2.2	80	23	122	8	7.0	280
 109	942	2.9	82	22	120	8	4.0	270
 110	942	3.0	82	17	100	8	4.0	260
 111	941	3.3	76	9	61	8	4.0	220
 112	941	3.2	74	2	11	8	3.0	200
 113	941	2.6	79	0	0	8	5.0	210
 114	941	2.8	83	0	0	8	5.0	210
 115	940	3.0	86	0	0	8	5.0	210
 116	940	3.5	89	0	0	8	5.0	230
 117	940	3.7	94	0	0	8	6.0	240
 118	939	4.4	93	0	0	8	5.0	250
 119	939	4.7	92	0	0	8	6.0	260
 120	938	5.5	89	0	0	8	7.0	240
 121	938	5.1	93	0	0	8	10.0	240
 122	937	5.5	91	0	0	8	10.0	250
 123	936	5.7	91	0	0	8	11.0	240
 124	936	6.6	86	0	0	8	15.0	260
 125	937	4.9	99	0	0	8	11.0	290
 126	938	4.3	100	0	0	8	12.0	270
 127	939	4.2	100	0	0	8	10.0	270
 128	941	3.9	100	0	0	8	11.0	270
 129	942	4.0	100	0	11	8	11.0	270
 130	943	3.8	100	0	41	8	9.0	270
 131	943	3.9	100	0	65	8	11.0	280
 132	944	3.7	100	0	77	8	10.0	280
 133	945	3.5	100	0	76	8	7.0	290
 134	945	3.4	100	0	62	8	8.0	280
 135	946	3.8	100	9	62	8	6.0	280
 136	947	3.7	100	2	12	8	6.0	280
 137	947	3.3	98	0	0	8	6.0	270
 138	948	3.5	92	0	0	8	5.0	260
 139	948	3.6	91	0	0	8	6.0	260
 140	948	3.1	90	0	0	8	8.0	260
 141	948	3.7	85	0	0	8	8.0	270
 142	948	3.3	89	0	0	8	8.0	260
 143	948	3.7	89	0	0	8	8.0	260
 144	948	2.5	93	0	0	8	5.0	260
 145	947	2.4	90	0	0	8	6.0	250
 146	947	2.0	91	0	0	8	5.0	240
 147	947	2.6	91	0	0	8	6.0	250
 148	946	2.0	93	0	0	8	5.0	230
 149	946	3.6	88	0	0	8	6.0	250
 150	946	3.1	90	0	0	8	5.0	250
 151	946	2.4	92	0	0	8	4.0	230
 152	946	2.6	94	0	0	8	4.0	240
 153	946	3.5	92	3	18	8	8.0	270
 154	946	3.4	92	11	69	8	6.0	250
 155	946	4.4	89	37	129	7	6.0	260
 156	946	5.4	85	46	151	7	5.0	240
 157	945	6.2	83	45	150	7	4.0	230
 158	945	6.1	83	35	125	7	4.0	280
 159	945	6.6	81	29	87	7	6.0	270
 160	944	6.4	82	5	18	7	9.0	280
 161	944	5.6	84	0	0	7	9.0	280
 162	945	5.0	88	0	0	7	7.0	280
 163	944	4.1	91	0	0	7	7.0	280
 164	944	3.4	94	0	0	7	5.0	270
 165	944	2.5	94	0	0	7	4.0	260
 166	943	3.1	94	0	0	6	3.0	220
 167	942	3.1	92	0	0	6	4.0	200
 168	941	5.4	68	0	0	6	7.0	230
 169	940	6.3	56	0	0	6	7.0	230
 170	940	8.1	46	0	0	6	7.0	240
 171	939	7.4	47	0	0	6	6.0	210
 172	939	6.2	53	0	0	6	5.0	230
 173	938	7.3	47	0	0	6	6.0	230
 174	937	6.3	49	0	0	6	6.0	220
 175	937	4.8	54	0	0	5	8.0	200
 176	937	5.2	51	0	0	5	6.0	220
 177	937	5.6	49	18	22	5	6.0	230
 178	937	8.4	42	75	76	5	10.0	250
 179	937	10.4	41	131	104	5	9.0	260
 180	937	10.9	36	162	115	5	8.0	280
 181	936	11.4	35	161	115	5	6.0	270
 182	936	10.8	43	126	102	5	6.0	280
 183	936	11.0	47	59	80	6	5.0	270
 184	936	9.5	44	4	18	6	9.0	270
 185	936	9.0	41	0	0	6	9.0	260
 186	937	8.5	50	0	0	6	10.0	270
 187	937	8.4	57	0	0	6	9.0	270
 188	939	7.6	64	0	0	6	11.0	270
 189	938	7.0	72	0	0	7	11.0	270
 190	938	6.5	75	0	0	7	10.0	270
 191	939	6.6	77	0	0	7	10.0	260
 192	940	3.8	100	0	0	7	6.0	280
 193	940	3.7	100	0	0	7	4.0	280
 194	940	4.0	100	0	0	7	5.0	270
 195	940	4.1	100	0	0	7	5.0	270
 196	940	4.2	100	0	0	7	4.0	260
 197	940	4.6	100	0	0	7	6.0	260
 198	940	4.9	100	0	0	8	6.0	260
 199	940	5.1	100	0	0	8	7.0	270
 200	940	5.2	92	0	0	8	9.0	260
 201	941	5.1	97	0	12	8	6.0	260
 202	942	5.0	98	0	43	8	5.0	270
 203	943	4.8	100	0	66	8	5.0	270
 204	943	4.7	100	0	79	8	3.0	280
 205	943	4.3	100	0	78	8	5.0	290
 206	942	4.4	100	18	104	8	5.0	270
 207	943	4.8	100	10	66	8	3.0	260
 208	943	5.0	100	2	15	8	3.0	230
 209	943	5.0	99	0	0	8	4.0	230
 210	943	5.0	90	0	0	8	6.0	270
 211	943	4.6	92	0	0	8	5.0	250
 212	943	4.3	95	0	0	8	5.0	200
 213	943	4.5	95	0	0	8	4.0	210
 214	943	3.9	95	0	0	8	4.0	220
 215	943	3.8	94	0	0	8	4.0	210
 216	943	4.0	94	0	0	8	5.0	230
 217	943	3.8	94	0	0	8	4.0	230
 218	942	3.7	93	0	0	8	4.0	210
 219	942	3.8	94	0	0	7	4.0	220
 220	942	4.4	92	0	0	7	5.0	210
 221	941	4.0	92	0	0	7	4.0	230
 222	941	4.8	87	0	0	7	4.0	210
 223	941	4.8	87	0	0	7	3.0	220
 224	941	4.6	87	0	0	7	4.0	210
 225	941	4.7	86	8	28	7	3.0	200
 226	942	6.7	77	33	96	7	3.0	210
 227	941	7.7	73	38	132	7	1.0	190
 228	941	7.7	74	47	154	7	2.0	180
 229	940	9.3	71	94	165	7	2.0	200
 230	940	10.5	68	111	121	6	3.0	210
 231	940	11.0	68	72	74	5	3.0	220
 232	940	10.3	70	16	19	6	3.0	200
 233	940	7.8	76	0	0	6	4.0	210
 234	940	7.2	78	0	0	6	2.0	190
 235	940	6.2	80	0	0	6	3.0	200
 236	940	6.7	71	0	0	6	3.0	220
 237	940	5.4	70	0	0	6	4.0	220
 238	941	4.6	67	0	0	6	4.0	270
 239	941	3.9	73	0	0	6	6.0	280
 240	941	3.5	74	0	0	7	6.0	280
 241	942	4.2	71	0	0	7	6.0	280
 242	942	3.2	74	0	0	7	4.0	240
 243	942	2.8	71	0	0	7	5.0	220
 244	942	3.2	67	0	0	7	5.0	210
 245	942	3.0	69	0	0	7	6.0	210
 246	942	3.6	69	0	0	7	5.0	210
 247	942	3.4	74	0	0	8	5.0	210
 248	942	3.4	76	0	0	8	3.0	200
 249	943	3.2	80	3	20	8	3.0	200
 250	943	3.3	82	11	71	8	3.0	200
 251	943	3.7	82	0	67	8	3.0	200
 252	943	4.3	81	0	80	8	1.0	170
 253	943	4.7	81	0	79	8	3.0	210
 254	942	5.6	80	19	107	8	3.0	210
 255	942	6.4	79	10	68	8	2.0	250
 256	942	6.5	79	2	17	8	3.0	230
 257	941	5.8	80	0	0	8	3.0	210
 258	941	5.3	83	0	0	8	1.0	180
 259	941	4.9	83	0	0	8	4.0	210
 260	941	4.9	80	0	0	8	3.0	220
 261	941	4.7	81	0	0	8	4.0	230
 262	941	4.2	81	0	0	8	4.0	220
 263	941	4.6	79	0	0	8	5.0	210
 264	941	4.0	80	0	0	8	3.0	200
 265	941	4.0	78	0	0	8	5.0	200
 266	941	4.1	75	0	0	8	5.0	210
 267	941	4.5	72	0	0	8	3.0	210
 268	940	4.5	74	0	0	8	4.0	230
 269	940	4.5	75	0	0	8	5.0	230
 270	940	4.8	73	0	0	8	4.0	230
 271	939	5.7	74	0	0	8	5.0	240
 272	940	5.7	82	0	0	8	4.0	260
 273	940	5.0	89	0	13	8	3.0	220
 274	940	5.0	95	0	44	8	5.0	220
 275	940	5.5	100	0	68	8	4.0	220
 276	939	6.5	100	0	81	8	5.0	230
 277	938	7.1	95	0	80	8	2.0	230
 278	938	6.7	91	19	108	8	3.0	210
 279	938	7.4	91	11	70	8	4.0	250
 280	938	6.9	90	3	18	8	2.0	230
 281	938	6.7	95	0	0	8	4.0	270
 282	938	6.5	100	0	0	8	6.0	270
 283	938	5.7	100	0	0	8	6.0	280
 284	938	5.5	100	0	0	8	6.0	270
 285	938	5.3	100	0	0	8	6.0	270
 286	938	5.0	100	0	0	8	5.0	270
