Italy_Trapani
 37,917        12,5          14            1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	1005	11.8	94	0	0	8	2.5	263
 2	1005	12.8	84	0	0	8	1.9	297
 3	1005	12.6	84	0	0	8	1.5	294
 4	1005	12.5	84	0	0	8	1.9	310
 5	1005	12.4	84	0	0	8	1.9	308
 6	1005	12.4	79	0	0	8	2.1	297
 7	1005	12.3	84	0	0	8	1.7	321
 8	1005	12.3	76	0	2	8	2.5	282
 9	1005	12.8	76	0	47	8	2.1	259
 10	1005	13.2	84	0	94	8	4.0	343
 11	1005	13.7	84	0	140	8	3.2	95
 12	1005	14.1	69	0	156	8	3.0	316
 13	1005	14.3	68	0	154	8	3.5	280
 14	1005	14.3	68	0	118	8	4.0	148
 15	1005	14.3	69	0	93	8	3.2	145
 16	1006	14.0	84	0	55	8	4.7	311
 17	1006	13.6	84	0	4	8	3.5	81
 18	1006	13.2	87	0	0	8	4.0	290
 19	1006	12.6	87	0	0	8	3.0	142
 20	1006	12.7	87	0	0	8	3.2	281
 21	1006	12.2	88	0	0	8	3.2	294
 22	1007	12.1	88	0	0	8	2.3	255
 23	1007	11.9	84	0	0	8	1.7	310
 24	1007	11.7	88	0	0	8	1.6	261
 25	1007	11.4	88	0	0	8	1.7	292
 26	1007	10.9	84	0	0	8	3.0	265
 27	1007	10.8	88	0	0	8	4.5	280
 28	1008	10.7	88	0	0	8	4.0	65
 29	1008	10.6	88	0	0	8	5.0	142
 30	1008	10.5	89	0	0	8	4.0	80
 31	1008	10.4	88	0	0	8	4.5	187
 32	1008	10.6	88	0	10	8	2.6	74
 33	1008	11.1	84	0	59	8	3.0	309
 34	1009	11.8	84	24	127	8	2.7	271
 35	1009	12.9	84	181	159	4	3.0	237
 36	1009	14.3	69	380	158	1	2.3	301
 37	1009	15.0	66	266	195	4	3.2	311
 38	1009	14.4	68	0	101	8	3.7	286
 39	1010	13.7	73	0	29	8	2.7	195
 40	1010	13.1	76	0	17	8	3.5	247
 41	1010	12.6	78	0	5	8	2.7	291
 42	1010	12.4	83	0	0	7	3.0	276
 43	1011	12.1	78	0	0	7	2.1	287
 44	1011	11.9	81	0	0	6	1.6	303
