#1
#Japan_Tokyo
#35,683        139,767       5             9
#
# hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
double tab1(8760,9)
 1	1011	9.1	35	0	0	7	2.0	263
 2	1011	8.7	36	0	0	7	1.6	297
 3	1011	8.4	35	0	0	7	1.2	294
 4	1011	8.1	35	0	0	7	1.6	310
 5	1011	7.9	35	0	0	7	1.6	308
 6	1011	7.7	36	0	0	7	1.8	297
 7	1011	7.7	35	0	0	7	1.4	321
 8	1011	8.4	33	5	40	7	2.2	282
 9	1011	9.8	31	28	123	7	1.8	304
 10	1011	11.2	28	60	190	7	3.7	343
 11	1011	12.3	24	42	232	8	2.9	95
 12	1011	13.2	23	56	263	8	2.7	316
 13	1011	13.7	23	51	249	8	3.2	280
 14	1011	14.1	22	72	217	7	3.7	193
 15	1011	14.0	23	38	153	7	2.9	100
 16	1011	13.2	25	14	70	7	4.1	311
 17	1011	12.2	28	0	1	7	3.2	36
 18	1011	11.6	30	0	0	7	3.5	245
 19	1011	11.1	31	0	0	8	2.7	142
 20	1011	10.6	32	0	0	8	2.7	281
 21	1011	10.0	34	0	0	8	2.9	294
 22	1010	9.5	33	0	0	8	2.0	255
 23	1010	9.0	31	0	0	8	1.4	310
 24	1010	8.4	34	0	0	8	1.2	261
 25	1010	8.1	47	0	0	8	1.4	292
 26	1010	7.9	66	0	0	8	2.7	265
 27	1010	7.7	78	0	0	8	3.9	280
 28	1010	7.6	78	0	0	8	3.5	20
 29	1010	7.4	78	0	0	8	4.4	142
 30	1010	7.4	78	0	0	8	3.5	35
 31	1010	7.4	78	0	0	8	3.9	187
 32	1010	7.7	78	0	30	8	2.2	74
 33	1010	8.6	54	4	106	8	2.6	309
 34	1010	9.5	37	13	177	8	2.2	271
 35	1010	10.4	33	26	223	8	2.6	282
 36	1010	11.1	33	32	248	8	2.0	301
 37	1010	11.6	32	30	239	8	2.9	311
 38	1010	11.7	32	14	200	8	3.2	286
 39	1010	11.7	34	21	145	8	2.2	240
 40	1010	11.3	37	7	69	8	2.9	292
 41	1010	10.7	39	0	2	8	2.4	291
 42	1010	10.4	43	0	0	8	2.6	276
 43	1010	10.1	40	0	0	8	1.7	287
 44	1010	9.9	42	0	0	8	1.2	303
 45	1010	9.6	48	0	0	8	1.0	288
 46	1010	9.4	53	0	0	8	0.7	290
 47	1010	9.1	51	0	0	8	0.5	267
 48	1010	8.9	55	0	0	8	0.2	323
