#1							
#Basel							
# 48.34         7.45          283.7            1							
#							
# hy	Ta	G_Bh	G_Dh	RH	N	FF	DD
double tab1(1776,8)							
1	-1.75	0	0	69	100	1.44	270
2	-1.75	0	0	84	100	3.55	23.96
3	-1.75	0	0	88	100	13.55	253.01
4	-1.75	0	0	85	100	15.68	279.25
5	-1.75	0	0	92	100	11.63	291.8
6	-1.75	0	0	93	100	11.97	313.78
7	-1.75	0	0	92	100	8.15	315
8	-1.75	0	0	91	100	6.62	292.38
9	-1.75	0	0	82	100	13.04	276.34
10	-1.75	0	0	75	100	13.8	277.5
11	-1.75	0	0	68	100	14.04	270
12	-1.75	0	0	67	100	14.78	272.79
13	-1.75	0	0	64	100	14.76	270
14	-1.75	0	0	68	100	8.65	225
15	-1.75	0	0	63	100	9.47	261.25
16	-1.75	0	0	62	100	15.91	275.19
17	-1.75	0	0	67	100	16.24	282.8
18	-1.75	0	0	70	100	14.26	280.18
19	-1.75	0	0	74	100	9.75	274.24
20	-1.75	0	0	79	100	7.2	270
21	-1.75	0	0	80	100	7.41	240.95
22	-1.75	0	0	80	100	9.18	221.82
23	-1.75	0	0	76	100	8.94	220.1
24	-1.75	0	0	74	100	9.18	228.18
25	-1.75	0	0	76	100	9.36	247.38
26	-1.75	0	0	81	100	10.69	237.38
27	-1.75	0	0	83	100	9.59	235.71
28	-1.75	0	0	85	100	6.37	227.29
29	-1.75	0	0	85	100	5.62	219.81
30	-1.75	0	0	81	100	5.12	219.29
31	-1.75	0	0	83	100	2.9	172.87
32	-1.75	0	0	87	100	5.6	135
33	-1.75	0	0	87	100	6.37	132.71
34	-1.75	0	0	79	100	5.8	172.87
35	-1.75	0	0	65	100	18.08	257.35
36	-1.75	0	0	62	100	19.13	265.68
37	-1.75	0	0	57	100	18.53	245.92
38	-1.75	0	0	61	100	24.37	257.2
39	-1.75	0	0	60	100	24.19	255.34
40	-1.75	0	0	60	100	24.5	259.85
41	-1.75	0	0	60	100	19.65	261.57
42	-1.75	0	0	63	100	12.92	257.13
43	-1.75	0	0	67	100	6.7	216.25
44	-1.75	0	0	79	100	9.23	159.44
45	-1.75	0	0	84	100	8.7	155.56
46	-1.75	0	0	81	100	9.16	135
47	-1.75	0	0	82	100	11.12	119.05
48	-1.75	0	0	85	100	9.89	146.89
49	-1.75	0	0	86	100	19.26	110.81
50	-1.75	0	0	78	100	18.84	135
51	-1.75	0	0	69	100	17.82	135
52	-1.75	0	0	71	100	18.08	134.19
53	-1.75	0	0	82	100	14.57	129.99
54	-1.75	0	0	83	100	16.2	126.87
55	-1.75	0	0	89	100	13.89	121.22
56	-1.75	0	0	92	100	10.93	107.24
57	-1.75	0	0	90	100	6.15	110.56
58	-1.75	0	0	91	100	4.38	99.46
59	-1.75	0	0	88	100	3.6	90
60	-1.75	0	0	84	100	3.88	338.2
61	-1.75	0	0	79	100	9.9	250.91
62	-1.75	0	0	75	100	14.08	122.47
63	-1.75	0	0	63	100	11.53	165.53
64	-1.75	0	0	66	100	12.25	181.68
65	-1.75	0	0	69	100	3.32	192.53
66	-1.75	0	0	78	100	7.09	336.04
67	-1.75	0	0	81	100	6.84	360
68	-1.75	0	0	87	100	6.12	28.07
69	-1.75	0	0	92	100	6.15	20.56
70	-1.75	0	0	77	100	8.4	260.13
71	-1.75	0	0	75	100	14.51	240.26
72	-1.75	0	0	76	100	12.78	237.65
73	-1.75	0	0	78	100	13.22	240.64
74	-1.75	0	0	80	100	16.97	252.72
75	-1.75	0	0	83	100	20.97	254.05
76	-1.75	0	0	84	100	23.83	265.67
77	-1.75	0	0	86	100	19.96	262.75
78	-1.75	0	0	85	100	21.19	260.22
79	-1.75	0	0	85	100	23.02	260.1
80	-1.75	0	0	86	100	23.86	264.81
81	-1.75	0	0	84	100	23.44	259.38
82	-1.75	0	0	83	100	25.92	260.41
83	-1.75	0	0	81	100	26.8	263.83
84	-1.75	0	0	75	100	28.16	265.6
85	-1.75	0	0	73	100	25.57	268.39
86	-1.75	0	0	68	100	23.8	266.53
87	-1.75	0	0	67	100	23.5	264.73
88	-1.75	0	0	65	100	18.81	264.51
89	-1.75	0	0	66	100	18.78	265.6
90	-1.75	0	0	70	100	13.28	257.47
91	-1.75	0	0	67	100	10.16	247.07
92	-1.75	0	0	69	100	13.1	249.08
93	-1.75	0	0	70	100	13.04	242.02
94	-1.75	0	0	66	100	16.18	237.72
95	-1.75	0	0	72	100	14.33	244.72
96	-1.75	0	0	71	100	13.89	238.78
97	-1.75	0	0	76	100	13.04	242.02
98	-1.75	0	0	79	100	10.5	239.04
99	-1.75	0	0	83	100	10.5	247.83
100	-1.75	0	0	83	100	10.7	250.35
101	-1.75	0	0	84	100	9	253.74
102	-1.75	0	0	86	100	8.43	250.02
103	-1.75	0	0	81	100	9.83	246.25
104	-1.75	0	0	79	100	9.29	234.46
105	-1.75	0	0	77	100	9.69	228.01
106	-1.75	0	0	77	100	10.18	261.87
107	-1.75	0	0	81	100	10.31	282.09
108	-1.75	0	0	84	100	6.21	280.01
109	-1.75	0	0	81	100	2.1	329.04
110	-1.75	0	0	61	100	4.33	355.24
111	-1.75	0	0	59	100	4.68	360
112	-1.75	0	0	58	100	6.49	356.82
113	-1.75	0	0	59	100	10.18	351.87
114	-1.75	0	0	60	100	12.24	360
115	-1.75	0	0	65	100	12.98	356.82
116	-1.75	0	0	72	100	11.54	356.42
117	-1.75	0	0	77	100	10.54	352.15
118	-1.75	0	0	80	100	7.52	343.3
119	-1.75	0	0	84	100	5.48	336.8
120	-1.75	0	0	82	100	3.55	336.04
121	-1.75	0	0	82	100	2.19	350.54
122	-1.75	0	0	82	100	1.3	33.69
123	-1.75	0	0	84	100	1.3	123.69
124	-1.75	0	0	84	100	0.51	315
125	-1.75	0	0	85	100	1.84	258.69
126	-1.75	0	0	85	100	2.31	308.66
127	-1.75	0	0	86	100	2.28	341.57
128	-1.75	0	0	88	100	2.62	344.05
129	-1.75	0	0	86	100	1.44	360
130	-1.75	0	0	77	100	3.55	66.04
131	-1.75	0	0	66	100	6.83	71.57
132	-1.75	0	0	62	100	6.95	21.25
133	-1.75	0	0	63	100	11.09	346.87
134	-1.75	0	0	63	100	9.18	334.44
135	-1.75	0	0	59	100	10.46	333.43
136	-1.75	0	0	58	100	11.17	339.23
137	-1.75	0	0	58	100	8.85	333.43
138	-1.75	0	0	63	100	6.92	321.34
139	-1.75	0	0	66	100	6.13	319.76
140	-1.75	0	0	68	100	3.22	296.57
141	-1.75	0	0	69	100	3.22	243.43
142	-1.75	0	0	71	100	3.83	221.19
143	-1.75	0	0	75	100	2.6	236.31
144	-1.75	0	0	77	100	2.6	236.31
145	-1.75	0	0	78	100	3.88	248.2
146	-1.75	0	0	79	100	3.83	228.81
147	-1.75	0	0	76	100	6.88	186.01
148	-1.75	0	0	81	100	7.24	174.29
149	-1.75	0	0	82	100	5.35	160.35
150	-1.75	0	0	82	100	4.33	138.37
151	-1.75	0	0	82	100	5.59	165.07
152	-1.75	0	0	81	100	8.21	195.26
153	-1.75	0	0	80	100	8.67	184.76
154	-1.75	0	0	75	100	4.55	161.57
155	-1.75	0	0	69	100	5.59	255.07
156	-1.75	0	0	57	100	11.17	271.85
157	-1.75	0	0	52	100	15.88	273.9
158	-1.75	0	0	51	100	17.28	270
159	-1.75	0	0	55	100	19.6	277.39
160	-1.75	0	0	56	100	17.28	268.81
161	-1.75	0	0	61	100	15.84	270
162	-1.75	0	0	67	100	13.49	279.21
163	-1.75	0	0	74	100	12.96	271.59
164	-1.75	0	0	78	100	13.76	276.01
165	-1.75	0	0	83	100	12.98	289.44
166	-1.75	0	0	87	100	10.64	293.96
167	-1.75	0	0	88	100	8.05	280.3
168	-1.75	0	0	89	100	6.12	270
169	-1.75	0	0	88	100	5.01	248.96
170	-1.75	0	0	87	100	5.09	261.87
171	-1.75	0	0	88	100	3.55	293.96
172	-1.75	0	0	90	100	2.9	352.88
173	-1.75	0	0	94	100	3.6	53.13
174	-1.75	0	0	95	100	4.33	94.76
175	-1.75	0	0	95	100	4.45	104.04
176	-1.75	0	0	95	100	1.8	90
177	-1.75	0	0	94	100	0.51	315
178	-1.75	0	0	91	100	2.04	315
179	-1.75	0	0	84	100	3.6	323.13
180	-1.75	0	0	76	100	7.75	338.2
181	-1.75	0	0	64	100	9.79	342.9
182	-1.75	0	0	49	100	11.92	28.89
183	-1.75	0	0	46	100	10.97	41.01
184	-1.75	0	0	44	100	10.19	57.99
185	-1.75	0	0	46	100	9.93	46.47
186	-1.75	0	0	51	100	9.02	28.61
187	-1.75	0	0	64	100	8.31	17.65
188	-1.75	0	0	76	100	5.62	50.19
189	-1.75	0	0	79	100	6.29	76.76
190	-1.75	0	0	83	100	4.74	98.75
191	-1.75	0	0	86	100	4.8	77.01
192	-1.75	0	0	87	100	4.69	85.6
193	-1.75	0	0	87	100	5.41	93.81
194	-1.75	0	0	86	100	4.21	109.98
195	-1.75	0	0	85	100	2.74	113.2
196	-1.75	0	0	88	100	1.14	71.57
197	-1.75	0	0	93	100	0.72	360
198	-1.75	0	0	92	100	1.84	258.69
199	-1.75	0	0	92	100	2.19	260.54
200	-1.75	0	0	92	100	1.14	251.57
201	-1.75	0	0	91	100	0	180
202	-1.75	0	0	89	100	1.94	338.2
203	-1.75	0	0	85	100	3.4	327.99
204	-1.75	0	0	78	100	4.8	347.01
205	-1.75	0	0	73	100	7.52	343.3
206	-1.75	0	0	66	100	5.77	3.58
207	-1.75	0	0	63	100	5.41	356.19
208	-1.75	0	0	61	100	3.96	360
209	-1.75	0	0	60	100	1.84	348.69
210	-1.75	0	0	63	100	2.81	320.19
211	-1.75	0	0	67	100	2.55	315
212	-1.75	0	0	70	100	0.51	225
213	-1.75	0	0	71	100	2.55	171.87
214	-1.75	0	0	70	100	5.35	132.27
215	-1.75	0	0	68	100	10.19	122.01
216	-1.75	0	0	72	100	12.98	123.69
217	-1.75	0	0	74	100	9.09	123.69
218	-1.75	0	0	81	100	6.15	110.56
219	-1.75	0	0	80	100	9.34	117.55
220	-1.75	0	0	82	100	8.09	110.85
221	-1.75	0	0	85	100	6.57	99.46
222	-1.75	0	0	84	100	4.83	116.57
223	-1.75	0	0	82	100	5.63	116.57
224	-1.75	0	0	77	100	5.94	104.04
225	-1.75	0	0	76	100	6.52	96.34
