Alert
 82,5         -62,333        62           -3 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	1006	-17.9	39	0	0	4	0.6	173
 2	1006	-18.5	39	0	0	4	0.3	162
 3	1006	-19.1	46	0	0	4	0.2	159
 4	1006	-19.6	59	0	0	4	0.5	220
 5	1006	-20.0	63	0	0	4	0.5	173
 6	1006	-20.3	67	0	0	4	0.8	162
 7	1006	-20.6	50	0	0	4	0.5	186
 8	1006	-21.0	58	0	0	4	1.4	147
 9	1006	-21.2	56	0	0	4	0.9	169
 10	1006	-21.5	55	0	0	4	3.3	208
 11	1006	-21.8	62	0	0	4	2.2	140
 12	1006	-22.0	56	0	0	4	1.8	181
 13	1006	-22.3	67	0	0	4	2.3	145
 14	1006	-22.5	61	0	0	4	2.8	103
 15	1006	-22.8	63	0	0	4	1.8	145
 16	1006	-23.0	61	0	0	4	3.6	176
 17	1006	-23.3	82	0	0	4	1.8	126
 18	1006	-23.5	75	0	0	4	2.2	155
 19	1006	-23.8	74	0	0	4	1.4	142
 20	1006	-24.0	67	0	0	4	1.4	146
 21	1006	-24.3	66	0	0	4	1.5	159
 22	1006	-24.5	64	0	0	4	0.6	120
 23	1006	-24.8	60	0	0	4	0.3	175
 24	1006	-25.0	54	0	0	4	0.2	126
 25	1006	-25.1	39	0	0	4	0.4	202
 26	1006	-25.3	40	0	0	4	2.0	130
 27	1006	-25.4	47	0	0	4	3.6	145
 28	1006	-25.6	64	0	0	4	2.5	110
 29	1006	-25.6	79	0	0	4	3.6	142
 30	1006	-25.7	85	0	0	4	2.2	125
 31	1006	-25.8	84	0	0	4	2.8	142
 32	1006	-25.9	100	0	0	4	0.8	119
 33	1006	-26.0	100	0	0	4	1.2	174
 34	1006	-26.1	92	0	0	4	1.0	136
 35	1006	-26.1	100	0	0	4	1.4	147
 36	1006	-26.2	100	0	0	4	0.7	166
 37	1006	-26.3	100	0	0	4	1.8	176
 38	1006	-26.2	100	0	0	4	2.2	151
 39	1006	-26.1	100	0	0	4	1.0	150
 40	1006	-26.0	100	0	0	4	1.8	157
