BadMarienburg DWD normal
 50,667        7,967         547           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	939	-2.1	96	0	0	8	7.1	140
 2	941	-2.8	93	0	0	8	8.6	140
 3	943	-3.3	86	0	0	8	9.7	140
 4	942	-3.2	83	0	0	8	9.8	130
 5	942	-3.2	83	0	0	8	9.4	140
 6	941	-3.2	83	0	0	8	10.0	130
 7	941	-3.2	82	0	0	8	8.0	130
 8	940	-3.1	81	0	0	8	9.0	140
 9	939	-3.0	81	0	2	8	10.0	140
 10	939	-3.0	83	0	28	8	10.0	140
 11	938	-2.7	82	0	51	8	10.0	140
 12	939	-2.2	84	0	63	8	9.0	150
 13	938	-1.8	80	0	63	8	8.0	150
 14	938	-2.0	82	0	52	8	8.0	140
 15	937	-1.5	91	0	30	8	7.0	140
 16	937	-1.1	94	0	3	8	6.0	150
 17	937	-0.9	97	0	0	8	5.0	140
 18	937	-0.3	100	0	0	8	4.0	150
 19	937	-0.2	92	0	0	8	4.0	160
 20	937	0.1	92	0	0	8	4.0	170
 21	937	0.0	93	0	0	8	5.0	170
 22	936	-0.1	96	0	0	8	3.0	150
 23	936	0.5	100	0	0	8	4.0	150
 24	936	0.7	100	0	0	8	5.0	160
 25	936	0.3	98	0	0	8	5.0	150
 26	935	0.0	98	0	0	8	5.0	140
 27	935	0.5	100	0	0	8	4.0	150
 28	935	1.1	98	0	0	8	3.0	150
 29	935	1.4	98	0	0	8	6.0	170
 30	934	1.5	100	0	0	8	3.0	170
 31	934	1.5	100	0	0	8	4.0	150
 32	934	2.0	98	0	0	8	6.0	140
 33	934	2.7	100	0	3	8	2.0	140
 34	935	2.8	98	0	28	8	3.0	180
 35	934	2.9	98	0	51	8	3.0	160
 36	935	3.0	98	0	64	8	2.0	170
 37	935	3.4	98	0	64	8	6.0	140
 38	934	4.1	98	0	52	8	5.0	150
 39	934	4.6	100	14	62	8	5.0	170
 40	934	5.2	98	3	9	8	6.0	180
 41	934	5.1	97	0	0	8	6.0	180
 42	934	4.8	96	0	0	8	7.0	160
 43	934	4.1	97	0	0	8	5.0	160
 44	934	4.8	98	0	0	8	6.0	160
 45	934	4.6	97	0	0	8	6.0	150
 46	934	4.6	97	0	0	8	4.0	170
 47	934	4.3	95	0	0	8	6.0	160
 48	935	4.3	95	0	0	8	3.0	170
 49	935	4.7	95	0	0	8	3.0	180
 50	935	4.6	95	0	0	8	4.0	170
 51	936	4.8	95	0	0	8	5.0	200
 52	936	4.6	92	0	0	8	5.0	210
 53	936	4.7	91	0	0	8	5.0	190
 54	936	4.0	96	0	0	8	5.0	170
 55	936	4.0	93	0	0	8	7.0	200
 56	937	3.7	96	0	0	8	7.0	210
 57	938	3.6	97	0	3	8	4.0	230
 58	940	3.4	97	0	29	8	4.0	220
 59	941	3.5	100	0	51	8	4.0	220
 60	941	3.1	97	18	103	8	5.0	270
 61	941	3.4	97	54	139	7	4.0	230
 62	942	3.8	88	14	86	8	4.0	250
 63	942	3.1	92	0	31	8	4.0	260
 64	943	3.4	94	0	4	8	4.0	220
 65	944	2.6	95	0	0	8	3.0	220
 66	944	2.1	96	0	0	8	2.0	200
 67	944	1.9	96	0	0	8	3.0	200
 68	944	1.4	96	0	0	8	3.0	150
 69	944	1.0	97	0	0	8	3.0	160
 70	944	0.6	100	0	0	8	3.0	140
 71	943	0.2	97	0	0	8	2.0	170
 72	943	0.1	97	0	0	8	4.0	140
 73	942	0.3	97	0	0	8	4.0	130
 74	941	0.8	100	0	0	8	6.0	140
 75	940	1.1	94	0	0	8	8.0	140
 76	939	1.2	94	0	0	8	10.0	140
 77	938	1.1	94	0	0	8	9.0	140
 78	938	1.3	93	0	0	8	9.0	140
 79	937	1.3	92	0	0	8	8.0	140
 80	937	1.6	90	0	0	8	9.0	140
 81	936	1.7	90	0	3	8	9.0	140
 82	936	1.9	89	0	29	8	8.0	140
 83	936	2.3	90	0	52	8	9.0	150
 84	935	2.5	92	0	64	8	8.0	150
 85	935	2.3	94	0	65	8	8.0	150
 86	934	2.0	97	0	53	8	8.0	140
