Bremerhaven DWD normal
 53,533        8,583         7             1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	1027	-0.2	90	0	0	8	3.9	280
 2	1028	-0.1	90	0	0	8	4.5	270
 3	1029	0.1	95	0	0	8	5.2	270
 4	1029	-0.1	95	0	0	8	5.4	260
 5	1029	-0.1	93	0	0	8	5.8	260
 6	1029	-0.1	96	0	0	8	6.0	250
 7	1030	0.1	94	0	0	8	7.0	250
 8	1029	0.4	96	0	0	8	8.0	250
 9	1030	0.8	95	0	0	8	7.0	250
 10	1030	1.3	93	7	36	8	8.0	250
 11	1030	1.4	92	17	76	8	7.0	270
 12	1030	2.0	90	12	78	8	8.0	250
 13	1030	2.6	87	24	97	7	10.0	250
 14	1029	2.5	90	8	60	8	10.0	260
 15	1029	2.4	90	3	28	8	9.0	260
 16	1028	2.4	90	0	0	8	10.0	260
 17	1028	2.4	90	0	0	8	10.0	260
 18	1028	2.5	90	0	0	8	9.0	250
 19	1028	2.4	92	0	0	8	9.0	250
 20	1027	2.6	92	0	0	8	10.0	260
 21	1027	2.5	93	0	0	8	10.0	270
 22	1027	2.6	91	0	0	8	10.0	260
 23	1027	3.2	89	0	0	8	9.0	270
 24	1027	3.4	85	0	0	8	9.0	270
 25	1027	3.7	84	0	0	8	10.0	270
 26	1027	3.7	82	0	0	8	10.0	280
 27	1027	3.8	85	0	0	8	9.0	270
 28	1027	4.0	87	0	0	8	9.0	280
 29	1027	4.1	89	0	0	8	9.0	280
 30	1027	4.5	90	0	0	8	9.0	290
 31	1027	4.6	90	0	0	8	9.0	290
 32	1027	4.5	91	0	0	8	10.0	300
 33	1028	4.4	93	0	0	8	8.0	300
 34	1029	3.7	94	0	17	8	3.0	330
 35	1030	4.4	91	9	61	8	2.0	350
 36	1031	4.2	89	12	79	8	3.0	60
 37	1031	3.7	71	48	110	7	3.0	80
 38	1032	3.8	67	52	79	6	2.0	60
 39	1032	3.5	66	25	35	6	3.0	60
 40	1033	2.3	68	0	0	6	3.0	60
 41	1034	0.9	76	0	0	5	3.0	70
 42	1034	-0.2	78	0	0	5	3.0	70
 43	1035	-0.8	80	0	0	5	4.0	70
 44	1036	-1.2	79	0	0	5	4.0	80
 45	1036	-1.7	83	0	0	5	3.0	80
 46	1036	-2.2	85	0	0	5	4.0	90
 47	1037	-2.5	86	0	0	5	3.0	100
 48	1037	-2.8	85	0	0	5	3.0	100
 49	1037	-3.2	85	0	0	5	3.0	110
 50	1038	-3.4	85	0	0	5	3.0	100
 51	1038	-3.7	84	0	0	5	2.0	110
 52	1038	-4.0	85	0	0	5	3.0	110
 53	1038	-4.2	85	0	0	4	3.0	110
 54	1038	-4.2	84	0	0	4	5.0	110
 55	1038	-4.2	84	0	0	4	4.0	110
 56	1038	-4.2	85	0	0	4	4.0	120
 57	1038	-4.2	85	1	0	4	4.0	130
 58	1039	-3.7	83	29	33	4	3.0	130
 59	1039	-2.6	80	70	63	4	3.0	110
 60	1038	-1.6	72	96	76	4	4.0	130
 61	1038	-1.4	67	84	88	5	5.0	130
 62	1038	-1.0	62	44	85	6	5.0	140
 63	1038	-1.0	61	18	42	6	5.0	140
 64	1038	-1.3	67	0	0	6	4.0	140
 65	1039	-1.7	70	0	0	6	3.0	120
 66	1038	-2.1	72	0	0	6	4.0	130
 67	1038	-2.3	71	0	0	6	5.0	130
