Essen DWD normal
 51,4          6,967         161           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	986	2.1	96	0	0	8	2.5	70
 2	984	1.0	96	0	0	8	2.4	60
 3	983	0.1	96	0	0	8	2.6	40
 4	983	0.0	96	0	0	8	2.7	60
 5	983	0.0	97	0	0	8	2.8	70
 6	983	0.2	97	0	0	8	2.0	60
 7	983	0.1	97	0	0	8	3.0	80
 8	983	0.1	97	0	0	8	3.0	70
 9	984	0.0	96	0	1	8	3.0	60
 10	984	0.2	96	0	23	8	2.0	60
 11	984	0.4	96	11	74	8	3.0	70
 12	984	0.9	96	15	94	8	2.0	70
 13	984	1.4	95	16	96	8	3.0	50
 14	984	1.9	93	12	79	8	3.0	40
 15	984	1.4	93	0	27	8	3.0	60
 16	984	1.2	94	1	5	8	4.0	60
 17	984	1.0	94	0	0	8	3.0	80
 18	984	0.8	95	0	0	8	2.0	70
 19	985	0.8	95	0	0	8	3.0	60
 20	985	0.7	95	0	0	8	2.0	50
 21	985	0.5	94	0	0	8	4.0	70
 22	985	0.4	94	0	0	8	4.0	70
 23	985	0.4	94	0	0	8	2.0	60
 24	985	0.4	94	0	0	8	2.0	40
 25	985	0.4	94	0	0	8	3.0	50
 26	986	0.2	94	0	0	8	3.0	60
 27	986	0.1	94	0	0	8	2.0	50
 28	987	0.0	93	0	0	8	3.0	60
 29	987	-0.3	93	0	0	8	2.0	60
 30	987	-0.4	93	0	0	8	3.0	60
 31	987	-0.4	94	0	0	8	3.0	60
 32	988	-0.6	93	0	0	8	3.0	60
 33	989	-0.7	92	0	1	8	3.0	60
 34	990	-0.7	90	5	38	8	3.0	50
 35	991	-0.7	89	11	75	8	4.0	60
 36	991	-0.5	87	16	95	8	3.0	50
 37	992	-0.4	86	32	120	7	2.0	50
 38	992	0.1	84	12	80	8	2.0	60
 39	993	0.1	84	0	28	8	3.0	50
 40	994	0.2	84	0	3	8	3.0	50
 41	995	-0.2	85	0	0	8	3.0	40
 42	996	-0.7	88	0	0	8	4.0	60
 43	997	-0.6	90	0	0	8	3.0	50
 44	997	-0.8	86	0	0	8	3.0	50
 45	998	-0.8	88	0	0	8	2.0	80
 46	999	-0.7	88	0	0	8	2.0	30
 47	999	-0.9	85	0	0	8	3.0	40
 48	1000	-1.2	86	0	0	8	2.0	60
 49	1000	-1.4	87	0	0	8	2.0	40
 50	1001	-1.7	87	0	0	8	3.0	50
 51	1001	-1.6	87	0	0	8	2.0	50
 52	1001	-1.6	87	0	0	8	2.0	50
 53	1002	-1.4	87	0	0	8	2.0	50
 54	1002	-1.4	86	0	0	8	3.0	50
 55	1003	-1.5	86	0	0	8	2.0	50
 56	1003	-1.7	87	0	0	8	3.0	60
 57	1003	-1.7	88	0	1	8	3.0	70
 58	1004	-1.5	89	5	39	8	3.0	50
 59	1004	-1.2	88	11	75	8	2.0	70
 60	1005	-0.8	85	16	96	8	3.0	60
 61	1005	-0.4	82	16	98	8	2.0	80
 62	1005	0.1	77	0	49	8	3.0	60
 63	1004	-0.1	77	0	29	8	2.0	50
 64	1004	-0.2	79	1	6	8	2.0	60
 65	1004	-0.4	81	0	0	8	2.0	70
 66	1005	-0.4	80	0	0	8	3.0	80
 67	1005	-0.5	82	0	0	8	1.0	70
 68	1005	-0.4	83	0	0	8	2.0	70
 69	1005	-0.3	84	0	0	8	2.0	110
 70	1005	-0.4	86	0	0	8	2.0	110
 71	1005	-0.2	87	0	0	8	2.0	130
 72	1005	-0.1	85	0	0	8	3.0	130
 73	1004	-0.3	83	0	0	8	4.0	140
 74	1004	-0.1	83	0	0	8	4.0	140
 75	1003	-0.5	83	0	0	8	3.0	150
 76	1003	0.1	80	0	0	8	3.0	160
 77	1003	-0.2	81	0	0	8	3.0	160
 78	1002	-0.6	83	0	0	8	3.0	130
 79	1001	-1.5	85	0	0	7	2.0	140
 80	1001	-1.2	84	0	0	7	3.0	170
 81	1001	-1.4	86	1	1	7	1.0	170
 82	1000	-1.3	88	10	49	7	1.0	80
 83	1000	0.5	83	23	94	7	5.0	140
 84	1000	1.1	73	63	132	6	6.0	160
 85	999	1.6	66	81	128	6	5.0	160
 86	999	1.5	64	64	110	6	3.0	150
 87	997	1.8	59	33	68	6	4.0	120
 88	997	0.9	61	4	10	6	3.0	120
 89	996	0.2	64	0	0	6	2.0	110
 90	996	-0.4	70	0	0	6	2.0	120
 91	995	-0.9	71	0	0	6	4.0	120
 92	994	-1.1	69	0	0	6	1.0	80
 93	994	-1.9	71	0	0	7	0.0	100
 94	994	-1.7	69	0	0	7	1.0	60
 95	993	-1.2	64	0	0	7	1.0	100
 96	992	-0.9	62	0	0	7	2.0	130
 97	992	-1.2	64	0	0	7	3.0	150
 98	991	-0.8	60	0	0	7	2.0	140
 99	990	-1.5	60	0	0	7	3.0	120
 100	990	-0.6	55	0	0	7	3.0	140
 101	990	-0.7	51	0	0	7	2.3	70
 102	989	0.2	44	0	0	7	1.0	360
 103	988	-0.2	45	0	0	7	1.0	40
 104	988	-0.7	49	0	0	7	1.0	50
 105	988	-1.3	53	0	1	7	1.0	30
 106	988	0.1	46	10	50	7	0.0	130
 107	987	0.3	44	23	95	7	1.0	30
 108	987	2.2	38	32	120	7	2.0	90
 109	986	3.2	36	33	123	7	2.0	110
 110	985	3.7	35	39	113	7	2.0	100
 111	985	1.9	43	7	50	8	3.0	80
 112	985	1.2	51	1	8	8	1.0	40
 113	985	0.0	58	0	0	8	3.0	90
 114	985	-0.3	60	0	0	7	3.0	90
 115	984	-0.8	54	0	0	7	0.0	120
 116	984	-0.7	49	0	0	7	1.0	80
 117	984	-0.9	49	0	0	7	4.0	80
 118	984	-2.5	63	0	0	7	1.0	30
 119	985	-3.1	64	0	0	7	1.3	60
 120	984	-3.9	66	0	0	7	1.0	80
 121	984	-3.3	64	0	0	6	2.0	50
 122	984	-4.4	71	0	0	6	2.0	60
 123	984	-5.6	76	0	0	6	4.0	60
 124	983	-4.6	72	0	0	6	6.0	90
 125	983	-3.8	66	0	0	6	5.0	80
 126	983	-4.9	71	0	0	6	2.0	60
 127	983	-6.1	77	0	0	6	2.0	50
 128	983	-6.3	78	0	0	5	2.0	50
 129	983	-6.8	80	1	1	5	2.0	60
 130	983	-6.2	79	31	53	5	3.0	70
 131	982	-3.9	68	70	96	5	3.0	80
 132	982	-3.9	67	64	134	6	3.0	80
 133	981	-2.1	63	50	135	7	3.0	100
 134	981	-1.6	61	13	84	8	4.0	120
 135	981	-1.3	58	7	51	8	3.0	150
 136	980	-1.7	59	0	5	8	3.0	120
 137	980	-1.9	68	0	0	8	2.0	160
 138	980	-2.1	75	0	0	8	3.0	140
 139	979	-1.8	78	0	0	8	3.0	140
 140	979	-1.6	80	0	0	8	3.0	170
 141	978	-1.5	82	0	0	8	3.0	140
 142	977	-0.8	84	0	0	8	1.0	130
 143	977	-0.4	81	0	0	8	1.0	160
 144	977	0.0	84	0	0	8	2.0	120
 145	976	0.7	83	0	0	8	6.0	130
 146	975	0.8	85	0	0	8	3.0	190
 147	974	1.0	83	0	0	8	6.0	130
 148	974	2.7	77	0	0	8	8.0	160
 149	974	2.3	81	0	0	8	7.0	150
 150	974	2.3	90	0	0	8	9.0	150
 151	974	2.8	90	0	0	8	9.0	150
 152	974	3.1	90	0	0	8	9.0	160
 153	974	3.6	87	0	1	8	9.0	150
 154	975	4.0	87	5	41	8	9.0	150
 155	976	4.8	87	12	78	8	8.0	150
 156	977	5.0	88	16	99	8	8.0	160
 157	977	5.1	87	0	62	8	8.0	160
 158	978	5.4	87	0	52	8	7.0	170
 159	979	5.4	90	0	31	8	7.0	160
 160	980	5.8	87	1	9	8	6.0	160
 161	981	5.8	87	0	0	8	6.0	160
 162	982	6.0	88	0	0	8	5.0	170
 163	983	6.2	88	0	0	8	5.0	160
 164	984	6.1	88	0	0	8	5.0	170
 165	985	5.9	89	0	0	8	5.0	160
 166	986	5.6	89	0	0	8	4.0	170
 167	987	5.4	89	0	0	8	3.0	170
 168	988	5.5	89	0	0	8	3.0	170
 169	988	5.2	89	0	0	8	4.0	180
 170	989	5.0	90	0	0	8	4.0	170
 171	990	4.8	90	0	0	8	5.0	170
 172	990	5.0	91	0	0	8	3.0	180
 173	991	5.0	89	0	0	8	4.0	160
 174	991	4.8	89	0	0	8	6.0	160
 175	992	4.3	90	0	0	7	5.0	160
 176	992	4.9	89	0	0	7	5.0	170
 177	993	4.1	92	2	1	7	6.0	140
 178	993	4.7	91	37	50	7	5.0	150
 179	994	4.9	91	24	98	7	7.0	150
 180	993	6.1	89	82	130	6	8.0	160
 181	993	7.4	84	85	133	6	7.0	160
 182	993	7.8	82	54	119	6	7.0	170
 183	993	7.5	82	22	74	7	6.0	150
 184	993	6.8	83	6	14	7	6.0	150
 185	993	6.2	84	0	0	7	5.0	170
 186	993	5.6	86	0	0	7	6.0	150
 187	992	5.3	86	0	0	7	7.0	150
 188	992	5.0	88	0	0	7	8.0	150
 189	992	4.9	88	0	0	7	8.0	160
 190	992	4.8	89	0	0	7	6.0	150
