Fichtelberg DWD normal
 50,433        12,95         1213          1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	880	-7.6	100	0	0	8	11.7	290
 2	882	-10.8	100	0	0	8	12.1	270
 3	883	-12.9	95	0	0	8	13.3	270
 4	883	-12.3	97	0	0	8	14.8	270
 5	883	-11.4	99	0	0	8	16.1	280
 6	883	-10.0	100	0	0	8	17.0	290
 7	883	-9.3	100	0	0	8	18.0	290
 8	884	-8.9	98	0	0	8	18.0	290
 9	885	-8.5	100	0	12	8	18.0	300
 10	885	-8.2	99	0	39	8	16.0	300
 11	886	-8.0	100	0	59	8	13.0	290
 12	886	-7.7	98	0	67	8	13.0	290
 13	886	-7.5	100	0	64	8	16.0	290
 14	887	-7.3	100	0	48	8	14.0	290
 15	887	-7.2	99	0	23	8	13.0	280
 16	886	-6.9	100	0	0	8	14.0	280
 17	886	-6.8	99	0	0	8	14.0	280
 18	885	-6.9	100	0	0	8	17.0	270
 19	885	-7.2	100	0	0	8	18.0	270
 20	884	-7.6	100	0	0	8	20.0	270
 21	883	-7.8	98	0	0	8	22.0	280
 22	883	-7.9	99	0	0	8	22.0	280
 23	882	-7.8	98	0	0	8	23.0	280
 24	882	-7.6	100	0	0	8	24.0	290
 25	881	-7.9	99	0	0	8	24.0	280
 26	881	-7.7	98	0	0	8	24.0	280
 27	881	-7.3	100	0	0	8	23.0	290
 28	880	-7.3	100	0	0	8	24.0	280
 29	879	-7.4	100	0	0	8	22.0	280
 30	880	-7.3	100	0	0	8	22.0	280
 31	879	-7.0	98	0	0	8	20.0	290
 32	879	-7.1	99	0	0	8	24.0	280
 33	879	-6.8	100	0	12	8	24.0	290
 34	880	-6.1	100	0	39	8	20.0	300
 35	881	-5.6	98	0	59	8	20.0	300
 36	882	-5.5	100	0	68	8	19.0	300
 37	881	-5.4	99	0	64	8	21.0	300
 38	882	-5.4	99	0	49	8	19.0	300
 39	882	-5.6	98	0	23	8	19.0	310
 40	883	-6.1	99	0	0	8	17.0	320
 41	884	-6.6	98	0	0	7	18.0	320
 42	885	-7.1	99	0	0	7	15.0	330
 43	885	-7.6	100	0	0	7	10.0	340
 44	886	-8.2	98	0	0	7	10.0	350
 45	886	-8.6	98	0	0	6	8.0	350
 46	887	-9.2	100	0	0	6	7.0	10
 47	887	-9.8	98	0	0	6	8.0	10
 48	887	-10.6	98	0	0	6	7.0	20
 49	888	-11.1	98	0	0	5	6.0	30
