Hof DWD normal
 50,317        11,883        567           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	952	-4.3	100	0	0	8	1.9	160
 2	949	-5.6	95	0	0	8	2.4	160
 3	947	-6.9	100	0	0	8	2.7	150
 4	947	-7.3	98	0	0	8	2.9	140
 5	946	-7.5	98	0	0	8	3.4	150
 6	945	-7.5	99	0	0	8	3.0	150
 7	945	-7.0	100	0	0	8	5.0	140
 8	944	-6.8	92	0	0	8	6.0	160
 9	944	-6.2	88	4	19	8	6.0	160
 10	943	-5.6	84	9	60	8	8.0	140
 11	943	-4.7	82	15	92	8	5.0	150
 12	942	-4.3	78	19	107	8	7.0	140
 13	942	-3.3	80	18	102	8	7.0	140
 14	941	-3.3	80	0	49	8	8.0	140
 15	940	-3.0	80	0	24	8	6.0	140
 16	940	-2.6	78	0	0	8	9.0	150
 17	940	-2.9	79	0	0	8	6.0	140
 18	940	-2.6	78	0	0	8	6.0	150
 19	939	-1.9	72	0	0	8	7.0	140
 20	939	-2.1	78	0	0	8	6.0	140
 21	939	-1.9	78	0	0	8	5.0	140
 22	938	-2.3	79	0	0	8	6.0	140
 23	938	-1.8	78	0	0	8	4.0	150
 24	939	-1.4	76	0	0	8	3.0	160
 25	938	-2.3	79	0	0	8	3.0	140
 26	938	-1.9	78	0	0	8	6.0	150
 27	938	-2.0	81	0	0	8	6.0	140
 28	937	-1.3	78	0	0	8	6.0	140
 29	937	-1.5	81	0	0	8	7.0	150
 30	937	-0.9	94	0	0	8	7.0	160
 31	936	-0.5	97	0	0	8	6.0	150
 32	936	-0.5	94	0	0	8	4.0	150
 33	936	-0.4	96	2	15	8	3.0	130
 34	937	-0.2	96	9	60	8	4.0	150
 35	937	2.7	100	0	57	8	5.0	190
 36	936	3.3	100	0	67	8	6.0	160
 37	937	2.7	100	0	64	8	3.0	160
 38	937	2.3	100	0	49	8	4.0	160
 39	936	2.8	100	0	24	8	4.0	160
 40	937	2.5	100	0	0	8	3.0	150
 41	937	2.2	100	0	0	8	2.0	160
 42	937	2.0	100	0	0	8	5.0	160
 43	937	1.4	100	0	0	8	5.0	160
 44	937	1.3	100	0	0	8	4.0	140
 45	937	1.0	100	0	0	8	2.0	150
 46	938	1.2	100	0	0	8	2.0	90
 47	937	1.2	100	0	0	8	3.0	130
 48	937	0.9	100	0	0	8	4.0	150
 49	937	0.9	100	0	0	8	5.0	160
 50	937	0.6	100	0	0	8	3.0	150
 51	938	0.1	100	0	0	8	4.0	160
 52	938	0.2	100	0	0	8	5.0	150
 53	938	0.4	100	0	0	8	3.0	150
 54	938	0.6	100	0	0	8	2.0	140
 55	938	0.9	100	0	0	8	3.0	170
 56	939	2.2	100	0	0	8	4.0	180
 57	940	2.4	100	2	16	8	3.0	190
 58	940	2.6	100	18	76	8	5.0	170
 59	941	3.3	100	16	93	8	6.0	200
 60	941	3.2	100	19	108	8	6.0	210
 61	941	2.6	100	0	64	8	5.0	220
 62	942	3.2	100	0	50	8	5.0	240
 63	942	3.5	100	0	25	8	3.0	230
 64	943	3.5	100	0	1	8	3.0	210
 65	943	2.5	100	0	0	8	3.0	230
 66	944	1.9	100	0	0	8	4.0	230
 67	944	1.9	100	0	0	8	4.0	210
 68	944	1.8	100	0	0	8	4.0	220
 69	945	1.8	100	0	0	8	3.0	220
 70	945	1.6	100	0	0	8	3.0	220
 71	945	1.6	100	0	0	8	5.0	200
 72	945	1.3	100	0	0	8	3.0	190
 73	944	0.9	100	0	0	8	3.0	180
 74	944	0.3	100	0	0	8	3.0	180
 75	943	-0.9	100	0	0	8	3.0	150
 76	943	-0.3	100	0	0	8	3.0	150
 77	942	-0.6	100	0	0	8	4.0	150
 78	942	-0.4	100	0	0	8	4.0	140
 79	941	-0.3	100	0	0	8	5.0	140
 80	941	-0.2	100	0	0	8	6.0	150
 81	940	0.1	100	0	9	8	6.0	150
 82	940	0.2	100	9	61	8	6.0	140
 83	939	0.3	100	16	94	8	6.0	150
 84	939	0.7	100	19	109	8	6.0	140
 85	938	1.2	100	18	105	8	6.0	140
 86	938	1.6	100	0	50	8	6.0	150
 87	938	2.4	97	0	26	8	5.0	140
 88	938	2.5	95	0	1	8	5.0	150
 89	938	2.2	99	0	0	8	4.0	170
 90	938	2.1	100	0	0	8	4.0	180
 91	939	3.0	96	0	0	8	6.0	180
 92	939	2.6	100	0	0	8	5.0	180
 93	939	2.8	100	0	0	8	6.0	200
 94	939	2.8	100	0	0	8	7.0	210
 95	940	2.9	100	0	0	8	5.0	200
 96	940	3.2	100	0	0	8	6.0	200
 97	940	2.8	100	0	0	8	5.0	200
 98	940	2.9	100	0	0	8	6.0	200
 99	940	2.8	100	0	0	8	5.0	200
 100	940	2.6	100	0	0	8	5.0	200
 101	940	2.8	100	0	0	8	5.0	200
 102	939	2.8	100	0	0	8	5.0	180
 103	939	1.9	100	0	0	8	4.0	150
 104	938	1.6	100	0	0	8	4.0	140
 105	938	2.7	100	2	16	8	3.0	170
 106	937	2.2	100	0	37	8	5.0	150
 107	936	3.1	100	0	58	8	5.0	170
 108	936	4.4	90	0	68	8	6.0	180
 109	935	4.8	84	0	65	8	6.0	180
 110	934	4.7	80	0	51	8	6.0	180
 111	933	4.2	81	0	26	8	8.0	180
 112	931	1.5	100	0	1	8	7.0	150
 113	930	1.9	100	0	0	8	7.0	150
 114	930	4.4	100	0	0	8	7.0	180
 115	929	4.7	100	0	0	8	8.0	190
 116	929	5.0	100	0	0	8	8.0	200
 117	929	4.9	100	0	0	8	7.0	190
 118	930	5.3	100	0	0	8	6.0	200
 119	930	5.5	100	0	0	8	6.0	190
 120	929	5.8	100	0	0	8	8.0	190
 121	929	6.2	100	0	0	8	8.0	190
 122	930	6.6	100	0	0	8	9.0	200
 123	930	6.3	100	0	0	8	7.0	200
 124	930	6.5	100	0	0	8	7.0	200
 125	930	6.9	100	0	0	8	7.0	200
 126	929	6.9	100	0	0	8	8.0	190
 127	930	7.3	100	0	0	8	8.0	200
 128	930	7.7	100	0	0	8	9.0	200
 129	931	7.3	100	0	10	8	9.0	200
 130	932	7.6	100	9	62	8	7.0	230
 131	934	7.4	100	16	95	8	6.0	240
 132	935	6.0	97	0	69	8	6.0	260
 133	937	5.1	97	19	106	8	6.0	280
 134	937	4.9	98	0	52	8	4.0	260
 135	938	5.1	95	0	27	8	5.0	240
 136	939	4.7	100	0	1	8	5.0	240
 137	939	4.1	96	0	0	8	4.0	220
 138	940	3.7	98	0	0	8	6.0	200
