Germany_Potsdam_2009_DWD
 52,47         13,4          50            1

 hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
 1	1010.7	-7.4	95.0	0.0	0.0	7.0	2.9	270.0
 2	1010.8	-6.9	97.0	0.0	0.0	8.0	3.2	280.0
 3	1011.1	-6.9	98.0	0.0	0.0	-1.0	3.6	280.0
 4	1011.0	-6.0	100.0	0.0	0.0	8.0	2.2	260.0
 5	1010.9	-5.4	100.0	0.0	0.0	8.0	2.3	260.0
 6	1011.2	-4.9	98.0	0.0	0.0	8.0	2.7	270.0
 7	1011.6	-4.2	99.0	0.0	0.0	8.0	2.9	270.0
 8	1012.1	-3.6	99.0	0.0	0.0	8.0	2.7	270.0
 9	1012.8	-3.1	99.0	0.0	0.0	8.0	2.5	280.0
 10	1013.3	-2.9	98.0	0.0	13.9	8.0	2.8	270.0
 11	1013.6	-2.7	98.0	0.0	16.7	8.0	2.9	280.0
 12	1013.3	-2.6	99.0	0.0	27.8	8.0	2.7	260.0
 13	1013.5	-2.5	99.0	0.0	16.7	8.0	2.9	270.0
 14	1013.5	-2.4	100.0	0.0	16.7	8.0	2.9	270.0
 15	1013.8	-2.3	99.0	0.0	11.1	8.0	2.5	280.0
 16	1014.2	-2.2	99.0	2.8	2.8	8.0	2.7	270.0
 17	1014.6	-2.1	98.0	0.0	0.0	8.0	2.9	290.0
 18	1014.7	-2.1	98.0	0.0	0.0	8.0	2.3	270.0
 19	1014.8	-2.0	99.0	0.0	0.0	8.0	2.3	280.0
 20	1014.7	-1.9	98.0	0.0	0.0	8.0	1.8	290.0
 21	1014.9	-1.8	99.0	0.0	0.0	8.0	2.1	280.0
 22	1014.8	-1.8	99.0	0.0	0.0	8.0	1.5	260.0
 23	1014.7	-1.7	99.0	0.0	0.0	8.0	1.4	270.0
 24	1014.6	-1.7	99.0	0.0	0.0	8.0	1.3	260.0
 25	1014.4	-1.7	99.0	0.0	0.0	8.0	1.2	250.0
 26	1013.8	-1.7	99.0	0.0	0.0	8.0	1.4	250.0
 27	1013.8	-1.7	99.0	0.0	0.0	8.0	1.4	270.0
 28	1013.6	-1.6	98.0	0.0	0.0	8.0	1.6	300.0
 29	1013.5	-1.6	98.0	0.0	0.0	8.0	1.4	290.0
 30	1013.1	-1.7	99.0	0.0	0.0	8.0	1.7	270.0
 31	1013.0	-1.7	99.0	0.0	0.0	8.0	2.1	290.0
 32	1013.2	-1.7	99.0	0.0	0.0	8.0	1.5	300.0
