Potsdam_2016
 52,47         13,4          50            1

 hy	p	Ta	RH	G_Bh	G_Dh	N	FF	DD
 1	1025.4	1.7	98.0	0.0	0.0	8.0	3.4	180.0
 2	1025.3	1.4	99.0	0.0	0.0	8.0	3.4	170.0
 3	1025.5	1.5	100.0	0.0	0.0	8.0	3.6	200.0
 4	1025.7	1.3	99.0	0.0	0.0	8.0	3.8	200.0
 5	1025.5	1.2	98.0	0.0	0.0	7.0	3.7	210.0
 6	1025.3	1.2	99.0	0.0	0.0	7.0	3.7	220.0
 7	1025.5	0.7	99.0	0.0	0.0	4.0	3.7	210.0
 8	1025.9	0.2	99.0	0.0	0.0	2.0	3.4	220.0
 9	1026.4	0.4	99.0	0.0	16.7	3.0	3.0	210.0
 10	1026.8	0.0	99.0	0.0	50.0	3.0	3.6	210.0
 11	1026.8	0.3	100.0	0.0	83.3	4.0	3.1	200.0
 12	1026.8	1.2	99.0	0.0	97.2	4.0	2.3	200.0
 13	1026.6	1.7	100.0	0.0	91.7	4.0	1.7	220.0
 14	1026.2	1.8	99.0	0.0	77.8	4.0	1.6	210.0
 15	1026.5	1.7	100.0	0.0	36.1	5.0	1.3	220.0
 16	1026.5	1.4	100.0	0.0	8.3	5.0	2.0	200.0
 17	1026.5	0.9	100.0	0.0	0.0	5.0	2.1	190.0
 18	1026.4	0.6	100.0	0.0	0.0	5.0	1.9	210.0
 19	1026.2	0.3	99.0	0.0	0.0	6.0	1.6	200.0
 20	1026.5	0.1	100.0	0.0	0.0	6.0	0.9	120.0
 21	1025.9	0.4	100.0	0.0	0.0	6.0	1.5	110.0
 22	1025.7	0.4	99.0	0.0	0.0	6.0	1.6	110.0
 23	1025.0	0.4	99.0	0.0	0.0	7.0	2.9	100.0
 24	1024.9	0.6	99.0	0.0	0.0	7.0	4.0	90.0
 25	1024.5	0.8	99.0	0.0	0.0	7.0	2.3	90.0
 26	1024.0	1.1	100.0	0.0	0.0	7.0	2.5	90.0
 27	1023.9	1.5	99.0	0.0	0.0	8.0	3.4	90.0
 28	1023.8	1.3	100.0	0.0	0.0	8.0	4.3	90.0
 29	1023.5	1.0	98.0	0.0	0.0	8.0	4.2	90.0
 30	1023.2	0.8	98.0	0.0	0.0	8.0	4.9	90.0
 31	1022.8	0.6	98.0	0.0	0.0	8.0	4.6	100.0
 32	1022.8	0.0	100.0	0.0	0.0	8.0	4.9	90.0
 33	1022.9	-0.4	100.0	0.0	2.8	8.0	6.2	90.0
 34	1023.3	-1.3	99.0	0.0	8.3	8.0	6.1	90.0
 35	1023.3	-2.4	95.0	0.0	16.7	8.0	7.1	90.0
 36	1023.4	-3.1	92.0	0.0	33.3	8.0	7.4	100.0
 37	1022.9	-3.5	87.0	0.0	55.6	8.0	6.7	100.0
 38	1022.5	-3.8	83.0	0.0	91.7	8.0	6.9	90.0
 39	1022.3	-4.5	78.0	0.0	47.2	8.0	8.0	90.0
 40	1022.8	-5.2	75.0	0.0	8.3	7.0	8.4	90.0
 41	1023.2	-5.7	73.0	0.0	0.0	7.0	7.8	90.0
 42	1023.1	-6.4	72.0	0.0	0.0	7.0	8.3	90.0
 43	1023.1	-6.7	72.0	0.0	0.0	8.0	8.2	100.0
 44	1022.8	-6.8	71.0	0.0	0.0	8.0	8.9	100.0
 45	1022.4	-6.7	70.0	0.0	0.0	8.0	8.9	100.0
 46	1022.2	-6.7	71.0	0.0	0.0	8.0	8.4	100.0
 47	1022.7	-7.0	69.0	0.0	0.0	8.0	7.8	100.0
 48	1022.5	-7.2	70.0	0.0	0.0	8.0	7.7	100.0
 49	1022.5	-7.4	72.0	0.0	0.0	8.0	7.1	100.0
 50	1022.2	-7.7	72.0	0.0	0.0	8.0	6.6	100.0
 51	1022.1	-8.2	74.0	0.0	0.0	8.0	7.4	100.0
 52	1021.8	-8.6	75.0	0.0	0.0	8.0	7.5	100.0
 53	1021.4	-8.7	76.0	0.0	0.0	8.0	7.6	90.0
 54	1021.0	-8.8	77.0	0.0	0.0	8.0	6.7	90.0
 55	1020.8	-9.1	77.0	0.0	0.0	6.0	7.6	90.0
 56	1020.6	-9.6	78.0	0.0	0.0	6.0	6.9	100.0
 57	1020.7	-10.2	79.0	0.0	16.7	8.0	7.7	100.0
 58	1019.8	-10.3	79.0	0.0	55.6	8.0	8.0	100.0
 59	1019.1	-10.1	77.0	0.0	91.7	7.0	7.5	100.0
 60	1018.1	-9.5	75.0	8.3	133.3	7.0	6.9	90.0
 61	1017.2	-8.6	70.0	100.0	113.9	4.0	6.2	100.0
 62	1016.4	-8.6	71.0	86.1	69.4	2.0	6.7	100.0
 63	1015.4	-8.7	73.0	47.2	38.9	2.0	6.8	100.0
 64	1014.9	-9.1	75.0	2.8	13.9	2.0	6.7	100.0
 65	1014.2	-9.6	75.0	0.0	0.0	3.0	5.7	100.0
 66	1013.5	-10.0	78.0	0.0	0.0	5.0	6.4	100.0
 67	1012.8	-10.3	78.0	0.0	0.0	6.0	6.7	100.0
 68	1011.6	-10.6	78.0	0.0	0.0	8.0	7.8	100.0
 69	1010.6	-11.0	79.0	0.0	0.0	8.0	6.8	100.0
 70	1009.5	-10.7	79.0	0.0	0.0	8.0	6.4	100.0
 71	1008.3	-10.9	80.0	0.0	0.0	8.0	6.3	100.0
 72	1007.4	-10.8	79.0	0.0	0.0	8.0	6.0	100.0
 73	1005.6	-11.4	81.0	0.0	0.0	6.0	6.1	100.0
 74	1004.4	-11.2	81.0	0.0	0.0	7.0	6.1	100.0
 75	1003.5	-11.0	80.0	0.0	0.0	8.0	5.1	100.0
 76	1002.3	-11.4	81.0	0.0	0.0	6.0	6.2	90.0
 77	1001.8	-11.3	79.0	0.0	0.0	6.0	6.1	90.0
 78	1001.0	-11.3	79.0	0.0	0.0	6.0	6.3	90.0
 79	1000.1	-11.0	80.0	0.0	0.0	7.0	6.2	90.0
 80	999.5	-10.8	78.0	0.0	0.0	8.0	5.9	90.0
 81	999.1	-10.6	77.0	0.0	13.9	7.0	6.4	90.0
 82	999.0	-9.8	75.0	0.0	50.0	7.0	6.0	90.0
 83	998.6	-9.3	72.0	0.0	77.8	7.0	6.5	90.0
 84	998.0	-8.6	71.0	0.0	83.3	7.0	5.9	90.0
 85	997.9	-7.6	68.0	0.0	102.8	7.0	5.1	90.0
 86	997.4	-6.8	66.0	0.0	111.1	7.0	5.9	90.0
 87	997.2	-6.5	66.0	2.8	52.8	7.0	5.2	100.0
 88	997.4	-6.7	67.0	2.8	11.1	7.0	5.5	90.0
 89	997.9	-7.3	69.0	0.0	0.0	7.0	4.9	90.0
 90	998.1	-7.5	68.0	0.0	0.0	7.0	5.9	90.0
 91	998.0	-7.6	69.0	0.0	0.0	8.0	6.3	90.0
 92	998.3	-7.8	70.0	0.0	0.0	8.0	6.0	90.0
 93	998.5	-7.9	71.0	0.0	0.0	8.0	5.6	90.0
 94	998.5	-8.0	72.0	0.0	0.0	8.0	5.0	90.0
 95	998.8	-7.9	72.0	0.0	0.0	8.0	4.9	90.0
 96	998.7	-7.8	72.0	0.0	0.0	8.0	5.1	90.0
 97	998.7	-7.8	73.0	0.0	0.0	8.0	5.6	90.0
 98	998.9	-7.7	72.0	0.0	0.0	8.0	6.0	90.0
 99	999.0	-8.0	78.0	0.0	0.0	8.0	4.9	90.0
 100	998.9	-8.0	78.0	0.0	0.0	8.0	5.1	90.0
 101	999.0	-8.1	78.0	0.0	0.0	8.0	5.3	90.0
 102	999.0	-8.0	78.0	0.0	0.0	8.0	5.9	90.0
 103	999.0	-8.0	79.0	0.0	0.0	8.0	5.7	90.0
 104	999.4	-8.3	79.0	0.0	0.0	8.0	5.0	90.0
 105	999.6	-8.3	79.0	0.0	8.3	8.0	5.5	90.0
 106	1000.2	-8.3	78.0	0.0	44.4	8.0	4.9	80.0
 107	1000.7	-7.8	77.0	0.0	50.0	8.0	4.6	90.0
 108	1000.5	-7.5	76.0	0.0	58.3	8.0	4.9	80.0
 109	1000.5	-7.0	72.0	0.0	102.8	8.0	5.0	80.0
 110	1000.8	-7.1	76.0	0.0	52.8	8.0	4.1	90.0
 111	1000.9	-7.3	78.0	0.0	25.0	8.0	4.6	80.0
 112	1001.1	-7.3	83.0	0.0	8.3	8.0	5.1	80.0
 113	1001.4	-7.4	85.0	0.0	0.0	8.0	4.5	80.0
 114	1002.1	-7.5	86.0	0.0	0.0	8.0	4.2	80.0
 115	1002.3	-7.7	85.0	0.0	0.0	8.0	4.6	90.0
 116	1002.3	-7.8	88.0	0.0	0.0	8.0	4.2	80.0
 117	1002.7	-8.2	86.0	0.0	0.0	8.0	4.6	80.0
 118	1003.1	-8.5	88.0	0.0	0.0	8.0	4.9	80.0
 119	1003.1	-8.7	86.0	0.0	0.0	8.0	5.0	80.0
 120	1003.3	-8.7	87.0	0.0	0.0	8.0	5.2	90.0
 121	1003.4	-8.9	88.0	0.0	0.0	8.0	4.2	90.0
 122	1003.5	-8.6	87.0	0.0	0.0	8.0	4.7	80.0
 123	1003.6	-8.5	87.0	0.0	0.0	8.0	3.9	80.0
 124	1003.7	-8.2	85.0	0.0	0.0	8.0	4.3	80.0
 125	1003.8	-8.2	87.0	0.0	0.0	8.0	3.8	90.0
 126	1003.8	-8.3	88.0	0.0	0.0	8.0	3.6	80.0
 127	1004.0	-8.3	88.0	0.0	0.0	8.0	4.1	80.0
 128	1004.2	-8.2	88.0	0.0	0.0	8.0	4.2	80.0
 129	1004.6	-8.1	86.0	0.0	8.3	8.0	4.4	80.0
 130	1005.1	-7.9	87.0	0.0	27.8	8.0	3.8	80.0
 131	1005.4	-7.7	86.0	0.0	52.8	8.0	3.7	80.0
 132	1005.1	-7.5	86.0	0.0	38.9	8.0	3.8	80.0
 133	1004.9	-7.1	86.0	0.0	52.8	8.0	3.3	80.0
 134	1004.8	-6.9	87.0	0.0	50.0	8.0	3.5	80.0
 135	1004.9	-6.7	86.0	0.0	41.7	8.0	3.2	80.0
 136	1005.1	-6.6	86.0	0.0	5.6	8.0	2.7	80.0
 137	1005.5	-6.7	87.0	0.0	0.0	8.0	2.8	80.0
 138	1005.7	-6.9	86.0	0.0	0.0	8.0	3.7	80.0
 139	1005.6	-6.9	86.0	0.0	0.0	8.0	4.0	80.0
 140	1005.9	-6.9	85.0	0.0	0.0	8.0	3.8	80.0
 141	1006.0	-7.0	85.0	0.0	0.0	8.0	3.7	80.0
 142	1006.1	-7.0	84.0	0.0	0.0	8.0	3.2	80.0
 143	1005.9	-7.0	86.0	0.0	0.0	8.0	3.0	80.0
 144	1006.2	-7.1	85.0	0.0	0.0	8.0	3.3	80.0
 145	1006.2	-7.2	87.0	0.0	0.0	8.0	3.1	80.0
 146	1006.1	-7.4	87.0	0.0	0.0	8.0	3.2	90.0
 147	1006.0	-7.6	86.0	0.0	0.0	8.0	3.6	90.0
 148	1006.5	-7.4	86.0	0.0	0.0	8.0	2.7	90.0
 149	1006.0	-7.3	87.0	0.0	0.0	8.0	2.8	80.0
 150	1005.8	-7.2	87.0	0.0	0.0	8.0	2.9	90.0
 151	1005.4	-7.1	87.0	0.0	0.0	8.0	3.2	90.0
 152	1005.8	-6.9	88.0	0.0	0.0	8.0	3.7	90.0
 153	1005.7	-6.9	89.0	0.0	5.6	8.0	3.5	100.0
 154	1005.1	-6.7	89.0	0.0	27.8	8.0	4.7	100.0
 155	1004.7	-6.3	85.0	0.0	44.4	8.0	4.7	100.0
 156	1003.7	-5.8	86.0	0.0	58.3	8.0	4.8	100.0
 157	1002.8	-5.3	86.0	0.0	69.4	8.0	4.8	100.0
 158	1001.9	-5.0	87.0	0.0	55.6	8.0	4.9	90.0
 159	1002.0	-4.7	89.0	0.0	36.1	8.0	4.6	100.0
 160	1001.4	-4.8	90.0	0.0	5.6	8.0	5.2	90.0
 161	1001.5	-5.1	92.0	0.0	0.0	8.0	5.7	100.0
