Italy_Palermo
 38,18         13,1          34            1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	1009	15.4	63	0	0	8	2.9	263
 2	1009	15.2	64	0	0	8	2.5	297
 3	1009	15.0	63	0	0	8	2.1	294
 4	1009	15.0	62	0	0	8	2.5	310
 5	1009	14.9	61	0	0	8	2.3	308
 6	1009	14.8	63	0	0	8	2.6	297
 7	1009	14.8	62	0	0	8	2.2	321
 8	1009	15.0	59	0	11	8	2.9	282
 9	1009	15.6	59	11	65	8	2.6	259
 10	1009	16.3	57	48	134	7	4.3	343
 11	1009	17.5	50	208	155	4	3.6	95
 12	1009	18.7	47	400	129	0	3.4	316
 13	1009	19.4	45	323	153	2	3.8	280
 14	1009	19.0	46	14	153	8	4.3	148
 15	1009	18.4	48	0	67	8	3.8	145
 16	1009	17.8	52	0	16	8	5.3	311
 17	1009	17.3	56	0	4	8	4.1	81
 18	1009	17.0	57	0	0	8	4.5	290
 19	1008	16.8	57	0	0	8	3.6	142
 20	1008	16.6	58	0	0	8	3.8	281
 21	1008	16.4	58	0	0	8	3.8	294
 22	1008	16.1	57	0	0	8	2.9	255
 23	1008	15.9	53	0	0	8	2.3	310
 24	1008	15.7	55	0	0	8	2.2	261
 25	1008	15.3	56	0	0	8	2.3	292
 26	1008	14.9	55	0	0	8	3.6	265
 27	1008	14.5	58	0	0	8	5.1	280
 28	1008	14.2	58	0	0	8	4.5	65
 29	1008	14.0	61	0	0	8	5.3	142
 30	1008	13.8	62	0	0	8	4.5	80
 31	1008	13.7	62	0	0	8	5.1	187
 32	1008	13.7	59	0	1	8	3.2	74
 33	1008	13.7	58	0	11	8	3.6	309
 34	1008	14.9	59	76	132	6	3.3	271
 35	1008	15.8	57	126	166	6	3.6	237
 36	1008	16.4	57	133	206	6	2.9	301
 37	1008	16.6	56	33	215	8	4.1	311
 38	1008	16.8	55	47	212	8	4.3	286
 39	1008	16.7	59	19	154	8	3.3	195
 40	1008	16.4	62	14	88	8	4.1	247
 41	1008	15.8	64	0	4	8	3.4	291
 42	1008	15.6	69	0	0	8	3.6	276
 43	1008	15.4	65	0	0	8	2.6	287
 44	1008	15.2	67	0	0	8	2.2	303
 45	1008	14.9	74	0	0	8	1.8	288
 46	1008	14.7	79	0	0	7	1.5	290
 47	1008	14.5	77	0	0	7	1.1	267
 48	1008	14.3	81	0	0	7	0.6	323
 49	1008	14.2	83	0	0	7	0.4	299
 50	1008	14.1	84	0	0	7	0.3	305
 51	1008	14.0	81	0	0	7	0.6	302
 52	1008	14.0	82	0	0	7	0.4	306
 53	1008	14.0	83	0	0	7	0.4	309
 54	1008	14.0	84	0	0	7	0.3	306
 55	1008	14.0	91	0	0	7	0.5	308
 56	1008	14.0	91	0	1	7	0.6	300
 57	1008	14.9	86	21	66	7	0.8	306
 58	1008	15.9	80	34	140	7	0.9	282
 59	1008	16.7	71	41	200	8	1.5	283
 60	1008	17.3	68	42	231	8	1.6	295
 61	1008	17.8	66	53	241	8	2.0	315
 62	1008	18.1	67	55	220	8	1.7	239
 63	1008	18.2	66	46	166	7	1.2	325
 64	1008	17.9	63	15	89	8	1.5	294
 65	1008	17.3	65	0	12	8	2.5	322
 66	1008	17.0	67	0	0	8	3.6	294
 67	1008	16.6	71	0	0	7	3.6	30
 68	1008	16.3	70	0	0	7	2.9	67
 69	1008	15.9	73	0	0	7	2.9	194
 70	1008	15.6	76	0	0	7	3.3	178
 71	1008	15.3	78	0	0	7	3.2	85
 72	1008	14.9	79	0	0	7	3.3	115
 73	1008	14.5	76	0	0	7	3.2	143
 74	1008	14.1	76	0	0	7	3.2	195
 75	1008	13.6	74	0	0	6	3.8	167
 76	1008	13.3	75	0	0	6	4.5	63
 77	1008	13.1	78	0	0	6	5.9	77
 78	1008	12.9	77	0	0	6	4.3	335
 79	1008	12.7	77	0	0	6	3.0	78
 80	1008	12.7	76	0	1	6	2.7	281
 81	1008	13.8	72	43	78	6	2.7	318
 82	1008	14.7	72	99	117	5	2.2	306
 83	1008	15.3	69	76	190	7	2.6	319
 84	1008	15.7	67	44	218	8	2.2	306
 85	1008	16.1	67	78	244	7	3.0	307
 86	1008	16.3	68	72	219	7	2.2	303
 87	1008	16.2	66	32	152	8	1.8	302
 88	1008	16.0	67	77	100	5	1.7	314
 89	1008	15.5	65	0	35	5	2.0	312
 90	1008	15.1	71	0	0	5	2.3	272
 91	1008	14.8	78	0	0	6	2.5	310
 92	1008	14.5	78	0	0	6	2.7	290
 93	1007	14.2	81	0	0	6	2.2	259
 94	1007	13.9	81	0	0	6	2.6	317
 95	1007	13.6	80	0	0	6	2.5	322
 96	1007	13.2	86	0	0	6	2.5	301
 97	1007	13.1	78	0	0	7	3.6	289
 98	1007	12.9	77	0	0	7	4.5	129
 99	1007	12.8	78	0	0	7	3.8	52
 100	1006	12.7	76	0	0	7	3.2	141
 101	1006	12.6	77	0	0	7	4.8	285
 102	1006	12.6	80	0	0	7	4.1	88
 103	1006	12.5	78	0	0	8	5.1	145
 104	1006	12.6	76	0	1	8	3.6	91
 105	1006	13.1	74	0	55	8	3.3	322
 106	1006	13.7	71	2	119	8	2.9	280
 107	1006	14.2	70	3	157	8	2.5	310
 108	1005	14.7	68	8	199	8	2.3	290
 109	1005	15.1	64	10	202	8	2.3	302
 110	1005	15.3	66	9	184	8	3.0	309
 111	1005	15.3	64	7	145	8	2.7	259
 112	1005	15.1	65	1	85	8	2.7	318
 113	1005	14.7	63	0	16	8	3.6	326
 114	1005	14.5	61	0	0	8	4.5	281
 115	1005	14.2	60	0	0	8	4.8	73
 116	1005	13.9	61	0	0	8	3.0	72
 117	1005	13.7	63	0	0	8	4.5	254
 118	1006	13.4	63	0	0	8	4.5	149
 119	1006	13.2	62	0	0	8	4.1	80
 120	1006	12.9	63	0	0	8	4.5	213
 121	1006	12.6	61	0	0	7	6.1	138
 122	1006	12.4	58	0	0	7	6.5	15
 123	1006	12.1	58	0	0	7	6.5	1
 124	1006	11.9	57	0	0	7	6.3	49
 125	1006	11.8	59	0	0	7	6.1	28
 126	1006	11.7	56	0	0	7	5.9	57
 127	1006	11.6	56	0	0	7	6.1	79
 128	1006	11.6	55	0	2	7	6.1	93
 129	1006	12.3	58	18	66	7	5.9	54
 130	1006	13.0	54	17	135	8	4.3	70
 131	1006	13.5	52	13	188	8	4.8	304
 132	1006	14.0	49	33	227	8	5.6	306
 133	1006	14.4	51	27	223	8	6.7	159
 134	1006	14.5	56	9	191	8	7.4	30
 135	1007	14.4	55	3	140	8	7.8	1
 136	1007	14.1	54	0	82	8	6.9	343
 137	1007	13.6	55	0	5	8	5.3	19
 138	1007	13.4	53	0	0	8	3.2	300
 139	1008	13.1	55	0	0	7	3.2	311
 140	1008	12.8	57	0	0	7	2.5	305
 141	1008	12.5	58	0	0	7	2.6	303
 142	1009	12.3	60	0	0	7	2.1	299
 143	1009	12.0	57	0	0	7	2.0	288
 144	1009	11.7	56	0	0	7	1.5	300
 145	1010	11.5	58	0	0	6	1.2	301
