Russia_Olenek
 68,5          112,433       127           9 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	999	-15.5	86	0	0	4	0.4	263
 2	999	-15.5	78	0	0	4	0.2	297
 3	999	-15.5	78	0	0	4	0.1	294
 4	999	-15.5	74	0	0	4	0.4	310
 5	999	-15.5	73	0	0	4	0.4	308
 6	999	-14.7	66	0	0	4	0.7	297
 7	999	-15.0	69	0	0	4	0.4	321
 8	999	-15.4	69	0	0	4	1.3	282
 9	999	-15.6	68	0	0	4	0.7	259
 10	999	-15.9	72	0	0	4	2.8	343
 11	999	-16.1	76	0	0	4	1.5	230
 12	999	-16.4	70	0	0	4	1.3	271
 13	999	-16.7	71	0	0	4	1.5	235
 14	999	-16.9	72	0	0	4	1.7	193
 15	999	-17.2	70	0	0	4	1.1	235
 16	999	-17.4	72	0	0	4	2.2	266
 17	999	-17.7	76	0	0	4	0.9	216
 18	999	-17.9	79	0	0	4	1.3	245
 19	999	-18.1	80	0	0	4	0.7	232
 20	999	-18.4	78	0	0	4	0.7	236
 21	999	-18.6	79	0	0	4	0.8	249
 22	999	-18.9	77	0	0	4	0.2	210
 23	999	-19.1	73	0	0	4	0.1	310
 24	999	-19.4	64	0	0	4	0.1	261
 25	999	-19.9	51	0	0	4	0.2	292
 26	999	-20.7	59	0	0	4	1.7	265
 27	999	-21.4	60	0	0	4	3.3	235
 28	999	-22.1	59	0	0	4	1.9	200
 29	999	-22.6	61	0	0	4	2.5	232
 30	999	-23.1	61	0	0	4	1.3	215
 31	999	-23.5	64	0	0	4	1.7	232
 32	999	-24.0	65	0	0	4	0.3	209
 33	999	-24.4	65	0	0	4	0.7	264
 34	999	-24.7	61	0	0	4	0.4	271
 35	999	-25.1	56	0	0	4	0.8	237
 36	999	-25.5	82	0	0	4	0.3	301
 37	999	-25.8	88	0	0	4	1.3	311
 38	999	-26.0	93	0	0	4	1.5	241
 39	999	-26.1	92	0	0	4	0.5	240
 40	999	-26.2	92	0	0	4	1.1	247
 41	999	-26.3	100	0	0	4	0.7	246
 42	999	-26.5	100	0	0	4	0.9	276
 43	999	-26.6	100	0	0	4	0.2	287
 44	999	-26.7	100	0	0	4	0.1	303
 45	999	-26.8	100	0	0	4	0.1	288
 46	999	-27.0	100	0	0	4	0.0	290
 47	999	-27.1	100	0	0	4	0.0	267
 48	999	-27.2	100	0	0	4	0.0	323
 49	999	-26.8	100	0	0	4	0.0	299
 50	999	-26.3	100	0	0	4	0.0	305
 51	999	-25.7	100	0	0	4	0.1	302
