SouthPole_AmundsenScott
-90            0             2835          0 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	704	-15.4	70	353	68	0	3.9	83
 2	704	-16.3	74	353	68	0	3.5	117
 3	704	-17.2	70	353	66	0	3.0	159
 4	704	-8.8	39	353	67	0	3.3	265
 5	704	-9.0	39	353	65	0	3.3	173
 6	704	-9.3	41	352	64	0	3.6	162
 7	704	-9.6	40	352	62	0	3.0	141
 8	704	-9.8	40	352	63	0	3.9	192
 9	704	-10.1	42	352	62	0	3.5	79
 10	704	-10.4	44	352	62	0	5.3	163
 11	704	-10.7	41	351	61	0	4.7	50
 12	704	-10.9	43	351	59	0	4.4	136
 13	704	-11.2	44	351	59	0	5.0	100
 14	704	-11.5	45	350	58	0	5.3	13
 15	704	-11.7	47	349	57	0	4.7	55
 16	704	-12.0	51	349	57	0	6.0	131
 17	703	-12.3	54	348	56	0	5.0	36
 18	703	-12.5	56	347	55	0	5.5	110
 19	703	-12.8	57	344	53	0	4.7	52
 20	703	-13.1	59	343	52	0	4.7	101
 21	703	-13.4	60	341	52	0	4.7	114
 22	703	-13.7	59	339	51	0	3.8	75
 23	703	-13.9	54	336	51	0	3.1	130
 24	703	-16.6	67	313	68	1	2.9	171
 25	702	-17.0	69	256	302	3	3.0	202
 26	702	-17.5	70	315	222	4	4.4	175
 27	702	-18.0	74	284	275	6	5.8	100
 28	702	-10.9	46	350	133	3	5.3	20
 29	702	-11.1	48	340	170	4	6.0	52
 30	702	-11.3	50	325	204	5	5.3	35
 31	702	-11.4	50	306	239	5	5.8	52
 32	701	-11.5	48	284	275	6	4.1	29
 33	701	-11.6	46	287	271	5	4.3	84
 34	701	-11.8	50	324	205	5	4.1	91
 35	701	-11.9	51	255	304	6	4.4	57
 36	701	-12.3	54	246	104	4	3.6	121
 37	701	-12.7	54	174	130	5	4.7	131
 38	701	-13.0	55	189	123	5	5.3	106
 39	701	-13.4	59	75	176	7	4.1	60
 40	701	-13.7	62	47	189	8	4.7	67
 41	701	-14.1	63	35	185	8	4.1	111
 42	701	-14.4	66	25	178	8	4.4	96
 43	701	-14.8	63	14	177	8	3.3	107
 44	701	-15.1	66	9	159	8	2.9	123
 45	701	-15.4	71	42	175	8	2.5	198
 46	701	-15.7	73	0	124	8	2.2	245
 47	701	-16.1	75	0	62	8	1.8	267
 48	701	-17.2	83	0	65	7	1.0	323
 49	701	-17.0	82	235	216	7	0.9	299
 50	701	-16.9	81	341	161	6	0.6	305
 51	701	-16.8	80	286	270	6	1.0	302
 52	701	-9.9	45	325	200	5	0.8	306
 53	701	-9.9	45	319	211	5	0.9	309
 54	701	-10.0	46	339	166	4	0.6	306
